Date,Plant decomposition,Biogenic,Summer blend gasoline,Winter blend gasoline,"institutional refrigerator, air conditioning, cooking",Education institution,Commercial and industrial solvents,VCP(siloxane),VCP(EtOH)
2021-07-10,129.3959471,1.4273893,2.48386406,2.1715943899999997,-0.0201561772,0.17348573,15.353183900000001,1.081009737,31.8290587
2021-07-11,,,,,,,,,
2021-07-12,104.78044710000002,-0.6060201,2.75752718,2.99071308,-0.0458401,1.8103721,16.1856254,0.48142714,37.2782737
2021-07-13,6.7741855,4.4270339,-0.2517601,0.934283302,0.192873992,0.85225622,11.5576339,-0.3213801,36.2088873
2021-07-14,408.15593509999997,4.499987899999999,2.11188866,1.6049091799999997,-0.035047072,1.5158819000000001,15.318544900000001,0.9230353980000001,-1.4108001000000001
2021-07-15,120.2080359,1.2759228999999999,3.76053902,2.66463525,-0.0458401,1.23607418,15.2418969,1.126806387,11.432417700000002
2021-07-16,96.13829670000001,3.2746309000000005,1.9401883399999997,1.85938535,0.12424922,0.6889976900000001,12.8698624,0.8204509020000001,14.8733589
2021-07-17,-8.98479826,6.805179899999999,1.080088064,0.752935434,0.180341336,0.6194100200000001,10.302154400000001,1.3975368989999999,-0.94862202
2021-07-18,-10.1837841,9.0829659,-0.2517601,0.61936501,0.29346757999999995,0.5926649300000001,7.1094704,2.81914526,-0.7057528
2021-07-19,-5.386827988,7.259115899999999,2.0388782599999997,2.51949675,-0.0458401,1.35052187,8.4858179,-0.3213801,-0.84739712
2021-07-20,,,,,,,,,
2021-07-21,332.3964591,3.8410086999999997,0.9897817520000001,1.1974462799999999,0.03155157199999999,0.657209,11.621015900000002,-0.3213801,19.7843537
2021-07-22,229.7990551,-0.7720001,4.0816589,3.09231003,-0.0458401,1.6755958999999998,15.639508400000002,0.10232889889999999,20.3303333
2021-07-23,280.1609615,3.6456927,2.30020514,1.4879382999999997,-0.0458401,1.4029613,11.8384309,2.0700084800000003,-1.328621
2021-07-24,-6.93678866,3.8765978999999997,2.38152362,1.5332000099999998,0.12536542399999998,0.8890184600000001,9.7272944,1.8832866999999998,-1.27458736
2021-07-25,44.7748911,1.9306175,0.648684716,0.834245247,0.24723794,0.9753480800000001,7.6839619,1.62055855,16.3405909
2021-07-26,-3.724001732,2.8695239,2.06115902,0.029206066599999997,0.047430547999999996,0.030484259000000003,-0.7370001,0.227986872,7.7481135000000005
2021-07-27,144.52533670000003,2.4905105,1.4423329399999998,1.0616396479999999,0.15978209599999998,0.09970486699999999,8.560991900000001,0.869156041,20.6012069
2021-07-28,22.656387419999998,4.461001899999999,3.0501981799999998,1.3092566799999998,0.169002812,0.66424202,7.857525399999999,1.575613557,10.9090109
2021-07-29,53.8474611,4.2714758999999995,4.007389699999999,2.42660811,0.10568401999999999,0.89627564,2.0648896500000005,1.9388854399999997,14.062148900000002
2021-07-30,50.63647462,4.5856799,2.0707259000000002,0.719306306,0.17697897199999998,0.120427058,7.2764009,0.48578183900000005,26.5547829
2021-07-31,93.92149510000002,2.8102729,1.34653826,1.80315762,0.134075024,0.36280286000000006,7.8929014,-0.0826092221,31.450258899999998
2021-08-01,21.9288939,7.9249659,0.3653666,1.7766026499999998,0.00167516864,0.69348089,4.609566399999999,1.568623542,9.9475507
2021-08-02,-8.5605677,12.0424279,0.263076512,0.5862949340000001,0.20404061599999998,-0.26204314,4.2598598999999995,1.0941220409999999,-0.44952330400000007
2021-08-03,-10.3385101,10.716903900000002,3.14120942,1.4437516899999998,0.03590408,-0.030174838000000002,7.3268854,-0.028260650299999995,10.5520785
2021-08-04,17.56337014,6.4963799,2.3817753799999997,2.89062127,-0.0458401,0.36358741999999994,11.1143284,1.5085254819999998,12.804420700000001
2021-08-05,12.99585862,6.0466899,2.88302954,2.78192866,-0.0069290452,1.14688652,10.912390400000001,1.4822526669999998,13.6099875
2021-08-06,-6.285814180000001,6.949157899999999,1.7721385399999998,1.6242609799999999,0.028576556,1.18682903,8.559886400000002,3.4442293600000005,-1.01993796
2021-08-07,-11.2528001,5.213701899999999,1.35988154,0.300189322,0.26124205999999994,1.11592442,6.5136059,2.6552414600000005,8.914139700000002
2021-08-08,36.23514118,2.9040323,0.60416096,0.839018691,0.26830142,0.81557804,5.9811233999999995,1.4791834879999999,17.428317699999997
2021-08-09,8.497551820000002,2.0381571000000003,3.4925405,1.2522763799999999,0.34508342,0.6903426500000001,0.5345091500000001,4.18549233,12.537779500000001
2021-08-10,20.447462780000002,4.2703179,2.9285981,2.37392821,0.08205349999999999,1.12256516,8.2256569,2.29288551,11.968521700000002
2021-08-11,11.338321180000001,8.267733900000001,-0.24366601599999999,-0.2150201,0.25734566,1.5069154999999999,3.48250915,-0.004024741740000001,7.2120095
2021-08-12,27.62899974,5.575769899999999,1.51483982,-0.029776069599999996,0.7157915,-0.2802001,10.925656400000001,4.485179179999999,6.82234654
2021-08-13,,,,,,,,,
2021-08-14,405.5902967,5.2052099,1.0230140719999998,0.371683472,0.189080732,0.18021052999999998,1.1621015,1.276392708,10.088630700000001
2021-08-15,298.4298823,3.6990379,0.385620692,0.49278273599999994,0.073575392,0.6563824100000001,3.1988010000000004,3.73861344,5.21205942
2021-08-16,112.31982310000001,8.1461439,1.3112918599999999,1.74047929,-0.038262748,0.9156094400000001,3.30503955,6.76054958,9.8671351
2021-08-17,167.4866751,3.6652629,2.7376381399999996,0.48109639899999995,0.19514307199999997,1.6285223000000002,-0.7370001,4.92932634,6.73826286
