Date,NO_x,NO2,NOx,NO_y,NOy,O3
2021-07-10,2.0164533798771687,4.678817403345796,12.6243264556765,0.19939935709110285,17.303143859022295,59.41997363216875
2021-07-11,1.1749402102217117,2.3581007621489105,6.019209861500747,0.11308567020915743,8.377310623649658,49.99072164948454
2021-07-12,1.3122774264176609,4.619967977892962,12.456831937079968,0.2451010157788848,17.07679991497293,52.0854415274463
2021-07-13,0.7575014356245562,2.2456091443072896,5.699041410720747,0.04452646982271868,7.944650555028037,71.57777777777778
2021-07-14,1.5707008968134974,5.859707520288264,15.985321403897373,0.3086109844042865,21.845028924185637,52.67696584590946
2021-07-15,2.4673100725483077,4.909602046810734,13.281175056307477,0.3326275941252171,18.19077710311821,35.76685616827743
2021-07-16,1.0592066050525726,3.269395351145791,8.612894460953402,0.14822584616471987,11.882289812099193,55.18773513920241
2021-07-17,1.3046010791733127,3.3229901335238026,8.765433456952364,0.1564463742552381,12.088423590476166,54.58
2021-07-18,0.2022144037606963,1.6250418596179697,3.932811446604991,0.0336222902840073,5.5578533062229605,69.95866013071895
2021-07-19,1.6080463576158943,4.163245657125833,11.156929947204294,0.19358014326567777,15.320175604330126,61.75468615649184
2021-07-20,2.896666925190801,5.475639605695374,14.892205031594525,0.3478909316916583,20.3678446372899,
2021-07-21,1.658000346269471,4.363450752406628,11.726744449157323,0.209533331400967,16.09019520156395,56.22042253521126
2021-07-22,3.379181508861973,6.658259017918663,18.258121820230038,0.4077949356506295,24.9163808381487,43.376597190756684
2021-07-23,1.196210100539359,4.75036997753725,12.827976089913715,0.20628095584655623,17.578346067450966,56.33380215658697
2021-07-24,1.0470488744928077,4.448038509854859,11.967494220356135,0.1955987661960489,16.415532730210995,47.42021521906226
2021-07-25,0.25561891503388817,2.6256940945840324,6.780821653816092,0.08515878571833288,9.406515748400125,57.2178517397882
2021-07-26,0.3341164025625351,4.101014875408214,7.507136650051357,0.09379944904038354,11.60815152545957,40.526614238410595
2021-07-27,1.7737410006928336,5.67598616842519,15.462422171671697,0.2791652673219954,21.138408340096888,59.17591292134831
2021-07-28,3.7743317765203814,6.119593947770074,16.724998159037906,0.4929204833718667,22.84459210680798,38.00599315068493
2021-07-29,3.84315717074006,6.501924298833721,17.81316915821905,0.540106178396024,24.31509345705277,39.08661710037175
2021-07-30,1.6324240833304855,4.374145543431178,11.757183469765662,0.28064407602086666,16.13132901319684,34.93624327678941
2021-07-31,0.8586391795709148,4.6201939745163685,12.457475158238893,0.20947179399039303,17.07766913275526,49.944062887877536
2021-08-01,0.20141987718682935,3.0479195996357564,7.982540398963311,0.1509955051870631,11.030459998599067,44.793628465039305
2021-08-02,0.7281850083916389,2.277080755625586,5.788614458318976,0.08414980810537866,8.065695213944561,63.70040816326531
2021-08-03,0.4335178751664416,3.788763188753622,10.091095229529543,0.16244639532517235,13.879858418283165,62.78772338772339
2021-08-04,1.2005888742145097,6.577927662141878,18.029486423019186,0.2444934153506797,24.607414085161064,64.11069063386944
2021-08-06,0.19796408858449546,4.120732042286411,11.035929658815173,0.102754382826984,15.156661701101584,78.05500209292592
2021-08-07,2.341892923876838,2.5517432306055063,6.570346117877211,0.043983223455970145,9.122089348482717,78.8391304347826
2021-08-08,0.20874694020282084,2.4456846190838135,6.26848699277701,0.05336927781101715,8.714171611860824,73.00366449511401
2021-08-09,1.3980290365942067,3.5827062587435137,9.504625505654614,0.12228973026537827,13.087331764398128,63.801657706093195
2021-08-10,0.5239118705787044,4.604507892972142,12.412830156920714,0.16003704363208104,17.017338049892857,67.8050243902439
2021-08-11,0.5316993442940664,2.062567182835296,5.178075828069688,0.056730557916390326,7.240643010904984,54.93551348250143
2021-08-12,0.14353221321166304,3.3979876969928906,7.739373352995418,0.12931466200288758,11.137361049988309,59.08871740287387
2021-08-13,0.36603218172541363,4.030690292138424,8.016598983030608,0.20623202896417722,12.047289275169032,43.77359400107123
2021-08-14,1.5961410330078307,5.558485795488171,11.794493294965882,0.33380524797489625,17.352979090454053,33.255308641975304
2021-08-15,,2.7362955050763045,6.821725569023627,0.05796343619866174,9.558021074099932,67.9915295551493
2021-08-16,0.2383542075147053,5.089267286546017,12.589687621276445,0.16475305721410916,17.67895490782246,65.01098014888336
2021-08-17,1.4629222141973932,5.441444007287645,14.089038128597116,0.3036808898043299,19.53048213588476,44.67026074700494
2021-08-18,1.02718345461509,1.234469178533683,1.290940356696573,0.03538157592174265,2.525409535230256,30.706735395189
2021-08-19,,1.6246274889479424,1.4863021438042847,0.03226459858164962,3.110929632752227,44.87389558232932
2021-08-20,4.574249817403951,5.204197245342948,14.119638313668391,0.5708606824559972,19.32383555901134,28.983288409703505
2021-08-21,0.3382163696577827,2.704703868339454,7.00569562527383,0.14360168731768846,9.710399493613284,27.3472553699284
2021-08-22,0.3734570340059264,1.988400844535959,4.966987019063883,0.09598155270628976,6.955387863599842,40.48135593220339
2021-08-23,0.3206391671097035,3.5701056610758517,9.468762266138965,0.17594751070150635,13.038867927214817,52.428989361702136
2021-08-24,0.2666283281828787,2.9707485789313104,7.762899801573729,0.09473446148952573,10.73364838050504,61.65535714285714
2021-08-25,0.3392367805601506,3.6458574181819827,8.598167288995846,0.12736313507563723,12.244024707177829,60.884350132626
2021-08-26,4.213190348525469,2.5555024022785924,5.5925121754740355,0.06115108263175372,8.148014577752628,71.3426597582038
2021-08-27,1.1879530264698108,2.2471014857452376,5.215927772450278,0.05967756647730436,7.463029258195515,66.39954515919428
