Date,Plant decomposition,Biogenic,Summer blend gasoline,Winter blend gasoline,"institutional refrigerator, air conditioning, cooking",Education institution,Commercial and industrial solvents,VCP(siloxane),VCP(EtOH)
2021-07-10,0.12451507100499999,0.006868006029890001,0.0024930029859099997,0.002083390014,0.009243854742780002,0.0022542299537899996,0.007348729958899999,0.00246090700598,0.026016689798990005
2021-07-11,0.054611940800197,0.0048525430944,0.0023136930009600002,0.0014824100086,0.00511527489633,0.0013906699727100002,0.004512939869300001,0.00197110696882,0.02665899997961
2021-07-12,0.10556248499311,0.00659769208099,0.0029418180238000003,0.0023280399879,0.008304481087989998,0.0022936189999,0.007468849931999999,0.0028566359620200003,0.028444113981888
2021-07-13,0.023869420991900002,0.004754055089700001,0.00239706602819,0.0015843900019,0.0033595279791199997,0.0013029370070799997,0.0037176699891000005,0.0021769879919899997,0.0242089960328
2021-07-14,0.00373029401441,0.00437769896801,0.0018162940110199998,0.00233240497968,0.0012521610071100002,0.0015459619978999998,0.0052129398721,0.00282887398813,0.0018873020299899998
2021-07-15,0.11047870499341,0.00605754212109,0.0019102010100999999,0.0017828300120000002,0.0076781500972000006,0.0020665980321999994,0.0062887800177,0.00216195493802,0.01295138647019
2021-07-16,0.09406449499720002,0.005864935017900001,0.00206133699886,0.0025022899962,0.0069322441321200004,0.0020739059781999998,0.0081844897893,0.0028121409767,0.014989793586900002
2021-07-17,0.0004390880032,0.0033333319942,0.00127517699442,0.0010364100011,0.00069576800946,0.0009294090094,0.0022831300185,0.0016123460188800002,0.0013888407092980002
2021-07-18,0.000516349801297,0.0037338129117999996,0.00130965798806,0.0014547899718999999,0.00073260300453,0.00100688502081,0.0033030200185,0.00193350697021,0.00153091197811
2021-07-19,0.000479994003098,0.0035138560165999997,0.00137675699278,0.0013432399911,0.0008242739864699999,0.0010839413062990002,0.0024709000024,0.00168371797908,0.0013981487891269997
2021-07-20,0.0034420228019999997,0.0022973432008,0.0014241270998979999,0.0014414599903,0.001356433392359,0.0007159514905100001,0.0028207160661999995,0.001110627815029,0.011376558505988
2021-07-21,0.003635329797097001,0.0040185130156,0.00211568101899,0.0018437000301,0.00162395297582,0.0012041069889999999,0.0037864599718,0.0023081960190799995,0.01470226603343
2021-07-22,0.203566572,0.00885727821789,0.002423625945,0.0021668399771,0.01351922599279,0.00303982299909,0.009503700103,0.0027087539388300002,0.021730258917017003
2021-07-23,0.24852668799879998,0.0100606451193,0.0017648880002299999,0.00153662496818,0.015469624016009998,0.0033022550098000003,0.0096299300413,0.0024202209908899997,0.0112172165041
2021-07-24,0.00047148799590000003,0.0033453849593,0.00145837601402,0.0012764600351000003,0.00074167799772,0.00110611602271,0.0026155099603999998,0.0019261689802899996,0.00148933695296
2021-07-25,0.04987620499740001,0.00419714898381,0.00174815400779,0.0012343299921000002,0.0041127049873999994,0.00135026101221,0.0037301200110999994,0.00177640702002,0.013469589978829999
2021-07-26,0.00035597056651969996,0.0029457222619900005,0.0013425043219109,0.000482811405291,0.000623497302182,0.0007433686002129999,0.00121670831489,0.0014912382019109996,0.0057616567568891
2021-07-27,0.14047419300222003,0.007301357989910001,0.0021236269689899998,0.0014525100013,0.009626118295510001,0.0022951719753,0.006395160079999999,0.0023289429680100004,0.018993574189887997
2021-07-28,0.02916623800209,0.004465128101410001,0.001860658801101,0.0013861700083000002,0.002795216021,0.00136208601129,0.0034153299887,0.002048520618578,0.009429685696270002
2021-08-01,0.026055610205400995,0.0044173927880020005,0.00166171301141,0.0013218499821999999,0.0024474360138699996,0.0012429078720969998,0.0032910499812899997,0.00202888599887,0.008842191680988999
2021-08-02,0.00048564400139800007,0.0039014659619,0.0012861899780099997,0.001023070007,0.00067319999751,0.000921606298309,0.0021880100189000003,0.00165433098122,0.0015489479994899998
2021-08-03,0.0005746020021,0.004182774998600001,0.00213672099819,0.0013652000180000002,0.0011044430130899999,0.0011474539946,0.0028119000011000003,0.0019445310167000003,0.008796684801099998
2021-08-04,0.0243999329909,0.005361185009,0.002333108974,0.0018529000231000002,0.0027320049909,0.00166030699599,0.0039489500738999995,0.00264087398978,0.010867546396989999
2021-08-05,0.021283166986000003,0.00572501207489,0.00263888801592,0.0022357200351000002,0.0026974350328099997,0.00185102199701,0.004662250061600001,0.0030061879814000003,0.011340233713
2021-08-06,0.00060807401591,0.004697729010009999,0.00190269801914,0.0015182800232,0.0009149959873699999,0.00145197096281,0.0028721800283,0.0025334060221,0.00200467899988
2021-08-07,0.000532958005,0.0042552350265999996,0.0019323570004999998,0.0012238200165,0.00113047900563,0.00124402098281,0.002564410017,0.0022063089951200004,0.00731310079188
