
Factor Contributions (avg = 1) from Base Run #2 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Factor 11
2,08/10/21,9.448900E-001,2.139000E+000,2.063700E-001,1.538000E+000,1.831200E+000,1.884200E+000,2.571200E+000,1.191800E+000,5.808100E-001,3.739200E-001,1.243800E+000
2,08/11/21,1.170200E+000,-1.096900E-001,1.532000E-001,9.088800E-001,9.821800E-002,9.303900E-001,5.968300E-001,-2.000000E-001,1.172100E+000,5.112200E-001,1.990700E+000
2,08/12/21,-1.000500E-002,-1.563600E-002,2.782900E-001,1.000300E+000,2.228500E+000,5.081000E-001,2.882100E+000,1.580600E+000,5.465700E+000,-2.000000E-001,1.620100E+000
2,08/13/21,9.718700E-001,-2.000000E-001,1.140100E+001,7.095800E-001,7.041800E-001,1.409600E+000,4.658900E-001,2.453500E-002,3.276800E-001,1.120900E-001,5.663600E-001
2,08/14/21,2.426000E-001,4.754900E-001,5.696900E+000,1.177900E+000,6.672800E-001,2.248500E+000,3.490700E-001,1.173100E+000,3.714400E-001,-9.763200E-002,1.040400E+000
2,08/15/21,7.634900E-001,4.650800E-001,4.031600E+000,6.349400E-001,2.291700E+000,1.199900E+000,7.656800E-001,7.962700E-001,-2.000000E-001,6.143800E-002,1.415600E+000
2,08/16/21,8.742100E-001,1.178700E+000,1.460600E+000,1.124200E+000,4.453400E+000,2.980000E+000,7.980300E-001,3.951600E-001,-2.000000E-001,2.163200E-001,1.746700E+000
2,08/17/21,1.195800E+000,2.462100E-001,2.123600E+000,5.613800E-001,2.306700E+000,3.876100E+000,1.650700E-001,1.345900E+000,8.613200E-001,5.043000E-001,-2.000000E-001
2,08/18/21,-7.177700E-002,-1.853100E-001,1.256600E+000,-1.697600E-001,4.932900E-001,1.068800E+000,-1.950300E-002,-1.620000E-001,2.468900E+000,-5.977400E-003,1.037600E-001
2,08/19/21,-6.139900E-002,-1.759200E-001,1.021900E+000,-7.674100E-002,-2.000000E-001,2.348200E-001,3.453200E-002,2.185800E-001,2.486100E+000,-5.374700E-002,4.904000E-001
2,08/20/21,7.846500E-001,1.548100E+000,2.488400E+000,5.196100E-001,2.056300E+000,1.697100E+000,2.020400E+000,3.459100E+000,1.319900E+000,1.874300E-001,-2.000000E-001
2,08/21/21,1.716500E+000,-2.000000E-001,4.959600E-001,-1.863700E-001,8.270200E-002,8.037500E-001,-2.000000E-001,7.043700E+000,-2.000000E-001,2.914300E-001,-1.072400E-001
2,08/22/21,2.134000E-001,6.712100E-001,-1.874400E-001,-1.713100E-001,2.086100E+000,6.728700E-001,6.313400E-001,1.307200E+000,2.989100E+000,-2.277800E-002,2.656000E-001
2,08/23/21,5.288000E-001,7.130800E-001,2.865900E-001,8.300200E-001,1.911800E+000,1.131600E+000,1.190500E+000,1.247600E+000,2.326300E+000,1.902200E-001,2.582900E-001
2,08/24/21,1.029900E+000,1.432400E-001,6.984600E-001,-1.352400E-001,2.524000E+000,-2.000000E-001,2.682000E-001,4.545400E+000,2.178300E+000,8.711800E-002,1.103200E+000
2,08/25/21,1.133900E+000,8.036900E-001,-1.637300E-001,-1.103700E-001,2.306100E+000,-2.000000E-001,4.312100E-001,5.126000E+000,1.141700E+000,3.911100E-002,2.144300E+000
2,08/26/21,9.120800E-001,-1.087100E-001,1.468100E+000,-9.233500E-002,7.416500E-001,-2.000000E-001,2.747400E-001,2.771200E+000,1.563900E+000,2.864100E-001,2.196600E+000
2,08/27/21,-5.783600E-002,5.365300E-001,-1.477400E-001,1.808700E+000,1.045600E+000,1.416500E+000,7.482100E-001,6.887100E-001,8.062000E-001,-2.000000E-001,2.499200E+000
2,08/28/21,5.991100E-001,7.994700E-001,2.535700E-001,2.281600E+000,1.795500E+000,1.415800E+000,9.715100E-001,8.406500E-001,2.199600E-002,3.241100E-003,2.992200E+000
2,08/29/21,7.933600E-001,1.505300E-001,4.845600E-001,1.914000E+000,1.035500E+000,8.293300E-001,6.739600E-001,8.412800E-001,6.649000E-001,6.980900E-002,2.759100E+000
2,08/30/21,2.286300E-002,-5.742400E-005,-1.203700E-002,-9.696000E-003,4.924400E-002,4.901200E-001,-1.096400E-001,-1.398600E-001,-2.000000E-001,-1.750900E-002,4.484200E-001
2,08/31/21,5.793500E-001,1.738700E+000,6.124800E-001,1.552100E+000,2.438900E+000,2.693300E+000,2.168900E+000,2.842000E+000,7.866800E-001,1.304300E-001,-2.000000E-001
2,09/01/21,1.096300E+000,4.603300E-001,-2.000000E-001,1.527500E+000,9.134900E-001,8.770100E-001,1.132000E+000,8.400300E-001,2.606700E+000,6.365400E-001,-8.289600E-002
2,09/02/21,3.509300E-002,7.572200E-001,3.144600E-001,2.431000E+000,1.937000E+000,2.240800E+000,1.510100E+000,1.743000E+000,2.142500E+000,-9.110300E-002,-2.000000E-001
2,09/03/21,6.448100E-001,2.741200E-001,6.753300E-001,2.043800E+000,1.489600E+000,5.056600E-001,1.116700E+000,4.980600E-001,9.156000E-001,1.739100E-001,1.213200E+000
2,09/04/21,2.150800E-002,8.232700E-004,-1.072500E-002,-5.504800E-003,4.482900E-002,4.504300E-001,-9.779500E-002,-1.289300E-001,-1.925700E-001,-1.543600E-002,4.101400E-001
2,09/05/21,5.297200E-001,-2.000000E-001,1.668300E-001,1.141000E+000,1.549100E-001,1.062100E+000,1.187100E-001,-1.080100E-002,1.028200E+000,7.122900E-002,2.110000E+000
