
Factor Contributions (avg = 1) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Factor 11
5,08/10/21,2.359700E-001,3.510500E-001,1.393200E+000,1.579100E+000,2.866300E+000,2.228500E-001,1.762300E+000,1.144500E+000,2.284800E+000,4.589600E-001,2.010300E+000
5,08/11/21,1.338700E-001,1.546400E+000,2.003300E+000,9.018000E-001,5.192200E-002,5.619500E-001,-1.092600E-001,1.074500E+000,9.501300E-001,-8.045700E-002,-1.433900E-001
5,08/12/21,2.501100E-001,5.016400E+000,1.271200E+000,1.159000E+000,2.149700E+000,-2.000000E-001,2.368500E+000,7.426900E-004,2.490200E+000,4.362800E-001,1.473400E-001
5,08/13/21,1.146000E+001,1.161900E+000,3.278400E-001,7.227600E-001,-7.057200E-002,8.700200E-002,9.422300E-001,6.619000E-001,8.997500E-002,9.409400E-001,-2.000000E-001
5,08/14/21,5.816400E+000,8.755600E-001,1.269100E+000,1.204600E+000,6.334200E-001,-9.061700E-002,7.822600E-001,1.169000E-001,3.554600E-001,1.930200E+000,5.455700E-001
5,08/15/21,4.181000E+000,-2.000000E-001,1.376200E+000,5.983300E-001,1.923100E-001,4.198900E-002,1.907400E+000,6.968800E-001,1.128800E+000,1.573700E+000,5.032000E-001
5,08/16/21,1.511900E+000,-2.000000E-001,2.689200E+000,1.192000E+000,1.160300E+000,1.315200E-001,4.591300E+000,8.382800E-001,1.026500E+000,1.474500E+000,1.340300E+000
5,08/17/21,2.181900E+000,3.219300E-001,1.147500E+000,8.810800E-001,2.168200E+000,5.369200E-001,2.563500E+000,1.083800E+000,-2.000000E-001,2.036100E+000,2.899300E-001
5,08/18/21,1.318900E+000,1.917200E+000,4.499700E-001,1.378400E-002,2.405500E-001,-2.482900E-002,6.038400E-001,-1.424500E-001,-9.810000E-002,2.251300E-002,-3.836000E-004
5,08/19/21,1.049400E+000,2.146200E+000,3.405900E-001,1.567500E-002,-1.075000E-001,-3.135900E-002,-2.000000E-001,-1.238800E-001,1.256300E-001,2.129700E-001,-1.842600E-002
5,08/20/21,2.576500E+000,6.848200E-001,-2.000000E-001,6.729000E-001,3.273000E+000,1.840100E-001,2.096800E+000,9.198800E-001,1.462100E+000,2.593400E+000,1.396900E+000
5,08/21/21,5.012000E-001,-2.000000E-001,-2.000000E-001,-2.000000E-001,7.581900E-001,7.757100E-001,-1.080900E-001,1.462100E+000,-2.000000E-001,9.167700E+000,-2.000000E-001
5,08/22/21,-1.501400E-001,2.115100E+000,2.315600E-001,-2.399300E-002,6.689900E-001,-5.083200E-002,1.695700E+000,2.430200E-001,8.732000E-001,1.217100E+000,9.583700E-001
5,08/23/21,3.261500E-001,1.584400E+000,1.898000E-001,9.182000E-001,1.055000E+000,1.447600E-001,1.626400E+000,5.872400E-001,1.338200E+000,1.067700E+000,8.133500E-001
5,08/24/21,7.036100E-001,1.732600E+000,6.271000E-001,-1.489800E-001,5.836500E-001,3.439600E-001,1.555500E+000,9.013600E-001,1.003100E+000,4.205700E+000,3.641500E-001
5,08/25/21,-1.842300E-001,1.243300E+000,1.491200E+000,-2.000000E-001,8.040700E-001,3.196200E-001,1.208900E+000,1.044700E+000,1.353600E+000,4.753200E+000,1.032300E+000
5,08/26/21,1.428700E+000,1.970500E+000,1.844300E+000,-1.507300E-001,1.573400E-001,5.125400E-001,1.288400E-001,7.443800E-001,8.318300E-001,2.568400E+000,2.273500E-002
5,08/27/21,-2.000000E-001,1.248200E+000,2.511300E+000,1.705100E+000,3.936800E-001,-1.799300E-001,8.473300E-001,-6.116300E-002,1.190000E+000,1.355700E+000,6.773100E-001
5,08/28/21,1.891600E-001,7.926700E-001,2.950000E+000,2.089400E+000,3.506700E-001,2.993300E-002,1.492100E+000,5.719800E-001,1.532800E+000,1.741100E+000,8.860200E-001
5,08/29/21,4.193100E-001,1.315200E+000,2.471400E+000,1.773700E+000,3.394300E-002,1.652300E-001,7.899200E-001,6.822000E-001,1.167700E+000,1.518100E+000,2.248400E-001
5,08/30/21,-1.797600E-002,-1.997000E-001,1.326500E+000,-1.187300E-002,5.792200E-002,-2.443900E-002,1.080600E-001,7.894300E-003,-1.412200E-001,7.238200E-002,2.905500E-002
