
Residuals from Base Run #9 (Convergent Run)

Base_Run,Date_Time,Dichloromethane,Chloroform,Trichlorofluoromethane,Dichlorodifluoromethane,Carbon Tetrachloride,1_1_2-Trichlorotrifluoroethane,1_2-Dichloro-1_1_2_2-tetrafluoroethane,Tetrachloroethene,1_2-Dichlorobenzene,1_4-Dichlorobenzene,PCBTF,N-Butane,Isobutane,N-Pentane,Isopentane,2-Methyl pentane,Butene,Propylene,cis-2-Pentene,Isoprene,alpha-Pinene,MVK,Benzene,Toluene,Ethylbenzene,Propylbenzene,m_p-Xylene,o-Xylene,p-Isopropyl Toluene,Naphthalene,Methanol,Ethanol,Phenol,Isovaleraldehyde,Hexaldehyde,m_p-Tolualdehyde,Phenylacetaldehyde,Cyclohexanone,Methyl acetate,n-Butyl acetate,D5-Siloxane
9,07/20/21,2.400000E-002,-3.840000E-003,-3.609000E-002,-9.274000E-002,7.202000E-003,-1.372000E-002,5.646000E-003,-4.295000E-004,7.842000E-005,-8.561000E-005,2.289000E-005,-4.472000E-002,-1.974000E-002,8.414000E-002,-1.211000E-001,-2.117000E-002,1.782000E-002,-7.124000E-002,2.764000E-003,4.930000E-002,5.068000E-003,2.696000E-002,4.345000E-001,7.583000E-002,1.358000E-002,2.381000E-003,2.413000E-002,1.580000E-002,-5.275000E-003,-1.837000E-003,6.781000E+001,6.775000E-002,7.988000E-002,1.329000E-002,5.085000E-002,-2.463000E-004,5.455000E-002,-1.070000E-003,-1.157000E-001,1.541000E-001,-2.349000E-002
9,07/21/21,4.063000E-002,-3.466000E-004,2.770000E-002,5.880000E-002,-4.376000E-003,4.116000E-003,2.416000E-003,-5.140000E-004,-1.730000E-004,1.301000E-004,5.240000E-004,1.843000E-002,-9.299000E-002,1.569000E-002,-3.255000E-002,-5.951000E-002,1.235000E-003,4.755000E-002,-1.865000E-003,3.078000E-002,2.296000E-003,8.261000E-003,-7.065000E-002,-4.497000E-003,3.373000E-003,-9.651000E-005,1.412000E-002,7.597000E-003,-1.608000E-003,3.811000E-004,4.368000E+000,1.403000E+000,5.794000E-002,-1.508000E-002,-3.566000E-002,-3.809000E-004,9.730000E-002,-8.672000E-004,-3.360000E-002,2.291000E-002,-1.409000E-003
9,07/22/21,3.241000E-003,1.785000E-003,2.701000E-002,3.915000E-002,-1.198000E-002,-4.371000E-003,-2.329000E-003,-6.531000E-004,-3.966000E-004,3.596000E-004,8.173000E-003,1.830000E-003,-7.073000E-002,1.733000E-001,1.841000E-001,1.395000E-001,-4.144000E-002,3.973000E-002,-8.619000E-004,1.840000E-001,2.694000E-002,6.669000E-002,-1.094000E-001,-1.191000E-002,-2.074000E-003,-1.310000E-003,4.854000E-003,2.354000E-004,-8.015000E-004,1.048000E-003,-1.512000E+000,-8.514000E-001,-3.095000E-002,9.765000E-003,-2.553000E-003,-2.715000E-004,-2.350000E-002,-3.520000E-004,-1.281000E-002,2.163000E-001,-2.416000E-002
9,07/23/21,-1.362000E-002,5.898000E-003,-3.894000E-002,3.473000E-002,-1.232000E-002,-3.101000E-003,-3.841000E-003,-1.539000E-003,1.244000E-004,-8.049000E-005,5.251000E-003,-1.827000E-001,7.934000E-002,3.452000E-002,-9.215000E-003,-1.743000E-002,-8.606000E-002,8.549000E-004,-3.930000E-004,7.719000E-002,2.037000E-002,4.404000E-002,-9.341000E-002,7.814000E-002,2.742000E-003,-2.996000E-004,-1.646000E-003,2.680000E-003,8.377000E-003,-7.416000E-003,-6.514000E-001,-8.452000E-003,8.276000E-002,2.353000E-002,3.360000E-002,4.546000E-004,2.861000E-002,1.722000E-003,8.713000E-002,1.959000E-001,-1.826000E-002
9,07/24/21,-1.680000E-002,4.787000E-003,2.828000E-003,8.044000E-002,-4.865000E-004,2.601000E-003,-3.401000E-003,-1.044000E-003,4.512000E-005,5.766000E-007,-2.457000E-003,-2.749000E-002,-3.511000E-002,5.484000E-002,3.055000E-002,1.787000E-002,-3.500000E-002,-3.575000E-002,6.692000E-004,3.589000E-002,1.489000E-002,1.394000E-002,-5.815000E-002,9.628000E-003,8.525000E-003,-2.398000E-004,5.052000E-003,4.269000E-003,2.416000E-003,-1.649000E-003,3.591000E-005,-1.620000E-003,-3.079000E-002,1.076000E-002,-1.033000E-002,2.902000E-004,3.975000E-002,2.092000E-003,-3.198000E-003,5.027000E-002,-1.348000E-002
9,07/25/21,6.277000E-003,1.224000E-002,4.359000E-002,6.830000E-002,1.106000E-002,1.288000E-002,-7.756000E-004,5.651000E-003,-9.132000E-005,1.584000E-004,-3.613000E-003,1.400000E-002,-1.267000E-002,-1.074000E-003,1.414000E-002,-7.559000E-002,1.869000E-002,-1.393000E-003,1.672000E-003,-5.716000E-002,-6.231000E-005,-4.934000E-002,3.751000E-002,4.200000E-003,2.500000E-003,-1.105000E-003,-4.939000E-003,-2.584000E-003,-4.241000E-003,1.091000E-004,3.275000E-001,1.428000E+000,4.907000E-002,-9.783000E-003,-8.354000E-002,-7.645000E-004,4.822000E-002,3.409000E-004,-8.675000E-003,3.626000E-002,7.335000E-002
9,07/26/21,-4.727000E-003,-2.351000E-004,-4.042000E-003,-1.531000E-002,9.769000E-002,-2.589000E-003,-1.973000E-003,-1.495000E-003,2.361000E-005,-2.697000E-004,-8.933000E-004,-1.295000E-002,4.165000E-003,-3.224000E-004,-4.179000E-002,-7.870000E-003,-1.958000E-002,-8.510000E-002,4.219000E-004,1.279000E-001,4.210000E-002,4.661000E-002,3.159000E-002,1.454000E-001,1.071000E-002,5.393000E-003,5.078000E-003,8.529000E-003,9.456000E-002,-7.619000E-004,5.589000E-005,-2.409000E-001,-4.326000E-002,5.984000E-002,5.140000E-002,7.056000E-004,1.495000E-003,1.626000E-003,-1.662000E-002,3.056000E-002,-2.006000E-002
9,07/27/21,2.868000E-003,1.027000E-002,1.876000E-002,-1.284000E-002,1.049000E-002,2.830000E-004,-2.042000E-003,9.654000E-004,1.523000E-004,-8.290000E-005,-2.468000E-003,-9.961000E-002,7.390000E-002,8.515000E-004,2.261000E-002,-2.180000E-002,-7.705000E-002,7.691000E-002,3.270000E-003,3.690000E-002,7.328000E-003,-1.995000E-003,-3.955000E-002,2.704000E-002,2.405000E-003,7.680000E-004,4.361000E-003,1.555000E-003,2.163000E-002,-4.977000E-003,9.444000E-001,-4.609000E-001,-3.879000E-001,3.327000E-002,2.363000E-002,6.571000E-004,-8.130000E-003,2.553000E-003,4.750000E-002,-2.855000E-002,1.023000E-003
9,07/28/21,-2.018000E-002,-1.652000E-004,4.131000E-002,-2.224000E-002,1.559000E-003,-5.804000E-004,6.410000E-005,-2.540000E-003,-3.289000E-006,4.549000E-005,-1.621000E-003,-5.070000E-002,-1.858000E-002,2.260000E-002,5.180000E-002,6.283000E-002,-5.007000E-002,-3.183000E-002,-5.241000E-004,1.856000E-001,2.431000E-002,8.343000E-002,-7.309000E-002,6.029000E-002,4.970000E-003,2.501000E-003,1.671000E-002,1.159000E-002,1.280000E-002,-4.602000E-004,-1.322000E-002,-6.258000E-001,-9.799000E-002,2.471000E-002,7.284000E-002,1.174000E-003,-1.720000E-001,2.336000E-003,-4.162000E-002,5.550000E-002,-2.594000E-002
9,07/29/21,3.021000E-001,-5.559000E-003,-4.663000E-002,9.685000E-002,-1.381000E-003,-1.948000E-002,9.852000E-003,1.832000E-004,4.025000E-004,-3.258000E-004,6.951000E-003,6.778000E-002,2.571000E-002,1.050000E-002,-1.872000E-001,-5.726000E-002,9.538000E-002,-1.149000E-001,-2.170000E-003,2.610000E-001,2.522000E-002,1.188000E-001,3.379000E-001,8.145000E-002,1.286000E-002,3.439000E-003,-2.215000E-003,7.168000E-003,6.282000E-003,-4.280000E-003,-1.064000E-001,-6.867000E-001,1.301000E-001,-1.288000E-002,-2.189000E-002,-1.998000E-004,9.115000E-003,1.140000E-005,1.628000E-001,1.061000E-001,-1.052000E-001
