**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 4

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.01098,  0.01096,  0.01100,  0.01596,  0.01977,  0.02725,  0.01650,  0.00563,  0.34097,  0.51269
Chloroform,  0.00072,  0.00053,  0.00073,  0.00262,  0.00384,  0.00540,  0.00243,  0.00167,  0.68697,  2.30392
Trichlorofluoromethane,  0.04587,  0.04278,  0.04573,  0.05413,  0.06271,  0.09395,  0.05873,  0.01696,  0.28872,  0.36965
Dichlorodifluoromethane,  0.04427,  0.01071,  0.04429,  0.04562,  0.06032,  0.12676,  0.05283,  0.02655,  0.50260,  0.59972
Carbon Tetrachloride,  0.01156,  0.01032,  0.01154,  0.01379,  0.01613,  0.02757,  0.01543,  0.00505,  0.32718,  0.43646
1_1_2-Trichlorotrifluoroethane,  0.01230,  0.01223,  0.01229,  0.01385,  0.01704,  0.03030,  0.01653,  0.00570,  0.34478,  0.46327
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00259,  0.00172,  0.00258,  0.00259,  0.00341,  0.00604,  0.00312,  0.00108,  0.34730,  0.41855
Tetrachloroethene,  0.00020,  0.00007,  0.00020,  0.00025,  0.00043,  0.00091,  0.00033,  0.00019,  0.56680,  0.94407
1_2-Dichlorobenzene,  0.00006,  0.00000,  0.00006,  0.00006,  0.00008,  0.00021,  0.00008,  0.00006,  0.80088,  1.07049
1_4-Dichlorobenzene,  0.00018,  0.00000,  0.00018,  0.00018,  0.00023,  0.00056,  0.00021,  0.00014,  0.64829,  0.78233
PCBTF,  0.00005,  0.00000,  0.00005,  0.00007,  0.00028,  0.00153,  0.00021,  0.00033,  1.60487,  6.74917
N-Butane,  0.00659,  0.00659,  0.00666,  0.01010,  0.01374,  0.02168,  0.01071,  0.00417,  0.38941,  0.63301
Isobutane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.02319,  0.00297,  0.00719,  2.41822,  0.00000
N-Pentane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00265,  0.00013,  0.00059,  4.47214,  0.00000
Isopentane,  0.02001,  0.01076,  0.02005,  0.04238,  0.05014,  0.06538,  0.03649,  0.01674,  0.45885,  0.83668
2-Methyl pentane,  0.01111,  0.01095,  0.01103,  0.03768,  0.05834,  0.07280,  0.03559,  0.02266,  0.63672,  2.03919
Butene,  0.01109,  0.01109,  0.01118,  0.01754,  0.02154,  0.02194,  0.01662,  0.00451,  0.27110,  0.40617
Propylene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.01192,  0.00060,  0.00267,  4.47214,  0.00000
cis-2-Pentene,  0.00111,  0.00111,  0.00111,  0.00132,  0.00201,  0.00265,  0.00157,  0.00052,  0.32847,  0.46382
Isoprene,  0.34274,  0.20412,  0.26543,  0.29318,  0.34248,  0.34296,  0.29635,  0.04466,  0.15071,  0.13031
alpha-Pinene,  0.06239,  0.04173,  0.04610,  0.05316,  0.06234,  0.06242,  0.05415,  0.00747,  0.13792,  0.11969
MVK,  0.15834,  0.08485,  0.12362,  0.13319,  0.15824,  0.15845,  0.13651,  0.02183,  0.15991,  0.13787
Benzene,  0.00857,  0.00286,  0.00855,  0.03344,  0.04145,  0.06646,  0.02972,  0.02076,  0.69856,  2.42195
Toluene,  0.02342,  0.01736,  0.02098,  0.02353,  0.02591,  0.04601,  0.02496,  0.00665,  0.26659,  0.28410
Ethylbenzene,  0.00387,  0.00217,  0.00335,  0.00389,  0.00451,  0.00681,  0.00396,  0.00111,  0.27935,  0.28571
Propylbenzene,  0.00112,  0.00074,  0.00112,  0.00113,  0.00133,  0.00183,  0.00121,  0.00028,  0.23309,  0.25067
m_p-Xylene,  0.00651,  0.00000,  0.00458,  0.00606,  0.00654,  0.00660,  0.00495,  0.00232,  0.46842,  0.35670
o-Xylene,  0.00439,  0.00081,  0.00338,  0.00441,  0.00468,  0.00579,  0.00388,  0.00143,  0.36772,  0.32523
p-Isopropyl Toluene,  0.00447,  0.00352,  0.00448,  0.00555,  0.00601,  0.00677,  0.00533,  0.00093,  0.17388,  0.20720
Naphthalene,  0.00377,  0.00245,  0.00332,  0.00379,  0.00462,  0.00496,  0.00388,  0.00078,  0.20032,  0.20650
Methanol,  1.31460,  0.55882,  1.16088,  1.43305,  1.76053,  2.12890,  1.42191,  0.40247,  0.28305,  0.30615
Ethanol,  0.00000,  0.00000,  0.00000,  0.00000,  0.07520,  0.15874,  0.02990,  0.04784,  1.59975,  0.00000
Phenol,  0.12939,  0.11393,  0.12541,  0.12932,  0.13672,  0.15369,  0.13169,  0.01093,  0.08301,  0.08449
Formaldehyde,  1.01870,  0.74166,  0.84079,  1.01820,  1.08500,  1.16360,  0.97735,  0.12268,  0.12552,  0.12043
Acetaldehyde,  0.42796,  0.24708,  0.33563,  0.42802,  0.49037,  0.49200,  0.40859,  0.07847,  0.19205,  0.18335
Isovaleraldehyde,  0.00907,  0.00095,  0.00631,  0.00902,  0.00908,  0.01891,  0.00828,  0.00397,  0.47920,  0.43754
Hexaldehyde,  0.02098,  0.00000,  0.01144,  0.02055,  0.02099,  0.03935,  0.01654,  0.00977,  0.59057,  0.46581
m_p-Tolualdehyde,  0.00028,  0.00006,  0.00018,  0.00027,  0.00028,  0.00036,  0.00023,  0.00008,  0.33298,  0.28245
Phenylacetaldehyde,  0.03733,  0.02631,  0.03722,  0.03734,  0.04092,  0.06092,  0.04066,  0.00913,  0.22452,  0.24451
Cyclohexanone,  0.00020,  0.00000,  0.00008,  0.00020,  0.00020,  0.00042,  0.00017,  0.00010,  0.61013,  0.50466
Methyl acetate,  0.00000,  0.00000,  0.00000,  0.01425,  0.02926,  0.04381,  0.01442,  0.01443,  1.00119,  0.00000
n-Butyl acetate,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.01275,  0.00067,  0.00285,  4.22483,  0.00000
D5-Siloxane,  0.00113,  0.00000,  0.00115,  0.00303,  0.01775,  0.02065,  0.00833,  0.00865,  1.03908,  7.67690

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.05296,  0.04122,  0.04580,  0.04992,  0.05296,  0.05511,  0.04920,  0.00422,  0.08580,  0.07972
Chloroform,  0.01321,  0.00969,  0.01189,  0.01210,  0.01321,  0.01489,  0.01225,  0.00131,  0.10714,  0.09938
Trichlorofluoromethane,  0.11230,  0.06035,  0.08830,  0.09836,  0.11231,  0.11764,  0.09751,  0.01606,  0.16466,  0.14298
