
**** Error Estimation Summary ****

DISP Displaced Species:
,Dichloromethane
,Chloroform
,Trichlorofluoromethane
,Dichlorodifluoromethane
,Carbon Tetrachloride
,1_1_2-Trichlorotrifluoroethane
,1_2-Dichloro-1_1_2_2-tetrafluoroethane
,Tetrachloroethene
,1_2-Dichlorobenzene
,1_4-Dichlorobenzene
,PCBTF
,N-Butane
,Isobutane
,N-Pentane
,Isopentane
,2-Methyl pentane
,Butene
,Propylene
,cis-2-Pentene
,Isoprene
,alpha-Pinene
,MVK
,Benzene
,Toluene
,Ethylbenzene
,Propylbenzene
,m_p-Xylene
,o-Xylene
,p-Isopropyl Toluene
,Naphthalene
,Methanol
,Ethanol
,Phenol
,Formaldehyde
,Acetaldehyde
,Isovaleraldehyde
,Hexaldehyde
,m_p-Tolualdehyde
,Phenylacetaldehyde
,Cyclohexanone
,Methyl acetate
,n-Butyl acetate
,Diethylphthalate
,D5-Siloxane

DISP Diagnostics:
,Error Code:,0
,Largest Decrease in Q:,-0.257
,%dQ:,-0.001733
,Swaps by Factor:,0,0,0,0,0,0,0,0,0,0,0,0,0

Concentrations for Factor 1,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Cyclohexanone,4.5448E-05,,,,,,,,,0,5.0355E-05,0.00010071,
Methyl acetate,0.0020912,,,,,,,,,0,0.0026846,0.0053692,
n-Butyl acetate,0.0034304,,,,,,,,,0.00098203,0.003284465,0.0055869,
Diethylphthalate,0.0011963,,,,,,,,,0,0.0045324,0.0090648,
D5-Siloxane,0,,,,,,,,,0,0.0015058,0.0030116,

Concentrations for Factor 6,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,0.0015652,,,,,,,,,0,0.0024437,0.0048874,
Chloroform,0.0019617,,,,,,,,,0.0012239,0.0020214,0.0028189,
Trichlorofluoromethane,0.0044812,,,,,,,,,0,0.005578,0.011156,
Dichlorodifluoromethane,0,,,,,,,,,0,0.00230855,0.0046171,
Carbon Tetrachloride,0.0018911,,,,,,,,,5.8012E-05,0.002091456,0.0041249,
1_1_2-Trichlorotrifluoroethane,0.0019908,,,,,,,,,0,0.0020617,0.0041234,
1_2-Dichloro-1_1_2_2-tetrafluoroethane,0,,,,,,,,,0,9.441E-05,0.00018882,
Tetrachloroethene,0.00018314,,,,,,,,,5.4452E-05,0.000194291,0.00033413,
1_2-Dichlorobenzene,0,,,,,,,,,0,2.05545E-05,4.1109E-05,
1_4-Dichlorobenzene,0.0004524,,,,,,,,,0,0.0003484,0.0006968,
PCBTF,0,,,,,,,,,0,0.00024402,0.00048804,
N-Butane,0.0061677,,,,,,,,,0,0.006837,0.013674,
Isobutane,0,,,,,,,,,0,0.00335155,0.0067031,
N-Pentane,0,,,,,,,,,0,0.0009119,0.0018238,
Isopentane,0.010469,,,,,,,,,0.0032729,0.01086995,0.018467,
2-Methyl pentane,0,,,,,,,,,0,0.00265875,0.0053175,
Butene,0.0124,,,,,,,,,0.0072315,0.01246975,0.017708,
Propylene,0,,,,,,,,,0,0.0018374,0.0036748,
cis-2-Pentene,0.00035869,,,,,,,,,7.7893E-05,0.0003671465,0.0006564,
Isoprene,0.012495,,,,,,,,,-4.9118E-18,0.029967,0.059934,
alpha-Pinene,0.0031725,,,,,,,,,0,0.005987,0.011974,
MVK,0.012099,,,,,,,,,0,0.017606,0.035212,
Benzene,0.016608,,,,,,,,,0.0052002,0.0168446,0.028489,
Toluene,0.0076368,,,,,,,,,0.0015747,0.00941235,0.01725,
Ethylbenzene,0.00072996,,,,,,,,,0,0.0011524,0.0023048,
Propylbenzene,5.5866E-05,,,,,,,,,0,0.00020805,0.0004161,
m_p-Xylene,0,,,,,,,,,0,0.0011086,0.0022172,
o-Xylene,0.00035763,,,,,,,,,0,0.00105675,0.0021135,
p-Isopropyl Toluene,0.0018289,,,,,,,,,0.0011216,0.0018555,0.0025894,
Naphthalene,0.00072487,,,,,,,,,0.00015542,0.00095191,0.0017484,
Methanol,0.04708,,,,,,,,,0,3.6057,7.2114,
Ethanol,4.6504,,,,,,,,,4.5361,4.82925,5.1224,
Phenol,0.0041408,,,,,,,,,-1.85E-18,0.011355,0.02271,
Formaldehyde,0.17674,,,,,,,,,0,0.192845,0.38569,
Acetaldehyde,0.08762,,,,,,,,,0.0035793,0.09271965,0.18186,
Isovaleraldehyde,0.0013329,,,,,,,,,0,0.0016624,0.0033248,
Hexaldehyde,0,,,,,,,,,0,0.0011016,0.0022032,
m_p-Tolualdehyde,0,,,,,,,,,0,1.344E-05,2.688E-05,
Phenylacetaldehyde,0,,,,,,,,,0,0.0019133,0.0038266,
Cyclohexanone,0.00013152,,,,,,,,,6.7027E-05,0.0001396935,0.00021236,
Methyl acetate,0.015983,,,,,,,,,0.010031,0.0163805,0.02273,
n-Butyl acetate,0.0058237,,,,,,,,,0.0027015,0.00644825,0.010195,
Diethylphthalate,0,,,,,,,,,0,0.0023396,0.0046792,
D5-Siloxane,0.0064179,,,,,,,,,0.0022201,0.00768155,0.013143,

Concentrations for Factor 7,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,0.0045554,,,,,,,,,0.0024235,0.00455555,0.0066876,
Chloroform,0.00092744,,,,,,,,,0.00055009,0.000920395,0.0012907,
Trichlorofluoromethane,0,,,,,,,,,0,0.00052655,0.0010531,
Dichlorodifluoromethane,0.039229,,,,,,,,,0.031729,0.0393905,0.047052,
Carbon Tetrachloride,0.0032253,,,,,,,,,0.0017969,0.00307315,0.0043494,
1_1_2-Trichlorotrifluoroethane,0.0014,,,,,,,,,0,0.001519,0.003038,
1_2-Dichloro-1_1_2_2-tetrafluoroethane,0.0012325,,,,,,,,,0.00085246,0.00122848,0.0016045,
Tetrachloroethene,0.00027818,,,,,,,,,0.00020535,0.000278245,0.00035114,
1_2-Dichlorobenzene,0.00072073,,,,,,,,,0.00037666,0.00072978,0.0010829,
1_4-Dichlorobenzene,0.0090632,,,,,,,,,0.0087908,0.0092255,0.0096602,
PCBTF,2.1567E-05,,,,,,,,,-7.5901E-21,9.9235E-05,0.00019847,
N-Butane,0.013528,,,,,,,,,0.0062034,0.0140362,0.021869,
Isobutane,0.015213,,,,,,,,,0.012722,0.015318,0.017914,
N-Pentane,0,,,,,,,,,0,0.000398605,0.00079721,
Isopentane,0.0044472,,,,,,,,,0.0018135,0.0047112,0.0076089,
2-Methyl pentane,0,,,,,,,,,0,0.00080205,0.0016041,
Butene,0.0038125,,,,,,,,,0,0.0039648,0.0079296,
Propylene,0.087317,,,,,,,,,0.075778,0.087084,0.09839,
cis-2-Pentene,0.00015183,,,,,,,,,0,0.000157965,0.00031593,
Isoprene,0,,,,,,,,,0,0.005656,0.011312,
alpha-Pinene,0.0021133,,,,,,,,,0,0.00235615,0.0047123,
MVK,0,,,,,,,,,0,0.00222295,0.0044459,
Benzene,0,,,,,,,,,0,0.001346,0.002692,
Toluene,0.0024297,,,,,,,,,0.0003479,0.00309555,0.0058432,
Ethylbenzene,0.00031416,,,,,,,,,0,0.00043155,0.0008631,
Propylbenzene,0.00024045,,,,,,,,,0.00011954,0.00025297,0.0003864,
m_p-Xylene,0,,,,,,,,,0,0.0006187,0.0012374,
o-Xylene,0.0001852,,,,,,,,,0,0.00042286,0.00084572,
p-Isopropyl Toluene,0.00055712,,,,,,,,,0.00037761,0.000560245,0.00074288,
Naphthalene,0,,,,,,,,,0,1.2563E-05,2.5126E-05,
Methanol,0.83586,,,,,,,,,0.0010769,0.9485384,1.896,
Ethanol,0.031934,,,,,,,,,-7.1897E-18,0.05158,0.10316,
Phenol,0.015421,,,,,,,,,0.0090175,0.01526775,0.021518,
Formaldehyde,0.015459,,,,,,,,,0,0.06321,0.12642,
Acetaldehyde,0.017821,,,,,,,,,0,0.034055,0.06811,
Isovaleraldehyde,0.0022286,,,,,,,,,0,0.0022329,0.0044658,
Hexaldehyde,0.0076643,,,,,,,,,0.0011188,0.0077304,0.014342,
m_p-Tolualdehyde,0,,,,,,,,,0,1.89135E-05,3.7827E-05,
Phenylacetaldehyde,0.027036,,,,,,,,,0.02275,0.0265985,0.030447,
Cyclohexanone,7.8584E-05,,,,,,,,,4.0115E-05,7.91375E-05,0.00011816,
Methyl acetate,0,,,,,,,,,0,0.00039439,0.00078878,
n-Butyl acetate,1.3052E-05,,,,,,,,,-6.107E-21,0.00092815,0.0018563,
Diethylphthalate,0.00040414,,,,,,,,,0,0.0013013,0.0026026,
D5-Siloxane,0.0051696,,,,,,,,,0.0040934,0.0052512,0.006409,

Concentrations for Factor 8,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,0.0028196,,,,,,,,,0.00030806,0.00277098,0.0052339,
Chloroform,0.00068079,,,,,,,,,0.00016504,0.00069852,0.001232,
Trichlorofluoromethane,0.012952,,,,,,,,,0.0069988,0.0128314,0.018664,
Dichlorodifluoromethane,0.016899,,,,,,,,,0.0031305,0.01679725,0.030464,
Carbon Tetrachloride,0.0042912,,,,,,,,,0.002384,0.00420365,0.0060233,
1_1_2-Trichlorotrifluoroethane,0.0037382,,,,,,,,,0.0015154,0.0036316,0.0057478,
1_2-Dichloro-1_1_2_2-tetrafluoroethane,0.00076749,,,,,,,,,0.00027654,0.00073112,0.0011857,
Tetrachloroethene,2.7581E-05,,,,,,,,,-1.1197E-20,6.329E-05,0.00012658,
1_2-Dichlorobenzene,0,,,,,,,,,0,1.28495E-05,2.5699E-05,
1_4-Dichlorobenzene,0,,,,,,,,,0,7.3325E-05,0.00014665,
PCBTF,0.00031069,,,,,,,,,5.417E-05,0.000301015,0.00054786,
N-Butane,0,,,,,,,,,0,0.00114365,0.0022873,
Isobutane,0,,,,,,,,,0,0.0014994,0.0029988,
N-Pentane,0,,,,,,,,,0,0.00082825,0.0016565,
Isopentane,0.015672,,,,,,,,,0.010481,0.015763,0.021045,
2-Methyl pentane,0.010584,,,,,,,,,0.004982,0.0102325,0.015483,
Butene,0,,,,,,,,,0,0.0014505,0.002901,
Propylene,0.020726,,,,,,,,,0.012073,0.0217425,0.031412,
cis-2-Pentene,0,,,,,,,,,0,4.1009E-05,8.2018E-05,
Isoprene,0.025836,,,,,,,,,0,0.026137,0.052274,
alpha-Pinene,0.004131,,,,,,,,,0,0.0047613,0.0095226,
MVK,0.011297,,,,,,,,,0,0.0117005,0.023401,
Benzene,0,,,,,,,,,0,0.00111015,0.0022203,
Toluene,0.0034705,,,,,,,,,0,0.005307,0.010614,
Ethylbenzene,0.00074612,,,,,,,,,0,0.00097025,0.0019405,
Propylbenzene,0.00022605,,,,,,,,,2.0634E-05,0.000264802,0.00050897,
m_p-Xylene,0.0016368,,,,,,,,,0.0002463,0.001774,0.0033017,
o-Xylene,0.0012184,,,,,,,,,0.00025838,0.00141074,0.0025631,
p-Isopropyl Toluene,0.001895,,,,,,,,,0.0013968,0.00186455,0.0023323,
Naphthalene,0.00084365,,,,,,,,,9.8405E-05,0.0007700025,0.0014416,
Methanol,0.78281,,,,,,,,,0,2.67305,5.3461,
Ethanol,0.087497,,,,,,,,,0,0.13532,0.27064,
Phenol,0.001611,,,,,,,,,-8.7262E-19,0.0067635,0.013527,
Formaldehyde,0.15921,,,,,,,,,0.010801,0.1558455,0.30089,
Acetaldehyde,0.12046,,,,,,,,,0.050029,0.1172995,0.18457,
Isovaleraldehyde,0.003071,,,,,,,,,0.0010031,0.0029608,0.0049185,
Hexaldehyde,0.0081519,,,,,,,,,0.0032434,0.0077877,0.012332,
m_p-Tolualdehyde,7.2692E-05,,,,,,,,,1.5156E-05,7.3393E-05,0.00013163,
Phenylacetaldehyde,0.0049936,,,,,,,,,-8.6586E-19,0.00498885,0.0099777,
Cyclohexanone,0.00024018,,,,,,,,,0.00017322,0.000247515,0.00032181,
Methyl acetate,0.00085176,,,,,,,,,-3.0314E-19,0.00226665,0.0045333,
n-Butyl acetate,0,,,,,,,,,0,0.00136965,0.0027393,
Diethylphthalate,0.14411,,,,,,,,,0.13752,0.14368,0.14984,
D5-Siloxane,0.0053066,,,,,,,,,0,0.0041145,0.008229,

Concentrations for Factor 9,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,0.010508,,,,,,,,,0.0062744,0.0105532,0.014832,
Chloroform,0.00058669,,,,,,,,,0,0.0007044,0.0014088,
Trichlorofluoromethane,0.01078,,,,,,,,,0.0021704,0.0108537,0.019537,
Dichlorodifluoromethane,0.051958,,,,,,,,,0.03267,0.0522655,0.071861,
Carbon Tetrachloride,0.0017167,,,,,,,,,0,0.00219255,0.0043851,
1_1_2-Trichlorotrifluoroethane,0.0015572,,,,,,,,,0,0.00239335,0.0047867,
1_2-Dichloro-1_1_2_2-tetrafluoroethane,0.0025758,,,,,,,,,0.0018671,0.00258105,0.003295,
Tetrachloroethene,0,,,,,,,,,0,4.4053E-05,8.8106E-05,
1_2-Dichlorobenzene,0.00012593,,,,,,,,,0,0.000147345,0.00029469,
1_4-Dichlorobenzene,0,,,,,,,,,0,0.000365745,0.00073149,
PCBTF,0.00048838,,,,,,,,,8.0586E-05,0.000457198,0.00083381,
N-Butane,0.13678,,,,,,,,,0.11213,0.13262,0.15311,
Isobutane,0.056517,,,,,,,,,0.049246,0.0564435,0.063641,
N-Pentane,0.070474,,,,,,,,,0.061643,0.0684475,0.075252,
Isopentane,0.05706,,,,,,,,,0.047015,0.0569745,0.066934,
2-Methyl pentane,0.0028896,,,,,,,,,0,0.0056345,0.011269,
Butene,0.056887,,,,,,,,,0.046031,0.056365,0.066699,
Propylene,0.12576,,,,,,,,,0.096636,0.120413,0.14419,
cis-2-Pentene,0.0019116,,,,,,,,,0.0014446,0.00190815,0.0023717,
Isoprene,0.0154,,,,,,,,,0,0.015308,0.030616,
alpha-Pinene,0.0051204,,,,,,,,,0.00050425,0.005067375,0.0096305,
MVK,0.0048235,,,,,,,,,0,0.006025,0.01205,
Benzene,0.013587,,,,,,,,,0.0043014,0.0136942,0.023087,
Toluene,0.024185,,,,,,,,,0.016293,0.024147,0.032001,
Ethylbenzene,0.0041068,,,,,,,,,0.0028799,0.0041085,0.0053371,
Propylbenzene,0.00085263,,,,,,,,,0.00051151,0.000850905,0.0011903,
m_p-Xylene,0.0085566,,,,,,,,,0.0063897,0.00847835,0.010567,
o-Xylene,0.0042427,,,,,,,,,0.0029477,0.0042242,0.0055007,
p-Isopropyl Toluene,0.00060438,,,,,,,,,0,0.00059765,0.0011953,
Naphthalene,0,,,,,,,,,0,3.57575E-05,7.1515E-05,
Methanol,0.26736,,,,,,,,,0,1.31655,2.6331,
Ethanol,0,,,,,,,,,0,0.084745,0.16949,
Phenol,0,,,,,,,,,0,0.00146555,0.0029311,
Formaldehyde,0,,,,,,,,,0,0.07335,0.1467,
Acetaldehyde,0,,,,,,,,,0,0.033736,0.067472,
Isovaleraldehyde,0,,,,,,,,,0,0.00077055,0.0015411,
Hexaldehyde,0,,,,,,,,,0,0.000415665,0.00083133,
m_p-Tolualdehyde,0,,,,,,,,,0,3.26185E-05,6.5237E-05,
Phenylacetaldehyde,0,,,,,,,,,0,0.00191095,0.0038219,
Cyclohexanone,0,,,,,,,,,0,3.37495E-05,6.7499E-05,
Methyl acetate,0,,,,,,,,,0,0.00077625,0.0015525,
n-Butyl acetate,0.014687,,,,,,,,,0.0095268,0.0140259,0.018525,
Diethylphthalate,0,,,,,,,,,0,0.00214745,0.0042949,
D5-Siloxane,0,,,,,,,,,0,0.00155185,0.0031037,

Concentrations for Factor 10,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,0.0092627,,,,,,,,,0.0040688,0.0092469,0.014425,
Chloroform,0.0046717,,,,,,,,,0.0034775,0.00463525,0.005793,
Trichlorofluoromethane,0.020409,,,,,,,,,0.010543,0.020237,0.029931,
Dichlorodifluoromethane,0.014089,,,,,,,,,0,0.0158225,0.031645,
Carbon Tetrachloride,0.0063819,,,,,,,,,0.0033336,0.0063379,0.0093422,
1_1_2-Trichlorotrifluoroethane,0.0077504,,,,,,,,,0.0043205,0.00769025,0.01106,
1_2-Dichloro-1_1_2_2-tetrafluoroethane,0.00016425,,,,,,,,,-2.237E-20,0.00038902,0.00077804,
Tetrachloroethene,0.0012008,,,,,,,,,0.0010101,0.00121145,0.0014128,
1_2-Dichlorobenzene,0,,,,,,,,,0,2.5541E-05,5.1082E-05,
1_4-Dichlorobenzene,0,,,,,,,,,0,0.000174145,0.00034829,
PCBTF,0.0020493,,,,,,,,,0.0015872,0.0020445,0.0025018,
N-Butane,0.073839,,,,,,,,,0.059364,0.074705,0.090046,
Isobutane,0.11083,,,,,,,,,0.10276,0.112205,0.12165,
N-Pentane,0,,,,,,,,,0,0.00409295,0.0081859,
Isopentane,0.093614,,,,,,,,,0.080252,0.093856,0.10746,
2-Methyl pentane,0.096173,,,,,,,,,0.082845,0.0969275,0.11101,
Butene,0.03596,,,,,,,,,0.027315,0.0361635,0.045012,
Propylene,0.022628,,,,,,,,,0.0047769,0.02208695,0.039397,
cis-2-Pentene,0.0011527,,,,,,,,,0.00080846,0.00126193,0.0017154,
Isoprene,0,,,,,,,,,-4.1958E-19,0.0200925,0.040185,
alpha-Pinene,0.00090374,,,,,,,,,0,0.0046043,0.0092086,
MVK,0.016788,,,,,,,,,0.0045022,0.0198011,0.0351,
Benzene,0.035426,,,,,,,,,0.020775,0.035024,0.049273,
Toluene,0.019465,,,,,,,,,0.010966,0.019554,0.028142,
Ethylbenzene,0.0031757,,,,,,,,,0.0018706,0.00317835,0.0044861,
Propylbenzene,0.00094356,,,,,,,,,0.00055955,0.000944625,0.0013297,
m_p-Xylene,0,,,,,,,,,0,0.00022306,0.00044612,
o-Xylene,0.0013432,,,,,,,,,4.7491E-05,0.001321696,0.0025959,
p-Isopropyl Toluene,0,,,,,,,,,0,6.943E-05,0.00013886,
Naphthalene,0.0014863,,,,,,,,,0.00064356,0.00146258,0.0022816,
Methanol,4.3588E-12,,,,,,,,,-5.1825E-19,2.73985,5.4797,
Ethanol,0,,,,,,,,,0,0.096685,0.19337,
Phenol,0,,,,,,,,,0,0.0024231,0.0048462,
Formaldehyde,0.75688,,,,,,,,,0.51198,0.76919,1.0264,
Acetaldehyde,0.47704,,,,,,,,,0.35801,0.480955,0.6039,
Isovaleraldehyde,0,,,,,,,,,0,0.0005022,0.0010044,
Hexaldehyde,0,,,,,,,,,0,0.00064565,0.0012913,
m_p-Tolualdehyde,0.00026988,,,,,,,,,0.00016766,0.000268535,0.00036941,
Phenylacetaldehyde,0,,,,,,,,,0,0.00351475,0.0070295,
Cyclohexanone,3.5516E-05,,,,,,,,,0,7.4095E-05,0.00014819,
Methyl acetate,0.051886,,,,,,,,,0.042221,0.053447,0.064673,
n-Butyl acetate,0,,,,,,,,,0,0.00222535,0.0044507,
Diethylphthalate,0.00083959,,,,,,,,,-4.1892E-19,0.0039798,0.0079596,
D5-Siloxane,0.055747,,,,,,,,,0.049808,0.0552925,0.060777,

Concentrations for Factor 11,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,0.011068,,,,,,,,,0.0071835,0.01110325,0.015023,
Chloroform,8.5472E-05,,,,,,,,,-4.3116E-20,0.0003675,0.000735,
Trichlorofluoromethane,0,,,,,,,,,0,0.0008304,0.0016608,
Dichlorodifluoromethane,0.067862,,,,,,,,,0.056567,0.068527,0.080487,
Carbon Tetrachloride,0.002463,,,,,,,,,0.00075265,0.002480225,0.0042078,
1_1_2-Trichlorotrifluoroethane,0.0015644,,,,,,,,,0,0.0018415,0.003683,
1_2-Dichloro-1_1_2_2-tetrafluoroethane,0.0012045,,,,,,,,,0.00077953,0.001274515,0.0017695,
Tetrachloroethene,0.00071587,,,,,,,,,0.0005023,0.000690095,0.00087789,
1_2-Dichlorobenzene,0,,,,,,,,,0,1.6635E-05,3.327E-05,
1_4-Dichlorobenzene,0,,,,,,,,,0,0.00015653,0.00031306,
PCBTF,0.0026891,,,,,,,,,0.0019844,0.00257195,0.0031595,
N-Butane,0.033775,,,,,,,,,0.025514,0.0391825,0.052851,
Isobutane,0.018882,,,,,,,,,0.012541,0.0190485,0.025556,
N-Pentane,0,,,,,,,,,0,0.0036437,0.0072874,
Isopentane,0,,,,,,,,,0,0.00086025,0.0017205,
2-Methyl pentane,0.018455,,,,,,,,,0.0064996,0.0157413,0.024983,
Butene,0.014229,,,,,,,,,0.0084014,0.0155902,0.022779,
Propylene,0.062268,,,,,,,,,0.051049,0.0668515,0.082654,
cis-2-Pentene,0,,,,,,,,,0,3.5996E-05,7.1992E-05,
Isoprene,0.025401,,,,,,,,,0.0017869,0.02427995,0.046773,
alpha-Pinene,0.010244,,,,,,,,,0.0048876,0.0102803,0.015673,
MVK,0.0042978,,,,,,,,,0,0.0073955,0.014791,
Benzene,0,,,,,,,,,0,0.00294835,0.0058967,
Toluene,0.067618,,,,,,,,,0.057048,0.067061,0.077074,
Ethylbenzene,0.011539,,,,,,,,,0.010052,0.0115695,0.013087,
Propylbenzene,0.0024556,,,,,,,,,0.0020505,0.00243715,0.0028238,
m_p-Xylene,0.015329,,,,,,,,,0.013705,0.0155485,0.017392,
o-Xylene,0.012756,,,,,,,,,0.011241,0.0128435,0.014446,
p-Isopropyl Toluene,0.0029044,,,,,,,,,0.002214,0.00282425,0.0034345,
Naphthalene,0.0041178,,,,,,,,,0.0034114,0.0042725,0.0051336,
Methanol,2.4414,,,,,,,,,0,2.86175,5.7235,
Ethanol,0.2995,,,,,,,,,0,0.253115,0.50623,
Phenol,0,,,,,,,,,0,0.0012351,0.0024702,
Formaldehyde,0.29242,,,,,,,,,0.10428,0.29174,0.4792,
Acetaldehyde,0.30547,,,,,,,,,0.21684,0.30644,0.39604,
Isovaleraldehyde,0.011783,,,,,,,,,0.0096641,0.01181855,0.013973,
Hexaldehyde,0.034051,,,,,,,,,0.028911,0.0343855,0.03986,
m_p-Tolualdehyde,0.00048046,,,,,,,,,0.00039904,0.00048298,0.00056692,
Phenylacetaldehyde,0.0040947,,,,,,,,,0,0.0045194,0.0090388,
Cyclohexanone,0.00080465,,,,,,,,,0.00069791,0.00080703,0.00091615,
Methyl acetate,0.0064133,,,,,,,,,0,0.0063875,0.012775,
n-Butyl acetate,0.033882,,,,,,,,,0.028139,0.0333545,0.03857,
Diethylphthalate,0,,,,,,,,,0,0.00256905,0.0051381,
D5-Siloxane,0,,,,,,,,,0,0.0022922,0.0045844,

Concentrations for Factor 12,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,0.016682,,,,,,,,,0.01074,0.0164025,0.022065,
Chloroform,0.0082037,,,,,,,,,0.0070211,0.00817935,0.0093376,
Trichlorofluoromethane,0.07473,,,,,,,,,0.062545,0.0737065,0.084868,
Dichlorodifluoromethane,0.019212,,,,,,,,,0,0.0169755,0.033951,
Carbon Tetrachloride,0.016281,,,,,,,,,0.012734,0.015944,0.019154,
1_1_2-Trichlorotrifluoroethane,0.019358,,,,,,,,,0.015279,0.01893,0.022581,
1_2-Dichloro-1_1_2_2-tetrafluoroethane,0.00089878,,,,,,,,,0,0.00076325,0.0015265,
Tetrachloroethene,0.00086035,,,,,,,,,0.00067599,0.000862945,0.0010499,
1_2-Dichlorobenzene,0.00035779,,,,,,,,,9.0676E-05,0.000312493,0.00053431,
1_4-Dichlorobenzene,0.00026585,,,,,,,,,0,0.00025558,0.00051116,
PCBTF,0,,,,,,,,,0,0.000247525,0.00049505,
N-Butane,0.013706,,,,,,,,,0,0.013943,0.027886,
Isobutane,0.029114,,,,,,,,,0.01575,0.026528,0.037306,
N-Pentane,0.0044932,,,,,,,,,-1.9936E-18,0.005483,0.010966,
Isopentane,0.12063,,,,,,,,,0.10588,0.119545,0.13321,
2-Methyl pentane,0.12954,,,,,,,,,0.11634,0.12951,0.14268,
Butene,0.011485,,,,,,,,,0.0011337,0.01069935,0.020265,
Propylene,0,,,,,,,,,0,0.00117445,0.0023489,
cis-2-Pentene,0.0024967,,,,,,,,,0.0019369,0.00243275,0.0029286,
Isoprene,0.0049214,,,,,,,,,0,0.0155845,0.031169,
alpha-Pinene,0,,,,,,,,,0,0.00220875,0.0044175,
MVK,0,,,,,,,,,0,0.00445245,0.0089049,
Benzene,0.07422,,,,,,,,,0.057686,0.073245,0.088804,
Toluene,0.078431,,,,,,,,,0.067997,0.078746,0.089495,
Ethylbenzene,0.011117,,,,,,,,,0.0094508,0.0111739,0.012897,
Propylbenzene,0.0026058,,,,,,,,,0.002178,0.0026141,0.0030502,
m_p-Xylene,0.009954,,,,,,,,,0.0072395,0.00972325,0.012207,
o-Xylene,0.010114,,,,,,,,,0.0081984,0.0101302,0.012062,
p-Isopropyl Toluene,0.0086883,,,,,,,,,0.0079155,0.0087479,0.0095803,
Naphthalene,0.0029873,,,,,,,,,0.0019541,0.00296235,0.0039706,
Methanol,0.15026,,,,,,,,,0,1.9443,3.8886,
Ethanol,0,,,,,,,,,0,0.08306,0.16612,
Phenol,0.0068488,,,,,,,,,-1.009E-18,0.0110055,0.022011,
Formaldehyde,0.10194,,,,,,,,,0,0.153375,0.30675,
Acetaldehyde,0.065153,,,,,,,,,0,0.08277,0.16554,
Isovaleraldehyde,0.003099,,,,,,,,,0.0008461,0.0030456,0.0052451,
Hexaldehyde,0,,,,,,,,,0,0.00032276,0.00064552,
m_p-Tolualdehyde,4.9127E-05,,,,,,,,,0,5.794E-05,0.00011588,
Phenylacetaldehyde,0.012111,,,,,,,,,0.0027758,0.0110029,0.01923,
Cyclohexanone,0.0001146,,,,,,,,,1.6808E-05,0.000114414,0.00021202,
Methyl acetate,0.066783,,,,,,,,,0.054678,0.066702,0.078726,
n-Butyl acetate,0.020437,,,,,,,,,0.014531,0.0206625,0.026794,
Diethylphthalate,0,,,,,,,,,0,0.0022848,0.0045696,
D5-Siloxane,0,,,,,,,,,0,0.0013726,0.0027452,

Concentrations for Factor 13,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,0.0076232,,,,,,,,,0.0040246,0.0076908,0.011357,
Chloroform,0,,,,,,,,,0,0.00014403,0.00028806,
Trichlorofluoromethane,0.024142,,,,,,,,,0.017133,0.024432,0.031731,
Dichlorodifluoromethane,0.020776,,,,,,,,,0.0091666,0.0206318,0.032097,
Carbon Tetrachloride,0.0051713,,,,,,,,,0.0031936,0.00522355,0.0072535,
1_1_2-Trichlorotrifluoroethane,0.0067372,,,,,,,,,0.0043,0.0067835,0.009267,
1_2-Dichloro-1_1_2_2-tetrafluoroethane,0.0015226,,,,,,,,,0.0010348,0.0014929,0.001951,
Tetrachloroethene,0.00013921,,,,,,,,,4.7269E-06,0.0001411684,0.00027761,
1_2-Dichlorobenzene,0,,,,,,,,,0,6.166E-05,0.00012332,
