
Factor Contributions (avg = 1) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
11,08/21/21,5.250600E+000,-2.000000E-001,-2.000000E-001,-5.675100E-002,5.199800E-001,-2.000000E-001,1.420800E+000,3.150600E-002
11,08/22/21,7.861300E-001,1.003900E+000,2.157900E+000,-1.219800E-001,-1.430900E-001,4.228500E-001,6.163200E-002,1.145500E+000
11,08/23/21,1.184300E+000,1.410300E+000,1.590500E+000,8.461400E-001,3.156100E-001,3.739000E-001,4.778700E-001,1.050200E+000
11,08/24/21,1.952800E+000,1.161300E+000,1.381400E+000,-1.884000E-001,7.331000E-001,1.325300E+000,8.062100E-001,4.656300E-001
11,08/25/21,2.696900E+000,1.166600E+000,3.245200E-001,-2.000000E-001,-1.463000E-001,2.536200E+000,8.648000E-001,1.236700E+000
11,08/26/21,1.485900E+000,3.374200E-001,8.905700E-001,-2.000000E-001,1.453400E+000,2.871000E+000,8.681000E-001,1.560800E-001
11,08/27/21,9.943600E-001,7.722100E-001,5.474900E-001,1.690900E+000,-2.000000E-001,2.927000E+000,-2.000000E-001,7.670600E-001
11,08/28/21,1.153200E+000,1.006600E+000,-1.044800E-001,2.153700E+000,1.831500E-001,3.533600E+000,3.659000E-001,1.226300E+000
11,08/29/21,6.994000E-001,7.903800E-001,4.475800E-001,1.767800E+000,4.261900E-001,3.050300E+000,5.244300E-001,3.272100E-001
11,08/30/21,-3.951900E-002,9.524400E-003,8.309300E-002,2.742700E-002,-8.341600E-003,1.740800E-001,-2.728300E-003,-1.065300E-002
11,08/31/21,3.102700E+000,2.218300E+000,3.601400E-001,1.717700E+000,6.594100E-001,8.577500E-002,4.899700E-001,2.125900E+000
11,09/01/21,8.384200E-001,1.156700E+000,1.841100E+000,1.484300E+000,-2.000000E-001,-8.947400E-002,1.209800E+000,4.851300E-001
11,09/02/21,2.160300E+000,1.740300E+000,1.523700E+000,2.523400E+000,3.012400E-001,-2.000000E-001,-7.000400E-002,9.335000E-001
11,09/03/21,5.332600E-001,1.160800E+000,7.795200E-001,1.923700E+000,6.209300E-001,1.160300E+000,5.175000E-001,3.720300E-001
11,09/04/21,-3.457500E-002,1.147200E-002,8.562200E-002,2.798200E-002,-8.100800E-003,1.512800E-001,-2.238000E-003,-1.049500E-002
11,09/05/21,2.196200E-001,1.517000E-001,7.774500E-001,1.072500E+000,1.363300E-001,2.569600E+000,3.481500E-001,-1.546900E-001
11,09/06/21,1.342300E+000,9.648600E-001,2.398400E-001,1.941500E+000,3.016600E-001,2.354600E+000,1.879900E-001,1.454700E+000
11,09/07/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
11,09/08/21,2.342100E+000,2.048400E+000,-2.000000E-001,1.663600E+000,2.592200E-001,1.594300E+000,8.685600E-001,2.323900E+000
11,09/09/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
11,09/10/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
11,09/11/21,1.108400E+000,5.258900E-001,-2.000000E-001,1.887800E+000,3.304000E-001,3.031900E+000,-1.527400E-001,-2.000000E-001
11,09/12/21,2.584200E-001,7.591200E-002,1.148300E+000,9.689100E-001,-3.557500E-002,2.287200E+000,-1.327200E-001,-1.622000E-001
11,09/13/21,6.088600E-001,4.117000E-001,5.174100E-001,1.510000E+000,2.541600E+000,2.292900E+000,-1.596300E-001,3.141100E-001
11,09/14/21,1.637500E+000,4.460300E-001,8.679600E-001,1.101200E+000,6.407500E+000,1.217500E+000,-1.562000E-001,8.230700E-001
11,09/15/21,2.506100E+000,1.193700E+000,3.629000E-001,1.674200E+000,3.831100E+000,8.358400E-001,-1.741500E-001,1.276400E+000
11,09/16/21,2.792300E+000,1.477500E+000,3.034000E-001,1.914300E+000,3.016600E+000,6.585600E-001,-2.000000E-001,1.876400E+000
11,09/17/21,2.878400E+000,1.577400E+000,4.684900E-001,1.079300E+000,1.314800E+000,5.960200E-002,-1.601600E-001,1.562400E+000
11,09/18/21,2.522800E+000,9.663700E-001,4.738400E-001,1.228100E+000,9.438200E-001,9.098100E-001,-1.457000E-001,1.025000E+000
11,09/19/21,6.041900E-001,8.551200E-001,1.196800E+000,9.472800E-001,7.915600E-001,5.962300E-001,-1.430300E-001,4.551200E-001
11,09/20/21,1.988400E+000,9.443800E-001,4.903800E-001,1.347400E+000,1.173600E+000,1.462600E+000,-1.728300E-001,1.126700E+000
11,09/21/21,6.058500E-001,-2.000000E-001,1.016900E+000,1.257600E+000,3.335800E-001,2.192500E+000,-1.079400E-001,-1.005300E-001
11,09/22/21,9.943900E-001,6.947800E-001,4.055500E-001,1.054000E+000,2.261700E-001,2.414700E+000,-1.562500E-001,2.966100E-001
11,09/23/21,1.457800E+000,6.461600E-001,8.036600E-001,1.176100E+000,1.412100E-001,1.679000E+000,-1.445100E-001,4.409500E-001
11,09/24/21,2.535400E+000,1.149000E+000,1.403700E-001,1.507800E+000,8.967300E+000,2.632200E-001,-1.519400E-001,1.406000E+000
11,09/25/21,-4.137600E-002,8.745900E-003,8.317200E-002,2.716100E-002,-8.486000E-003,1.828400E-001,-2.952700E-003,-1.077200E-002
11,09/26/21,-6.434700E-002,-4.835800E-004,7.513500E-002,2.437900E-002,-9.799800E-003,2.894800E-001,-5.376000E-003,-1.171300E-002
11,09/27/21,1.243500E+000,5.288300E-001,1.389700E+000,-8.441700E-002,-1.121400E-001,5.535500E-001,-1.057400E-001,1.001400E+000
11,09/28/21,1.330500E+000,5.989300E-001,1.177800E+000,-6.825800E-002,-9.827100E-002,3.858200E-001,-9.028000E-002,1.362400E-001
11,09/29/21,8.617900E-001,5.383700E-001,1.442300E+000,-7.722800E-002,2.130700E+000,4.681500E-001,-7.233300E-002,-1.950900E-001
11,09/30/21,2.521600E-001,-2.000000E-001,1.534500E+000,1.067900E+000,2.730000E+000,5.842300E-001,-9.311500E-002,-1.334400E-001
11,10/01/21,5.606600E-001,1.426500E-001,1.384700E+000,8.739500E-001,3.556100E-001,1.088000E+000,-1.095600E-001,-1.873700E-001
11,10/02/21,3.884000E-001,-8.213100E-002,1.618400E+000,6.239200E-001,1.929500E-001,1.419800E+000,-1.087900E-001,-1.483100E-001
11,10/03/21,6.159200E-001,-2.000000E-001,8.394900E-001,8.359900E-001,4.833000E-001,2.533900E+000,-1.181200E-001,-3.749200E-002
11,10/04/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
11,10/05/21,7.742600E-003,-8.441100E-002,3.880000E+000,-1.473600E-001,4.013700E-001,8.475600E-002,-2.000000E-001,8.680100E-001
11,10/06/21,6.279300E-001,-2.953900E-004,1.386800E+000,4.881200E-001,-5.918400E-002,-1.433500E-001,8.038200E+000,7.950400E+000
11,10/07/21,-8.729600E-002,1.401800E-002,2.705100E+000,-1.838400E-001,-6.299300E-002,5.770500E-002,4.337500E+000,2.390400E+000
11,10/08/21,-3.281500E-002,5.971800E-003,2.621100E-001,1.891500E-002,-1.716700E-002,1.734100E-001,-9.107500E-003,-2.006200E-002
11,10/09/21,-2.000000E-001,-5.705600E-003,2.546400E+000,-2.000000E-001,-2.000000E-001,-2.000000E-001,5.696400E+000,5.573600E+000
11,10/10/21,2.652300E-001,-1.427400E-001,1.293200E+000,2.485800E-001,5.145700E-001,4.635600E-001,5.568700E+000,2.478500E+000
11,10/11/21,-2.000000E-001,-2.000000E-001,4.231900E+000,-2.000000E-001,-1.647200E-001,2.232500E-002,1.796300E+000,2.650600E+000
11,10/12/21,-1.298400E-001,1.767200E-002,4.211000E+000,6.302600E-002,-1.584500E-001,-1.519300E-001,-1.552600E-001,7.096000E-001
11,10/13/21,2.877500E-001,-4.991400E-003,3.796700E+000,3.004400E-002,-1.889200E-001,3.276700E-002,-1.208200E-001,1.793800E+000
11,10/14/21,1.731000E-001,-3.838800E-003,2.678000E+000,2.013000E-002,-1.643800E-001,-1.668900E-001,4.409600E+000,3.452300E+000
11,10/15/21,4.171400E-002,2.157800E-001,1.255500E+000,-2.225800E-002,-6.223000E-002,-1.117600E-001,-4.425200E-002,-1.439900E-001
11,10/16/21,-6.119600E-002,5.942300E-004,7.981100E-002,2.457600E-002,-9.807600E-003,2.755500E-001,-5.183700E-003,-1.176800E-002
11,10/17/21,-2.000000E-001,-2.000000E-001,4.896400E-001,-1.056100E-001,-9.640700E-002,6.026800E-001,5.194200E+000,1.034500E+000
11,10/18/21,-4.772000E-002,-7.067400E-004,3.016600E-001,1.477500E-002,-2.033200E-002,2.490800E-001,-1.241900E-002,-2.328000E-002
11,10/19/21,-2.000000E-001,-5.492300E-002,7.478700E-001,-1.258800E-001,-1.139400E-001,1.081600E-001,6.322600E+000,1.487700E+000
11,10/20/21,6.146500E-001,-1.757500E-001,3.507600E-001,-1.449800E-001,-1.273400E-001,2.234700E-001,7.404400E+000,2.131700E+000
11,10/21/21,4.756900E-001,-1.943600E-001,6.230700E-001,1.185900E-001,-1.224100E-001,4.097900E-001,4.978500E+000,1.508600E+000
11,10/22/21,5.838600E-001,-2.000000E-001,-2.000000E-001,9.974900E-001,-1.760000E-001,-1.282600E-001,9.959100E+000,3.112700E+000
11,10/23/21,-5.777700E-002,-1.562400E-003,2.417900E-001,5.031400E-001,-3.865900E-002,2.127200E-001,-1.902000E-002,-3.684000E-002
11,10/24/21,-6.077600E-002,-1.099300E-002,9.221600E-001,-1.341200E-001,-1.188200E-001,3.368800E-001,5.968800E+000,-2.000000E-001
11,10/25/21,-5.681700E-002,-1.505200E-003,1.900300E-001,1.938400E-002,-1.522200E-002,2.739500E-001,-9.081500E-003,-1.752800E-002
11,10/26/21,-8.137100E-002,-1.725400E-001,2.002000E+000,-1.202000E-001,1.216500E+000,-5.893500E-002,3.398500E+000,6.497900E-001
11,10/27/21,2.861600E-001,-1.018400E-002,2.890300E+000,2.571200E-001,-1.818400E-001,7.380000E-001,-8.679200E-002,-2.000000E-001
11,10/28/21,-1.032600E-001,2.152900E-001,3.590700E+000,-1.283800E-001,-1.740500E-001,-2.000000E-001,-6.582500E-002,5.128300E-001
11,10/29/21,7.872000E-001,2.512600E-002,3.112300E+000,3.005200E-001,1.592400E-001,8.128300E-002,-1.072100E-001,7.610700E-001
11,10/30/21,-6.310200E-002,9.643800E-006,7.572900E-002,2.452100E-002,-9.736900E-003,2.837300E-001,-5.250800E-003,-1.167100E-002
11,10/31/21,2.333200E+000,-1.050700E-001,7.791800E-001,-1.469900E-001,-1.573400E-001,-2.000000E-001,5.574100E+000,3.309700E+000
