
Factor Contributions (avg = 1) from Base Run #2 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
2,08/21/21,5.276300E-001,4.675500E-001,-2.000000E-001,1.426400E+000,-2.000000E-001,-2.000000E-001,5.049900E+000,2.938400E-002
2,08/22/21,-1.511800E-001,1.752200E+000,1.206500E+000,4.979600E-002,8.759500E-001,5.722800E-001,1.005200E+000,-1.098800E-001
2,08/23/21,3.145500E-001,1.448500E+000,1.113600E+000,4.601500E-001,1.286200E+000,4.019800E-001,1.403300E+000,8.778900E-001
2,08/24/21,7.184900E-001,1.109800E+000,5.442800E-001,8.145800E-001,1.103100E+000,1.622600E+000,1.943700E+000,-1.116200E-001
2,08/25/21,-1.580500E-001,2.695500E-001,1.198700E+000,9.115500E-001,1.129200E+000,2.697900E+000,2.525200E+000,-8.473400E-002
2,08/26/21,1.428500E+000,7.559600E-001,1.305200E-001,9.002900E-001,4.373300E-001,2.884800E+000,1.204800E+000,-5.530600E-002
2,08/27/21,-1.959900E-001,4.726400E-001,7.407000E-001,-2.000000E-001,7.451000E-001,2.834000E+000,1.001400E+000,1.836700E+000
2,08/28/21,1.894100E-001,5.060100E-003,1.173700E+000,3.861900E-001,9.739200E-001,3.303000E+000,1.148200E+000,2.365500E+000
2,08/29/21,4.223800E-001,4.869200E-001,3.588300E-001,5.294300E-001,7.827500E-001,3.082600E+000,6.198000E-001,1.852300E+000
2,08/30/21,-1.027500E-002,9.445400E-002,-9.563800E-003,-3.311700E-003,1.651800E-002,1.398000E-001,-3.897300E-002,3.364500E-002
2,08/31/21,6.820600E-001,3.747200E-001,2.124300E+000,4.829600E-001,2.006400E+000,-2.321900E-002,3.537000E+000,1.785000E+000
2,09/01/21,-1.904500E-001,1.848200E+000,5.592700E-001,1.166600E+000,1.122600E+000,-1.515800E-001,1.009700E+000,1.503800E+000
2,09/02/21,3.332000E-001,1.323400E+000,9.994400E-001,-1.208200E-001,1.632700E+000,-2.000000E-001,2.417600E+000,2.526200E+000
2,09/03/21,6.388400E-001,4.977400E-001,4.904700E-001,5.022200E-001,1.146800E+000,1.400400E+000,5.074300E-001,1.930300E+000
2,09/04/21,-9.894900E-003,9.488100E-002,-9.064600E-003,-3.057500E-003,1.729100E-002,1.236100E-001,-3.421800E-002,3.345900E-002
2,09/05/21,1.233800E-001,8.737700E-001,-1.524300E-001,3.433700E-001,1.622100E-001,2.463100E+000,1.782400E-001,1.207400E+000
2,09/06/21,3.287100E-001,-5.968800E-002,1.453800E+000,2.104000E-001,9.204400E-001,2.616500E+000,1.238500E+000,1.928100E+000
2,09/07/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
2,09/08/21,2.811500E-001,-2.000000E-001,2.320900E+000,9.008700E-001,2.013400E+000,1.531800E+000,2.278600E+000,1.726900E+000
2,09/09/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
2,09/10/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
2,09/11/21,3.288700E-001,1.893500E-002,-2.000000E-001,-1.712800E-001,5.435000E-001,2.766500E+000,1.093200E+000,2.073800E+000
