
Factor Contributions (avg = 1) from Base Run #4 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Factor 11
4,08/10/21,1.989700E-001,1.886300E+000,1.244300E+000,1.189000E+000,3.736600E-001,1.833200E+000,5.815400E-001,1.536600E+000,9.428800E-001,2.572800E+000,2.138200E+000
4,08/11/21,1.460000E-001,9.272500E-001,1.994800E+000,-2.000000E-001,5.128800E-001,1.009700E-001,1.177500E+000,9.085200E-001,1.165600E+000,5.967500E-001,-1.108300E-001
4,08/12/21,2.878000E-001,5.161700E-001,1.618200E+000,1.575700E+000,-2.000000E-001,2.234100E+000,5.473900E+000,9.998900E-001,-3.703200E-002,2.884400E+000,-1.736600E-002
4,08/13/21,1.147200E+001,1.422200E+000,5.668000E-001,1.649800E-002,1.144600E-001,7.027900E-001,3.284600E-001,7.099300E-001,9.677600E-001,4.636500E-001,-2.000000E-001
4,08/14/21,5.710700E+000,2.250300E+000,1.042400E+000,1.173900E+000,-9.800300E-002,6.650300E-001,3.713600E-001,1.177600E+000,2.434300E-001,3.483300E-001,4.759600E-001
4,08/15/21,4.048100E+000,1.201900E+000,1.418200E+000,7.943800E-001,6.176300E-002,2.286000E+000,-2.000000E-001,6.351000E-001,7.622500E-001,7.639400E-001,4.724200E-001
4,08/16/21,1.437400E+000,2.976700E+000,1.751600E+000,3.909900E-001,2.172500E-001,4.439800E+000,-2.000000E-001,1.123200E+000,8.776400E-001,7.950600E-001,1.195000E+000
4,08/17/21,2.094100E+000,3.877700E+000,-2.000000E-001,1.345100E+000,5.037600E-001,2.298800E+000,8.651400E-001,5.600400E-001,1.197400E+000,1.628900E-001,2.550500E-001
4,08/18/21,1.252900E+000,1.067700E+000,1.055800E-001,-1.626300E-001,-5.355400E-003,4.907500E-001,2.470600E+000,-1.695600E-001,-7.592900E-002,-2.003600E-002,-1.843200E-001
4,08/19/21,1.025700E+000,2.344200E-001,4.906400E-001,2.200300E-001,-5.364300E-002,-2.000000E-001,2.488800E+000,-7.638400E-002,-6.575800E-002,3.515900E-002,-1.781400E-001
4,08/20/21,2.494300E+000,1.703800E+000,-2.000000E-001,3.460100E+000,1.835600E-001,2.055800E+000,1.316500E+000,5.195300E-001,7.821900E-001,2.021200E+000,1.548400E+000
4,08/21/21,4.818700E-001,8.049500E-001,-1.076300E-001,7.064700E+000,2.815000E-001,8.309100E-002,-2.000000E-001,-1.853900E-001,1.721700E+000,-2.000000E-001,-2.000000E-001
4,08/22/21,-1.943400E-001,6.726800E-001,2.661100E-001,1.308500E+000,-2.427100E-002,2.079800E+000,2.988500E+000,-1.709800E-001,2.107900E-001,6.312500E-001,6.767800E-001
4,08/23/21,2.827500E-001,1.133200E+000,2.585200E-001,1.247100E+000,1.892500E-001,1.910200E+000,2.327300E+000,8.294900E-001,5.238800E-001,1.190000E+000,7.163300E-001
4,08/24/21,7.011300E-001,-2.000000E-001,1.102200E+000,4.556100E+000,8.152200E-002,2.516500E+000,2.178400E+000,-1.338700E-001,1.028700E+000,2.683700E-001,1.520200E-001
4,08/25/21,-1.700600E-001,-2.000000E-001,2.143100E+000,5.137800E+000,3.291400E-002,2.298600E+000,1.140900E+000,-1.092200E-001,1.137300E+000,4.330900E-001,8.114800E-001
4,08/26/21,1.474800E+000,-2.000000E-001,2.197100E+000,2.778900E+000,2.838900E-001,7.399500E-001,1.567100E+000,-9.127700E-002,9.094100E-001,2.758500E-001,-1.070900E-001
4,08/27/21,-1.655700E-001,1.411200E+000,2.502100E+000,6.917200E-001,-2.000000E-001,1.044400E+000,8.095300E-001,1.807800E+000,-6.072900E-002,7.486600E-001,5.385400E-001
4,08/28/21,2.403000E-001,1.410400E+000,2.995700E+000,8.433400E-001,3.408800E-003,1.792300E+000,2.521900E-002,2.280600E+000,5.982600E-001,9.713800E-001,8.045600E-001
