
Factor Contributions (avg = 1) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
11,08/13/21,1.032800E+001,1.282700E+000,1.140300E-001,7.596700E-001,1.711100E+000,8.820400E-001,-2.000000E-001,-2.000000E-001,1.236900E-001,8.916800E-001
11,08/14/21,5.742000E+000,1.028800E+000,-8.995600E-002,1.288900E+000,2.232600E+000,1.260700E+000,4.223700E-001,9.763200E-001,2.294700E-001,2.069000E-001
11,08/15/21,4.083900E+000,1.139700E-001,7.694100E-002,6.862000E-001,1.521600E+000,2.433500E+000,6.259700E-001,4.091800E-001,8.426200E-001,7.070500E-001
11,08/16/21,1.469800E+000,-1.748100E-001,1.353100E-001,1.324700E+000,2.591400E+000,4.105100E+000,1.621200E+000,1.096900E+000,7.915900E-001,8.842900E-001
11,08/17/21,2.094700E+000,7.714500E-001,5.289900E-001,9.478100E-001,1.512100E+000,3.074600E+000,3.176200E-001,2.309200E+000,-2.000000E-001,1.243100E+000
11,08/18/21,1.292700E+000,2.226300E+000,-1.301000E-002,-1.249900E-001,7.053800E-001,2.437400E-002,-1.636900E-001,5.945700E-002,1.323600E-001,-1.063000E-001
11,08/19/21,1.065500E+000,2.460600E+000,-8.935400E-003,-1.368500E-001,6.059900E-001,2.600300E-002,-1.810800E-001,-7.356200E-002,1.791500E-001,-1.159400E-001
11,08/20/21,2.552800E+000,1.165700E+000,2.069100E-001,6.504700E-001,-2.000000E-001,3.101100E+000,1.486300E+000,3.530500E+000,1.288400E+000,7.870800E-001
11,08/21/21,4.592500E-001,1.648600E-001,7.457300E-001,-5.082200E-002,1.758000E-001,5.549400E-002,-2.000000E-001,3.996200E+000,1.078100E-001,1.641900E+000
11,08/22/21,-1.664300E-001,2.560200E+000,-4.879800E-003,-1.785100E-001,2.522100E-001,2.273500E+000,8.493100E-001,1.073300E+000,5.986800E-001,1.761200E-001
11,08/23/21,3.263100E-001,1.933100E+000,1.533800E-001,8.243300E-001,2.366200E-001,2.123100E+000,8.796400E-001,1.411700E+000,9.912900E-001,5.008100E-001
11,08/24/21,6.919200E-001,1.602900E+000,3.784800E-001,-2.000000E-001,9.777200E-001,2.379400E+000,3.670500E-001,1.704700E+000,1.079400E+000,8.490000E-001
11,08/25/21,-1.819400E-001,7.591500E-001,3.601500E-001,-1.880000E-001,1.644900E+000,1.537000E+000,1.018000E+000,1.918600E+000,1.671500E+000,9.062000E-001
11,08/26/21,1.429800E+000,1.183900E+000,5.574500E-001,-1.877400E-001,2.450500E+000,6.313500E-001,1.310700E-003,5.325100E-001,1.125400E+000,7.177400E-001
11,08/27/21,-1.612100E-001,9.706500E-001,-1.914500E-001,1.763000E+000,2.415000E+000,1.324500E+000,6.052900E-001,4.947100E-001,1.229600E+000,-1.680700E-001
11,08/28/21,2.406800E-001,2.513300E-001,7.873700E-003,2.227800E+000,2.805700E+000,1.923900E+000,9.375800E-001,4.546200E-001,1.533500E+000,4.811400E-001
11,08/29/21,4.677800E-001,7.867000E-001,1.408900E-001,1.812800E+000,2.587700E+000,1.313800E+000,2.602200E-001,8.384200E-002,1.302200E+000,6.407900E-001
11,08/30/21,-3.179100E-002,-2.000000E-001,-1.029000E-002,2.678700E-002,1.054300E+000,2.480500E-002,-6.751600E-003,-4.462800E-002,-3.250100E-002,1.839800E-002
11,08/31/21,6.806000E-001,4.632300E-001,4.211500E-002,1.748000E+000,-3.209700E-003,3.508300E+000,1.737900E+000,3.542900E+000,1.444500E+000,6.194200E-001
