**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 59

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00698,  0.00344,  0.00659,  0.00671,  0.00711,  0.01748,  0.00736,  0.00248,  0.33656,  0.35482
Chloroform,  0.00061,  0.00000,  0.00056,  0.00075,  0.00106,  0.00399,  0.00092,  0.00073,  0.79545,  1.20576
Trichlorofluoromethane,  0.00318,  0.00000,  0.00000,  0.00427,  0.00504,  0.01400,  0.00354,  0.00283,  0.79971,  0.89224
Dichlorodifluoromethane,  0.01315,  0.00000,  0.01097,  0.01311,  0.03964,  0.07252,  0.02220,  0.01812,  0.81648,  1.37830
Carbon Tetrachloride,  0.00167,  0.00086,  0.00221,  0.00223,  0.00356,  0.00598,  0.00273,  0.00103,  0.37814,  0.61839
1_1_2-Trichlorotrifluoroethane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00355,  0.00020,  0.00070,  3.56838,  0.00000
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00043,  0.00155,  0.00019,  0.00033,  1.79805,  0.00000
Tetrachloroethene,  0.00119,  0.00043,  0.00109,  0.00116,  0.00119,  0.00184,  0.00115,  0.00020,  0.17397,  0.16936
1_2-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00099,  0.00003,  0.00014,  5.28004,  0.00000
1_4-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00004,  0.00236,  0.00009,  0.00034,  3.86896,  0.00000
PCBTF,  0.00378,  0.00071,  0.00333,  0.00371,  0.00375,  0.00539,  0.00354,  0.00067,  0.19046,  0.17868
N-Butane,  0.00900,  0.00000,  0.00851,  0.01112,  0.01665,  0.04213,  0.01271,  0.00642,  0.50505,  0.71311
Isobutane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00715,  0.01635,  0.00249,  0.00400,  1.60415,  0.00000
N-Pentane,  0.00249,  0.00000,  0.00053,  0.00233,  0.00252,  0.00758,  0.00192,  0.00130,  0.67499,  0.52103
Isopentane,  0.02221,  0.00129,  0.01821,  0.02215,  0.02548,  0.05080,  0.02233,  0.00795,  0.35593,  0.35797
2-Methyl pentane,  0.00454,  0.00000,  0.00409,  0.00479,  0.01097,  0.06588,  0.00988,  0.01241,  1.25545,  2.73242
Butene,  0.00522,  0.00000,  0.00392,  0.00441,  0.01050,  0.02406,  0.00746,  0.00560,  0.75009,  1.07303
Propylene,  0.04483,  0.00000,  0.03627,  0.04330,  0.05296,  0.08640,  0.04484,  0.01831,  0.40840,  0.40854
cis-2-Pentene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  7.05529,  0.00000
Isoprene,  0.02231,  0.00000,  0.01834,  0.02072,  0.03539,  0.16649,  0.02852,  0.02552,  0.89506,  1.14410
alpha-Pinene,  0.00919,  0.00000,  0.00868,  0.00896,  0.01327,  0.03542,  0.01072,  0.00523,  0.48783,  0.56931
MVK,  0.00506,  0.00000,  0.00412,  0.00460,  0.01428,  0.07407,  0.00945,  0.01208,  1.27862,  2.38969
Benzene,  0.00861,  0.00000,  0.00741,  0.00854,  0.01305,  0.05434,  0.01024,  0.01038,  1.01457,  1.20644
Toluene,  0.10859,  0.03338,  0.08740,  0.10715,  0.10861,  0.13507,  0.09889,  0.01657,  0.16752,  0.15255
Ethylbenzene,  0.01799,  0.00679,  0.01527,  0.01771,  0.01801,  0.02146,  0.01674,  0.00246,  0.14667,  0.13654
Propylbenzene,  0.00345,  0.00135,  0.00306,  0.00336,  0.00344,  0.00448,  0.00324,  0.00047,  0.14582,  0.13717
m_p-Xylene,  0.02644,  0.01068,  0.02133,  0.02601,  0.02615,  0.02793,  0.02403,  0.00342,  0.14217,  0.12922
o-Xylene,  0.01971,  0.00870,  0.01724,  0.01945,  0.01971,  0.02280,  0.01849,  0.00243,  0.13122,  0.12310
p-Isopropyl Toluene,  0.00000,  0.00000,  0.00000,  0.00011,  0.00042,  0.00223,  0.00038,  0.00059,  1.56777,  0.00000
Naphthalene,  0.00525,  0.00071,  0.00524,  0.00611,  0.00650,  0.00917,  0.00590,  0.00128,  0.21706,  0.24402
Methanol,  0.00000,  0.00000,  0.76461,  1.41895,  1.79138,  4.49740,  1.36710,  0.79694,  0.58294,  0.00000
Ethanol,  0.00163,  0.00000,  0.00375,  0.04262,  0.20532,  1.53900,  0.10961,  0.17539,  1.60013,107.91693
Phenol,  0.00038,  0.00000,  0.00000,  0.00000,  0.00199,  0.04661,  0.00288,  0.00807,  2.79988, 21.42870
Formaldehyde,  0.20481,  0.00000,  0.18604,  0.20170,  0.53213,  0.88635,  0.31466,  0.20170,  0.64102,  0.98482
Acetaldehyde,  0.35549,  0.11284,  0.34458,  0.35335,  0.54244,  0.65263,  0.41803,  0.11891,  0.28445,  0.33449
Isovaleraldehyde,  0.00981,  0.00464,  0.00834,  0.00987,  0.01013,  0.01365,  0.00976,  0.00194,  0.19911,  0.19819
Hexaldehyde,  0.02110,  0.00000,  0.01693,  0.02118,  0.02404,  0.04080,  0.02173,  0.00804,  0.37010,  0.38119
m_p-Tolualdehyde,  0.00048,  0.00019,  0.00048,  0.00049,  0.00060,  0.00070,  0.00051,  0.00009,  0.17253,  0.18605
