**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 6

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00545,  0.00247,  0.00298,  0.00427,  0.00544,  0.00599,  0.00413,  0.00119,  0.28753,  0.21797
Chloroform,  0.00100,  0.00058,  0.00077,  0.00094,  0.00105,  0.00115,  0.00090,  0.00019,  0.20809,  0.18796
Trichlorofluoromethane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00199,  0.00425,  0.00085,  0.00131,  1.53851,  0.00000
Dichlorodifluoromethane,  0.05047,  0.00000,  0.01095,  0.02969,  0.04373,  0.05047,  0.02678,  0.01782,  0.66555,  0.35317
Carbon Tetrachloride,  0.00438,  0.00000,  0.00000,  0.00210,  0.00398,  0.00438,  0.00194,  0.00178,  0.91424,  0.40604
1_1_2-Trichlorotrifluoroethane,  0.00277,  0.00092,  0.00116,  0.00186,  0.00212,  0.00316,  0.00173,  0.00062,  0.35918,  0.22430
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00160,  0.00000,  0.00023,  0.00081,  0.00154,  0.00165,  0.00084,  0.00065,  0.77319,  0.40550
Tetrachloroethene,  0.00029,  0.00025,  0.00030,  0.00036,  0.00054,  0.00061,  0.00041,  0.00012,  0.28679,  0.40504
1_2-Dichlorobenzene,  0.00072,  0.00072,  0.00091,  0.00502,  0.00513,  0.00518,  0.00342,  0.00210,  0.61475,  2.92921
1_4-Dichlorobenzene,  0.00911,  0.00486,  0.00495,  0.00626,  0.00905,  0.00928,  0.00685,  0.00192,  0.28015,  0.21047
PCBTF,  0.00005,  0.00005,  0.00009,  0.00033,  0.00060,  0.00079,  0.00034,  0.00026,  0.75693,  4.70874
N-Butane,  0.01681,  0.01172,  0.01770,  0.03152,  0.04921,  0.05816,  0.03276,  0.01528,  0.46644,  0.90917
Isobutane,  0.01050,  0.00516,  0.00740,  0.01485,  0.02432,  0.02842,  0.01551,  0.00777,  0.50112,  0.74016
N-Pentane,  0.00108,  0.00000,  0.00000,  0.00000,  0.00000,  0.00267,  0.00026,  0.00069,  2.64848,  0.64358
Isopentane,  0.00535,  0.00000,  0.00547,  0.01551,  0.02188,  0.02349,  0.01255,  0.00897,  0.71518,  1.67628
2-Methyl pentane,  0.00013,  0.00000,  0.00000,  0.00006,  0.00315,  0.00673,  0.00175,  0.00247,  1.41279, 19.32133
Butene,  0.00678,  0.00000,  0.00386,  0.01168,  0.01718,  0.02326,  0.00994,  0.00755,  0.75965,  1.11453
Propylene,  0.09691,  0.05606,  0.07272,  0.08115,  0.08931,  0.10258,  0.08061,  0.01412,  0.17512,  0.14566
cis-2-Pentene,  0.00009,  0.00000,  0.00000,  0.00000,  0.00013,  0.00021,  0.00006,  0.00007,  1.19886,  0.83583
Isoprene,  0.00000,  0.00000,  0.00004,  0.00338,  0.02168,  0.02827,  0.00974,  0.01117,  1.14699,  0.00000
alpha-Pinene,  0.00244,  0.00075,  0.00183,  0.00234,  0.00531,  0.00795,  0.00361,  0.00248,  0.68480,  1.01404
MVK,  0.00000,  0.00000,  0.00000,  0.00212,  0.01038,  0.01339,  0.00470,  0.00531,  1.13024,  0.00000
Benzene,  0.00240,  0.00000,  0.00000,  0.00000,  0.00156,  0.00403,  0.00078,  0.00120,  1.54798,  0.50090
Toluene,  0.00060,  0.00060,  0.00258,  0.00980,  0.01595,  0.02216,  0.00957,  0.00686,  0.71697, 11.37621
Ethylbenzene,  0.00012,  0.00010,  0.00033,  0.00139,  0.00252,  0.00352,  0.00144,  0.00111,  0.77448,  9.57207
Propylbenzene,  0.00023,  0.00021,  0.00027,  0.00053,  0.00079,  0.00096,  0.00053,  0.00025,  0.48121,  1.10627
m_p-Xylene,  0.00028,  0.00000,  0.00007,  0.00486,  0.00713,  0.01050,  0.00386,  0.00362,  0.93779, 12.84018
o-Xylene,  0.00010,  0.00000,  0.00003,  0.00178,  0.00319,  0.00461,  0.00165,  0.00157,  0.95434, 15.29461
p-Isopropyl Toluene,  0.00059,  0.00031,  0.00056,  0.00059,  0.00074,  0.00087,  0.00063,  0.00015,  0.23898,  0.25477
Naphthalene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Methanol,  0.83785,  0.32582,  0.54783,  0.84932,  0.97271,  1.22250,  0.78029,  0.26866,  0.34431,  0.32065
Ethanol,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.07737,  0.01095,  0.02506,  2.28827,  0.00000
Phenol,  0.01386,  0.00400,  0.01387,  0.02174,  0.03148,  0.04310,  0.02284,  0.01252,  0.54806,  0.90271
Isovaleraldehyde,  0.00288,  0.00191,  0.00299,  0.00612,  0.00779,  0.01025,  0.00579,  0.00253,  0.43795,  0.88121
Hexaldehyde,  0.00946,  0.00524,  0.00780,  0.01269,  0.02379,  0.03231,  0.01613,  0.00862,  0.53433,  0.91102
m_p-Tolualdehyde,  0.00000,  0.00000,  0.00000,  0.00005,  0.00010,  0.00015,  0.00005,  0.00005,  1.02185,  0.00000
Phenylacetaldehyde,  0.02688,  0.01119,  0.01357,  0.01894,  0.02658,  0.03361,  0.02150,  0.00776,  0.36072,  0.28857
Cyclohexanone,  0.00010,  0.00000,  0.00005,  0.00010,  0.00014,  0.00019,  0.00010,  0.00006,  0.63148,  0.63677
Methyl acetate,  0.00000,  0.00000,  0.00003,  0.00052,  0.00266,  0.00506,  0.00150,  0.00187,  1.24691,  0.00000
n-Butyl acetate,  0.00000,  0.00000,  0.00000,  0.00179,  0.00281,  0.00436,  0.00163,  0.00140,  0.86139,  0.00000
D5-Siloxane,  0.00612,  0.00325,  0.00483,  0.00922,  0.01078,  0.01335,  0.00803,  0.00357,  0.44499,  0.58328

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00625,  0.00317,  0.00604,  0.00627,  0.00826,  0.01321,  0.00700,  0.00223,  0.31853,  0.35675
Chloroform,  0.00050,  0.00040,  0.00076,  0.00093,  0.00128,  0.00191,  0.00104,  0.00045,  0.42948,  0.90174
Trichlorofluoromethane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00411,  0.01118,  0.00201,  0.00307,  1.52513,  0.00000
Dichlorodifluoromethane,  0.01904,  0.00000,  0.00736,  0.01915,  0.03342,  0.04050,  0.01956,  0.01421,  0.72640,  0.74629
Carbon Tetrachloride,  0.00245,  0.00060,  0.00202,  0.00319,  0.00378,  0.00751,  0.00317,  0.00147,  0.46475,  0.60133
1_1_2-Trichlorotrifluoroethane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00210,  0.00010,  0.00047,  4.47214,  0.00000
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00015,  0.00034,  0.00008,  0.00013,  1.63975,  0.00000
Tetrachloroethene,  0.00107,  0.00073,  0.00106,  0.00112,  0.00120,  0.00162,  0.00113,  0.00017,  0.14893,  0.15617
1_2-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00005,  0.00031,  0.00006,  0.00012,  1.92429,  0.00000
1_4-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00018,  0.00036,  0.00008,  0.00012,  1.55059,  0.00000
PCBTF,  0.00409,  0.00117,  0.00351,  0.00373,  0.00414,  0.00562,  0.00373,  0.00084,  0.22485,  0.20526
N-Butane,  0.00048,  0.00000,  0.00894,  0.01263,  0.01618,  0.01847,  0.01134,  0.00562,  0.49543, 11.63006
Isobutane,  0.00000,  0.00000,  0.00000,  0.00211,  0.00484,  0.00816,  0.00279,  0.00311,  1.11603,  0.00000
N-Pentane,  0.00276,  0.00000,  0.00000,  0.00073,  0.00274,  0.00323,  0.00135,  0.00135,  1.00115,  0.49099
Isopentane,  0.01190,  0.00000,  0.01157,  0.01602,  0.02029,  0.03580,  0.01667,  0.00898,  0.53886,  0.75535
2-Methyl pentane,  0.00299,  0.00000,  0.00224,  0.01185,  0.01555,  0.02174,  0.00944,  0.00779,  0.82474,  2.60652
Butene,  0.00099,  0.00000,  0.00496,  0.00652,  0.00807,  0.00864,  0.00595,  0.00251,  0.42214,  2.54227
Propylene,  0.05413,  0.00000,  0.03354,  0.04529,  0.05814,  0.07764,  0.04602,  0.02031,  0.44136,  0.37524
cis-2-Pentene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Isoprene,  0.03183,  0.00000,  0.02429,  0.02936,  0.03447,  0.05535,  0.02816,  0.01203,  0.42738,  0.37800
alpha-Pinene,  0.01159,  0.00425,  0.00997,  0.01109,  0.01154,  0.01543,  0.01065,  0.00233,  0.21911,  0.20139
MVK,  0.00924,  0.00000,  0.00629,  0.00738,  0.01302,  0.02167,  0.00900,  0.00577,  0.64181,  0.62472
Benzene,  0.01036,  0.00000,  0.00674,  0.00900,  0.01366,  0.03065,  0.01155,  0.00871,  0.75448,  0.84055
Toluene,  0.10748,  0.03005,  0.09163,  0.10161,  0.10429,  0.15969,  0.09922,  0.02365,  0.23834,  0.22002
Ethylbenzene,  0.01799,  0.00623,  0.01539,  0.01702,  0.01742,  0.02605,  0.01679,  0.00359,  0.21400,  0.19975
