**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 6

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
1-Butene + Isobutylene,  0.03004,  0.00000,  0.03009,  0.03825,  0.04762,  0.07144,  0.03799,  0.01703,  0.44825,  0.56679
2-Methyl pentane,  0.07309,  0.00027,  0.04732,  0.07307,  0.09386,  0.14518,  0.07695,  0.04311,  0.56024,  0.58981
Acetaldehyde,  0.42982,  0.12737,  0.34400,  0.43201,  0.47871,  0.55155,  0.39690,  0.11430,  0.28799,  0.26593
Benzene,  0.02339,  0.00000,  0.01440,  0.02213,  0.03192,  0.08938,  0.02986,  0.02668,  0.89345,  1.14054
Benzene_ 1_2-dichloro-,  0.00000,  0.00000,  0.00000,  0.00000,  0.00005,  0.00030,  0.00004,  0.00008,  2.18127,  0.00000
Benzene_ 1_4-dichloro,  0.00006,  0.00000,  0.00000,  0.00003,  0.00006,  0.00237,  0.00016,  0.00053,  3.22017,  8.84621
Benzene_ propyl-,  0.00097,  0.00064,  0.00097,  0.00101,  0.00148,  0.00163,  0.00116,  0.00030,  0.25732,  0.30890
Carbon Tetrachloride,  0.00582,  0.00000,  0.00320,  0.00505,  0.00792,  0.02050,  0.00650,  0.00594,  0.91380,  1.02132
Chloroform,  0.00300,  0.00000,  0.00200,  0.00293,  0.00453,  0.00884,  0.00364,  0.00253,  0.69359,  0.84114
Cyclohexanone,  0.00031,  0.00000,  0.00007,  0.00028,  0.00031,  0.00051,  0.00022,  0.00015,  0.66906,  0.47577
Decamethylcyclopentasiloxane,  0.04423,  0.01358,  0.03652,  0.04470,  0.05164,  0.06983,  0.04416,  0.01347,  0.30502,  0.30455
Dichlorodifluoromethane,  0.05527,  0.00000,  0.04310,  0.05527,  0.06835,  0.07984,  0.05266,  0.02256,  0.42840,  0.40818
Dichloromethane,  0.01156,  0.00003,  0.00922,  0.01143,  0.01330,  0.03221,  0.01353,  0.00828,  0.61199,  0.71624
Ethane_ 1_1_2-trichloro-1_2_2-trifluoro-,  0.00578,  0.00000,  0.00351,  0.00527,  0.00578,  0.02353,  0.00706,  0.00693,  0.98261,  1.19961
Ethane_ 1_2-dichloro-1_1_2_2-tetrafluoro-,  0.00112,  0.00029,  0.00091,  0.00103,  0.00141,  0.00325,  0.00130,  0.00081,  0.61868,  0.71958
Ethanol,  0.11274,  0.00000,  0.00000,  0.03370,  0.10711,  1.81860,  0.14187,  0.39977,  2.81793,  3.54597
Ethylbenzene,  0.00294,  0.00126,  0.00293,  0.00339,  0.00537,  0.00778,  0.00400,  0.00167,  0.41727,  0.56723
Formaldehyde,  0.63875,  0.02502,  0.54826,  0.65472,  0.73570,  0.94733,  0.61090,  0.21071,  0.34492,  0.32988
Hexaldehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.02964,  0.00246,  0.00701,  2.85384,  0.00000
Isobutane,  0.07063,  0.00000,  0.07069,  0.08934,  0.11503,  0.12372,  0.08403,  0.03459,  0.41167,  0.48974
Isopentane,  0.05202,  0.01195,  0.05176,  0.05320,  0.09746,  0.12375,  0.06518,  0.03273,  0.50212,  0.62917
