
**** Error Estimation Summary ****

BS-DISP Displaced Species:
2-Methyl pentane,0.18731,0.03561,0.091872,0.14171,0.17635,0.243482,0.081152,0.162736,0.24432,0.17012,0.184755,0.19939,
Butene,0.047692,0.00955482,0.02144,0.03769,0.050662,0.0789828,0.00458465,0.03777232,0.07096,0.039189,0.0473215,0.055454,
Propylene,0,0,0,0,0.023124,0.0933761999999999,0,0.03360575,0.0672115,0,0.0011975,0.002395,
cis-2-Pentene,0.0043346,0.000131545,0.0020991,0.0031524,0.0040831,0.00515202,0.00116865,0.003129175,0.0050897,0.0039091,0.00430605,0.004703,
Isoprene,0.021633,0,0,0.0049998,0.081269,0.197294,0,0.10531,0.21062,-2.7964E-19,0.041625,0.08325,
alpha-Pinene,0.0034936,0,0,0.0021613,0.014506,0.0381498,0,0.021309,0.042618,-1.3626E-18,0.0073725,0.014745,
MVK,0.012585,0,0,0.0052905,0.042718,0.0941742,0,0.05295,0.1059,0,0.0208685,0.041737,
Benzene,0.16714,0.0280734,0.077946,0.1075,0.13105,0.169738,0.0323085,0.1056067,0.178905,0.15323,0.166985,0.18074,
Toluene,0.11497,0.0343702,0.063215,0.09336,0.12035,0.173772,0.040593,0.1087915,0.17699,0.10214,0.114525,0.12691,
Ethylbenzene,0.016001,0.00421184,0.0086201,0.013738,0.018244,0.025508,0.0049499,0.01588295,0.026816,0.013973,0.0159205,0.017868,
Propylbenzene,0.00358,0.0011359,0.0020979,0.0029973,0.003933,0.00542696,0.001433235,0.003705543,0.00597785,0.0031075,0.00355335,0.0039992,
m_p-Xylene,0.0071411,0,0.00030281,0.0076619,0.015298,0.0235566,0,0.01163925,0.0232785,0.0042484,0.0070336,0.0098188,
o-Xylene,0.010827,0.00130382,0.005623,0.009588,0.014514,0.0215568,0.002346,0.01267975,0.0230135,0.0087434,0.0107627,0.012782,
p-Isopropyl Toluene,0.0077885,0,0.0035178,0.0054523,0.0082952,0.0107866,0.0011628,0.00622765,0.0112925,0.0067341,0.007732,0.0087299,
Naphthalene,0.0038365,0,0.0020055,0.0032222,0.0046709,0.00739714,1.51335E-05,0.004786567,0.00955799999999999,0.0029817,0.00381855,0.0046554,
Methanol,1.166,0,0,0.089054,1.1638,2.76068,-5.40215E-17,1.630325,3.26065,0,1.6578,3.3156,
Ethanol,0.14138,0,0,0,0.097945,0.315654,0,0.1197125,0.239425,0,0.139705,0.27941,
Phenol,0.11012,0,0.015093,0.056368,0.10034,0.176382,0,0.08396,0.16792,0.089854,0.110502,0.13115,
Formaldehyde,0.41977,0,0.16434,0.36134,0.65853,1.01488,0,0.6979,1.3958,0.15726,0.415415,0.67357,
Acetaldehyde,0.13811,0,0.067595,0.16307,0.27485,0.581141999999999,0,0.4016575,0.803315,0.021213,0.1354865,0.24976,
Isovaleraldehyde,0.0026991,0,0,0.0019328,0.0039591,0.00821568,-2.68949999999999E-21,0.0043897,0.0087794,-1.6384E-19,0.0026238,0.0052476,
Hexaldehyde,0,0,0,0,0,0.0100398,0,0.001575675,0.00315134999999998,0,0.000362745,0.00072549,
m_p-Tolualdehyde,0,0,0,6.8237E-05,0.00019505,0.000410016,-1.10799999999999E-22,0.0003074625,0.000614925,0,3.2227E-05,6.4454E-05,
Phenylacetaldehyde,0.042438,0,0.0066084,0.02228,0.036562,0.0686448,0,0.03266625,0.0653325,0.034899,0.042181,0.049463,
Cyclohexanone,0,0,0,0.00010156,0.00025585,0.000531342,-9.45999999999996E-24,0.0003392425,0.000678485,0,3.1409E-05,6.2818E-05,
Methyl acetate,0.14114,0.034531,0.061767,0.094062,0.11539,0.151056,0.0502405,0.1011077,0.151975,0.13243,0.14122,0.15001,
n-Butyl acetate,0.062286,0,0.024228,0.048766,0.066838,0.0975728,0.00766555,0.05022402,0.0927825,0.055621,0.0627075,0.069794,
D5-Siloxane,0.023061,0,0,0.011005,0.02748,0.0519174,0,0.02961675,0.0592335,0.014429,0.021522,0.028615,

Concentrations for Education institution,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,0.0042485,0.000859721,0.0034953,0.0055492,0.0077372,0.0117534,0,0.00543975,0.0108795,0.0025894,0.0046746,0.0067598,
Chloroform,0.00092092,0.000351618,0.000695425,0.0011062,0.00152685,0.00229324,0.0002342455,0.001172873,0.0021115,0.0006178,0.00099545,0.0013731,
Trichlorofluoromethane,0.0037968,0,0,0.0044748,0.0135195,0.0280424,0,0.01203275,0.0240655,0.00040804,0.00542402,0.01044,
Dichlorodifluoromethane,0.0087237,0,0.00685995,0.027486,0.0484765,0.0753448,-8.06999999999996E-21,0.03562975,0.0712595,0.0016023,0.01263565,0.023669,
Carbon Tetrachloride,0,0,0.00048132,0.0017848,0.00343325,0.0058748,0,0.00325735,0.0065147,0,0.0009225,0.001845,
1_1_2-Trichlorotrifluoroethane,0.0014017,0,0.00095497,0.0024927,0.0045987,0.0086055,0,0.003965875,0.00793175,0.00038117,0.002109135,0.0038371,
1_2-Dichloro-1_1_2_2-tetrafluoroethane,0.00028254,0,0.00030471,0.0010181,0.0017791,0.00264266,0,0.001344025,0.00268805,2.1141E-05,0.0004451655,0.00086919,
Tetrachloroethene,0.00063362,0.000203219,0.00038893,0.00052625,0.00064715,0.00082766,0.00017833,0.00052051,0.00086269,0.00055166,0.00063494,0.00071822,
1_2-Dichlorobenzene,0.0052477,0,0.00261305,0.0049069,0.00569665,0.00685452,0.001020926,0.003519463,0.006018,0.0050125,0.0052246,0.0054367,
1_4-Dichlorobenzene,0.0053628,8.36292E-05,0.00469145,0.0057866,0.0079869,0.0109407,0,0.00551425,0.0110285,0.0050288,0.005335,0.0056412,
PCBTF,0.00082865,1.69047E-08,0.00025319,0.00055513,0.000825645,0.00126328,0,0.000627125,0.00125425,0.00064004,0.000798405,0.00095677,
N-Butane,0.062169,0.0172187,0.040819,0.06102,0.0877485,0.134777,0.00161405,0.05167453,0.101735,0.053725,0.0616875,0.06965,
Isobutane,0.015607,0,0.0075707,0.017545,0.027406,0.0599948,0,0.0217785,0.043557,0.011406,0.0149615,0.018517,
N-Pentane,0.0027133,0,0,0.0019043,0.012903,0.02556,-1.8705E-21,0.0084285,0.016857,0.00039142,0.00197656,0.0035617,
Isopentane,0.029282,0,0.013712,0.025592,0.034987,0.0663551,0,0.02076625,0.0415325,0.025137,0.0292365,0.033336,
2-Methyl pentane,0.0060757,0,0,0.0012103,0.00526955,0.0186896,-5.42315E-20,0.00569275,0.0113855,0.0032096,0.00613055,0.0090515,
Butene,0.023461,0.00342633,0.0118385,0.021768,0.0364895,0.0497284,0.00102125,0.02081412,0.040607,0.019084,0.023379,0.027674,
Propylene,0.094076,0.0250901,0.0705285,0.10034,0.12714,0.172147,0.0104975,0.08719625,0.163895,0.081846,0.093823,0.1058,
cis-2-Pentene,0,0,0,5.4844E-05,0.00055351,0.00166094,0,0.0006932,0.0013864,0,1.5648E-05,3.1296E-05,
Isoprene,0.013405,0,0.000648825,0.010236,0.021627,0.054104,0,0.02342775,0.0468555,0.0042164,0.0138102,0.023404,
alpha-Pinene,0.0040263,8.0865E-05,0.0025375,0.0042495,0.0064528,0.0146451,0,0.0060305,0.012061,0.0017508,0.00405925,0.0063677,
MVK,0.0062023,0,0.00144475,0.0058858,0.0092856,0.0263172,0,0.011414,0.022828,0.0019746,0.0064438,0.010913,
Benzene,0.00015813,0,0,0,0.00451425,0.014455,0,0.005145,0.01029,0,0.00397995,0.0079599,
Toluene,0.023251,0.00192404,0.0088778,0.016597,0.025953,0.0368494,0,0.01709825,0.0341965,0.01746,0.022275,0.02709,
Ethylbenzene,0.0036292,0.000253513,0.00133905,0.0027275,0.00417705,0.00605206,0,0.00264975,0.0052995,0.0026911,0.0034689,0.0042467,
Propylbenzene,0.0010069,0.000164563,0.00043896,0.00073423,0.00105275,0.00162343,7.76625E-05,0.0007071063,0.00133655,0.00079601,0.000983005,0.00117,
m_p-Xylene,0.010105,0,0.0039654,0.0078453,0.0119625,0.0164746,0,0.00704725,0.0140945,0.0084572,0.0098396,0.011222,
o-Xylene,0.0044388,7.3317E-06,0.00159115,0.0032981,0.00501435,0.00691702,0,0.0030794,0.0061588,0.0033765,0.0042376,0.0050987,
p-Isopropyl Toluene,0.00067646,0,0.00024615,0.00045513,0.000692705,0.00128037,0,0.0006515,0.001303,0.0004949,0.0006944,0.0008939,
Naphthalene,0,0,0,0,0,0,0,9.756E-06,1.9512E-05,0,1.6479E-05,3.2958E-05,
Methanol,0.55721,0,0.20087,0.48212,0.851425,1.81569,-1.1865443935E-21,1.013625,2.02725,0,0.466745,0.93349,
Ethanol,0,0,0,0,0.0405145,0.170534,-8.74999999999997E-20,0.0748125,0.149625,0,0.07224,0.14448,
Phenol,0.0267,0.000474006,0.014998,0.025981,0.0356905,0.0646366,0.00323085,0.02624968,0.0492685,0.022205,0.027627,0.033049,
Formaldehyde,0.26568,0,0.079766,0.17489,0.271825,0.461286,0,0.2061875,0.412375,0.16258,0.26579,0.369,
Acetaldehyde,0.18145,0.003570913,0.0760775,0.11211,0.159175,0.23692,-1.41699999999999E-19,0.1062675,0.212535,0.13605,0.18111,0.22617,
Isovaleraldehyde,0.0089616,0.000620802,0.0065354,0.0093487,0.0128185,0.0216347,0.0017112475,0.01018737,0.0186635,0.0069107,0.00930335,0.011696,
Hexaldehyde,0.026864,0.000263247,0.0178275,0.027978,0.039077,0.0645184,0.0093841,0.03256155,0.055739,0.020391,0.0274625,0.034534,
m_p-Tolualdehyde,0.00013946,0,2.47465E-05,8.2299E-05,0.000128945,0.000200885,0,8.88675E-05,0.000177735,9.7643E-05,0.0001355565,0.00017347,
Phenylacetaldehyde,0.014405,0.000296208,0.01327,0.018327,0.0264115,0.0390427,0.0034029,0.0228297,0.0422565,0.010444,0.0152715,0.020099,
Cyclohexanone,0.00015881,0,7.83145E-05,0.0001258,0.00018178,0.000249642,4.82695E-06,0.000123791,0.000242755,0.00011522,0.000157285,0.00019935,
Methyl acetate,0.0044993,0,0,0.00057726,0.0033486,0.01013244,-1.30499999999999E-21,0.00395695,0.0079139,0.0022361,0.0045032,0.0067703,
n-Butyl acetate,0.0037157,0,0.000812575,0.0042618,0.00708775,0.0149134,0,0.0053605,0.010721,0.0010123,0.00330765,0.005603,
D5-Siloxane,0.014181,0.000852617,0.00596835,0.011152,0.0139385,0.0234667,0,0.00908125,0.0181625,0.012544,0.014129,0.015714,

Concentrations for Winter blend gasoline,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,0.0082212,0.00400874,0.007409225,0.0105245,0.01364025,0.026923,0.00110675,0.02320513,0.0453035,0.0046393,0.00820065,0.011762,
Chloroform,0.00087282,0.0001798855,0.001108775,0.00172935,0.002458275,0.003750955,0.0001995,0.002548025,0.00489654999999999,0.00016169,0.000871145,0.0015806,
Trichlorofluoromethane,0.0046048,0,0.003889175,0.015345,0.02531975,0.0399688,0,0.02448975,0.0489794999999999,0,0.005452,0.010904,
Dichlorodifluoromethane,0.038607,0,0.00471775,0.049408,0.07688275,0.1148415,0,0.05778,0.11556,0.02503,0.039242,0.053454,
Carbon Tetrachloride,0,0,0,0.00232475,0.004737025,0.009004715,-1.8625E-21,0.00496865,0.00993729999999996,0,0.0006486,0.0012972,
1_1_2-Trichlorotrifluoroethane,0,0,0,0.00323495,0.006839725,0.01155525,0,0.0048705,0.00974099999999995,0,0.0005627,0.0011254,
1_2-Dichloro-1_1_2_2-tetrafluoroethane,0.0017912,7.5004E-05,0.001276475,0.002127,0.0030559,0.00462215,0,0.00244855,0.0048971,0.0012921,0.001803,0.0023139,
Tetrachloroethene,0.00033622,0,3.931475E-05,0.000271445,0.000673565,0.001250255,-9.12999999999997E-22,0.00087545,0.0017509,0.00017255,0.000341535,0.00051052,
1_2-Dichlorobenzene,5.3996E-05,0,0,8.6668E-05,0.000391845,0.002671855,-1.43499999999999E-21,0.00197235,0.0039447,0,0.000142465,0.00028493,
1_4-Dichlorobenzene,6.5095E-05,0,0,0,0.000225245,0.00122041,-1.3238E-20,0.00090205,0.0018041,0,0.000153455,0.00030691,
PCBTF,0.00085125,0,0.000266685,0.00089231,0.00165725,0.003039545,0,0.001993075,0.00398615,0.00062229,0.000898895,0.0011755,
N-Butane,0.16511,0.06076985,0.1216975,0.13946,0.166815,0.197373,0.00698575,0.1061554,0.205325,0.15047,0.165375,0.18028,
Isobutane,0.084747,0.0110738,0.04294975,0.0667975,0.093558,0.1239285,0,0.0552525,0.110505,0.075804,0.0854915,0.095179,
N-Pentane,0.06504,0.013944905,0.05067225,0.0624265,0.0688545,0.07665585,0,0.04139825,0.0827965,0.062161,0.0651955,0.06823,
Isopentane,0.061529,0.01232335,0.04043525,0.0680075,0.08499575,0.1175185,0.00266855,0.06361677,0.124565,0.051055,0.062718,0.074381,
2-Methyl pentane,0.016578,0,0.006638325,0.0168885,0.030954,0.045571,0,0.039205,0.07841,0.0067777,0.01723635,0.027695,
Butene,0.061239,0.02962655,0.04858125,0.055605,0.06957825,0.0924818,0.007420305,0.04649565,0.085571,0.052908,0.061357,0.069806,
Propylene,0.13915,0.06341685,0.1008425,0.13016,0.158225,0.2020675,0,0.1042475,0.208495,0.12325,0.14058,0.15791,
cis-2-Pentene,0.0020162,0,0.001074625,0.00180485,0.00240945,0.003463075,0,0.001825525,0.00365105,0.0016779,0.00201945,0.002361,
Isoprene,0.030663,0,0,0.001138685,0.0149215,0.0347039,0,0.02799675,0.0559934999999996,0.012153,0.028992,0.045831,
alpha-Pinene,0.0071528,0,0.0002149475,0.0026121,0.004954075,0.009453485,-6.64999999999998E-21,0.006748,0.013496,0.0027337,0.00708985,0.011446,
MVK,0.017569,0,0,0.0030709,0.0096244,0.01750305,-4.88749999999998E-21,0.01331625,0.0266324999999998,0.0087542,0.0164926,0.024231,
Benzene,0.015958,0,0.008319475,0.0169385,0.02461775,0.04879865,0,0.0601275,0.120255,0.0037584,0.0148792,0.026,
Toluene,0.02636,0.003989205,0.014883,0.028528,0.05044025,0.0777105500000001,0.00379635,0.05105143,0.0983065,0.018964,0.0268705,0.034777,
Ethylbenzene,0.0042133,0.0005269995,0.002627475,0.0047262,0.007705475,0.0129877,0.000523035,0.007956267,0.0153895,0.0030672,0.00427345,0.0054797,
Propylbenzene,0.00097832,5.772605E-05,0.000548505,0.00110855,0.001850175,0.00295832,0,0.0015163,0.0030326,0.0006813,0.0009907,0.0013001,
m_p-Xylene,0.0079184,0,0.004245075,0.0094804,0.0154375,0.0218459,0,0.0108945,0.021789,0.0059412,0.00793615,0.0099311,
