**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 16

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Tetrachloroethene,  0.00038,  0.00025,  0.00036,  0.00043,  0.00100,  0.00121,  0.00064,  0.00034,  0.53597,  0.89433
1_2-Dichlorobenzene,  0.00009,  0.00000,  0.00000,  0.00000,  0.00009,  0.00022,  0.00005,  0.00008,  1.60533,  0.91631
1_4-Dichlorobenzene,  0.00011,  0.00000,  0.00001,  0.00010,  0.00011,  0.00049,  0.00009,  0.00011,  1.22914,  1.06028
PCBTF,  0.00085,  0.00000,  0.00055,  0.00083,  0.00186,  0.00204,  0.00108,  0.00073,  0.68012,  0.86788
N-Butane,  0.16750,  0.05637,  0.06053,  0.10184,  0.16592,  0.16752,  0.10988,  0.04742,  0.43154,  0.28308
Isobutane,  0.11864,  0.06383,  0.06409,  0.07968,  0.11829,  0.11867,  0.08789,  0.02337,  0.26593,  0.19701
N-Pentane,  0.05862,  0.00000,  0.00000,  0.00468,  0.05845,  0.05865,  0.02204,  0.02674,  1.21312,  0.45613
Isopentane,  0.07438,  0.00668,  0.03198,  0.04686,  0.07332,  0.07439,  0.04770,  0.02162,  0.45331,  0.29071
2-Methyl pentane,  0.03159,  0.00644,  0.02760,  0.03144,  0.06057,  0.06118,  0.03652,  0.02029,  0.55562,  0.64242
Butene,  0.05948,  0.02827,  0.03116,  0.03888,  0.05876,  0.05949,  0.04357,  0.01289,  0.29584,  0.21669
Propylene,  0.15011,  0.05931,  0.06596,  0.13467,  0.14857,  0.19490,  0.11662,  0.04460,  0.38247,  0.29715
cis-2-Pentene,  0.00206,  0.00000,  0.00010,  0.00105,  0.00205,  0.00206,  0.00097,  0.00088,  0.90784,  0.42716
Isoprene,  0.01379,  0.00000,  0.00000,  0.01413,  0.01526,  0.05738,  0.01173,  0.01291,  1.10084,  0.93590
alpha-Pinene,  0.00377,  0.00377,  0.00409,  0.00624,  0.00817,  0.01403,  0.00660,  0.00257,  0.38972,  0.68279
MVK,  0.01100,  0.00000,  0.00001,  0.00837,  0.01156,  0.02973,  0.00751,  0.00723,  0.96311,  0.65798
Benzene,  0.00936,  0.00000,  0.00735,  0.00912,  0.02159,  0.02212,  0.01177,  0.00823,  0.69918,  0.87845
Toluene,  0.02123,  0.00000,  0.01691,  0.02105,  0.04326,  0.05448,  0.02623,  0.01647,  0.62792,  0.77559
Ethylbenzene,  0.00377,  0.00044,  0.00309,  0.00376,  0.00823,  0.00979,  0.00499,  0.00301,  0.60381,  0.80066
Propylbenzene,  0.00093,  0.00013,  0.00066,  0.00093,  0.00201,  0.00241,  0.00124,  0.00073,  0.59209,  0.78985
m_p-Xylene,  0.00684,  0.00000,  0.00647,  0.00683,  0.00925,  0.01469,  0.00682,  0.00350,  0.51346,  0.51143
o-Xylene,  0.00312,  0.00000,  0.00279,  0.00312,  0.00847,  0.01083,  0.00483,  0.00348,  0.72005,  1.11332
p-Isopropyl Toluene,  0.00093,  0.00000,  0.00088,  0.00094,  0.00177,  0.00219,  0.00109,  0.00069,  0.62802,  0.73619
Naphthalene,  0.00000,  0.00000,  0.00000,  0.00006,  0.00526,  0.00536,  0.00221,  0.00255,  1.15564,  0.00000
Methanol,  0.00000,  0.00000,  0.45029,  1.16145,  1.94930,  3.44270,  1.22995,  0.95667,  0.77781,  0.00000
Ethanol,  0.01409,  0.00000,  0.00000,  0.01291,  0.12243,  0.25420,  0.05995,  0.08890,  1.48305,  6.30791
Phenol,  0.00000,  0.00000,  0.00000,  0.00000,  0.00280,  0.02004,  0.00269,  0.00616,  2.28954,  0.00000
Methyl acetate,  0.01173,  0.00019,  0.01102,  0.01189,  0.03019,  0.03067,  0.01649,  0.01078,  0.65334,  0.91852
n-Butyl acetate,  0.00941,  0.00000,  0.00443,  0.00899,  0.01054,  0.02272,  0.00803,  0.00536,  0.66669,  0.56918
D5-Siloxane,  0.01620,  0.00624,  0.01261,  0.01620,  0.04346,  0.04523,  0.02635,  0.01605,  0.60906,  0.99075

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.02357,  0.01091,  0.01948,  0.01996,  0.02351,  0.03317,  0.02119,  0.00476,  0.22460,  0.20200
Chloroform,  0.00358,  0.00095,  0.00291,  0.00322,  0.00358,  0.01055,  0.00360,  0.00195,  0.54224,  0.54431
Trichlorofluoromethane,  0.06597,  0.01331,  0.04245,  0.04773,  0.06580,  0.09571,  0.05085,  0.02098,  0.41258,  0.31804
Dichlorodifluoromethane,  0.17217,  0.00493,  0.03526,  0.13778,  0.17152,  0.17217,  0.11655,  0.06586,  0.56505,  0.38252
Carbon Tetrachloride,  0.02100,  0.00000,  0.01013,  0.01047,  0.02094,  0.02991,  0.01336,  0.00881,  0.65970,  0.41982
1_1_2-Trichlorotrifluoroethane,  0.02503,  0.00000,  0.01225,  0.01479,  0.02495,  0.03406,  0.01604,  0.01032,  0.64331,  0.41220
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00653,  0.00000,  0.00277,  0.00567,  0.00651,  0.00743,  0.00494,  0.00219,  0.44334,  0.33522
Tetrachloroethene,  0.00034,  0.00016,  0.00016,  0.00034,  0.00052,  0.00166,  0.00042,  0.00035,  0.82567,  1.02779
1_2-Dichlorobenzene,  0.00020,  0.00000,  0.00007,  0.00010,  0.00020,  0.00437,  0.00035,  0.00095,  2.76095,  4.72573
1_4-Dichlorobenzene,  0.00014,  0.00000,  0.00000,  0.00006,  0.00013,  0.00081,  0.00010,  0.00018,  1.80439,  1.25081
PCBTF,  0.00010,  0.00000,  0.00010,  0.00039,  0.00149,  0.00344,  0.00079,  0.00107,  1.35869, 10.93866
N-Butane,  0.05662,  0.03668,  0.05660,  0.08052,  0.16557,  0.16612,  0.10239,  0.05230,  0.51079,  0.92369
Isobutane,  0.00202,  0.00000,  0.00194,  0.00208,  0.07613,  0.13620,  0.03329,  0.04169,  1.25222, 20.63793
N-Pentane,  0.00451,  0.00000,  0.00451,  0.02626,  0.05799,  0.06591,  0.03088,  0.02861,  0.92653,  6.33967
Isopentane,  0.00000,  0.00000,  0.00000,  0.03097,  0.04016,  0.17041,  0.02862,  0.03869,  1.35167,  0.00000
2-Methyl pentane,  0.00000,  0.00000,  0.00000,  0.01566,  0.01622,  0.21063,  0.02099,  0.04567,  2.17534,  0.00000
Butene,  0.02477,  0.02169,  0.02477,  0.04136,  0.06212,  0.06232,  0.04158,  0.01731,  0.41622,  0.69876
Propylene,  0.09418,  0.00000,  0.08688,  0.09423,  0.18391,  0.18463,  0.11095,  0.05581,  0.50300,  0.59256
cis-2-Pentene,  0.00106,  0.00083,  0.00106,  0.00173,  0.00237,  0.00308,  0.00171,  0.00069,  0.40551,  0.65454
Isoprene,  0.05122,  0.00000,  0.00000,  0.01595,  0.04978,  0.08426,  0.02536,  0.02712,  1.06959,  0.52950
alpha-Pinene,  0.01932,  0.00000,  0.00062,  0.00254,  0.01901,  0.02504,  0.00911,  0.00920,  1.01033,  0.47625
MVK,  0.01896,  0.00000,  0.00000,  0.00648,  0.01831,  0.03688,  0.01024,  0.01075,  1.05042,  0.56711
Benzene,  0.01969,  0.00668,  0.01037,  0.01973,  0.03199,  0.09989,  0.02589,  0.02279,  0.88043,  1.15742
Toluene,  0.01201,  0.00355,  0.00817,  0.01219,  0.04334,  0.08240,  0.02413,  0.02529,  1.04812,  2.10508
Ethylbenzene,  0.00186,  0.00055,  0.00117,  0.00188,  0.00659,  0.01206,  0.00357,  0.00370,  1.03554,  1.99314
Propylbenzene,  0.00034,  0.00002,  0.00016,  0.00035,  0.00131,  0.00301,  0.00070,  0.00085,  1.21510,  2.45709
m_p-Xylene,  0.00353,  0.00000,  0.00327,  0.00353,  0.00502,  0.01971,  0.00602,  0.00631,  1.04942,  1.78625
o-Xylene,  0.00193,  0.00031,  0.00033,  0.00194,  0.00536,  0.01136,  0.00308,  0.00358,  1.16080,  1.85634
p-Isopropyl Toluene,  0.00043,  0.00000,  0.00000,  0.00000,  0.00041,  0.00752,  0.00058,  0.00167,  2.86186,  3.90931
Naphthalene,  0.00049,  0.00000,  0.00000,  0.00000,  0.00048,  0.00399,  0.00036,  0.00088,  2.48007,  1.80051
Methanol,  3.66440,  0.00000,  0.97533,  1.53870,  2.70140,  3.98600,  1.66921,  1.23207,  0.73812,  0.33623
Ethanol,  0.23120,  0.00000,  0.13454,  0.20914,  0.23109,  0.34021,  0.19303,  0.10074,  0.52189,  0.43572
Phenol,  0.07462,  0.00000,  0.00661,  0.01700,  0.07405,  0.11859,  0.03954,  0.03756,  0.94997,  0.50334
Methyl acetate,  0.00340,  0.00098,  0.00353,  0.00565,  0.01146,  0.12643,  0.01383,  0.02739,  1.98077,  8.06497
n-Butyl acetate,  0.00229,  0.00000,  0.00246,  0.00783,  0.01857,  0.05633,  0.01194,  0.01402,  1.17409,  6.12390
D5-Siloxane,  0.00000,  0.00000,  0.00000,  0.00153,  0.00544,  0.03469,  0.00414,  0.00775,  1.87477,  0.00000

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.05037,  0.02229,  0.04101,  0.04212,  0.05030,  0.05037,  0.04302,  0.00684,  0.15901,  0.13581
Chloroform,  0.01263,  0.00341,  0.01164,  0.01211,  0.01262,  0.01263,  0.01159,  0.00208,  0.17903,  0.16433
Trichlorofluoromethane,  0.09035,  0.01562,  0.06955,  0.08294,  0.08988,  0.10013,  0.07726,  0.01865,  0.24134,  0.20636
Dichlorodifluoromethane,  0.03598,  0.00000,  0.00000,  0.00260,  0.03483,  0.04685,  0.01377,  0.01765,  1.28186,  0.49058
Carbon Tetrachloride,  0.02201,  0.00187,  0.01705,  0.01855,  0.02187,  0.02569,  0.01827,  0.00494,  0.27036,  0.22439
1_1_2-Trichlorotrifluoroethane,  0.02440,  0.00000,  0.01782,  0.02095,  0.02418,  0.02861,  0.01990,  0.00613,  0.30789,  0.25114
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00271,  0.00000,  0.00109,  0.00129,  0.00266,  0.00342,  0.00155,  0.00106,  0.68514,  0.39131
Tetrachloroethene,  0.00239,  0.00103,  0.00170,  0.00186,  0.00240,  0.00309,  0.00203,  0.00047,  0.23097,  0.19595
1_2-Dichlorobenzene,  0.00034,  0.00000,  0.00031,  0.00034,  0.00058,  0.00062,  0.00036,  0.00020,  0.57524,  0.60522
1_4-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00019,  0.00022,  0.00007,  0.00009,  1.27793,  0.00000
PCBTF,  0.00628,  0.00377,  0.00452,  0.00490,  0.00629,  0.00886,  0.00539,  0.00123,  0.22776,  0.19570
N-Butane,  0.08407,  0.01691,  0.05957,  0.06672,  0.08404,  0.11437,  0.07092,  0.02026,  0.28567,  0.24101
Isobutane,  0.07733,  0.00000,  0.07682,  0.07727,  0.07792,  0.13045,  0.07781,  0.03061,  0.39342,  0.39586
N-Pentane,  0.01612,  0.00000,  0.01607,  0.01633,  0.02727,  0.06035,  0.02364,  0.01575,  0.66622,  0.97705
Isopentane,  0.16097,  0.04672,  0.16109,  0.16357,  0.16863,  0.19052,  0.15973,  0.02939,  0.18401,  0.18259
2-Methyl pentane,  0.21688,  0.05069,  0.19834,  0.21472,  0.21759,  0.24560,  0.20428,  0.03960,  0.19384,  0.18258
Butene,  0.05338,  0.02581,  0.04832,  0.04956,  0.05343,  0.06164,  0.04908,  0.00765,  0.15594,  0.14339
Propylene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.03821,  0.00394,  0.01051,  2.66597,  0.00000
cis-2-Pentene,  0.00407,  0.00149,  0.00390,  0.00407,  0.00435,  0.00480,  0.00391,  0.00083,  0.21272,  0.20435
Isoprene,  0.00000,  0.00000,  0.00000,  0.00373,  0.02520,  0.09929,  0.01411,  0.02311,  1.63792,  0.00000
alpha-Pinene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00007,  0.02160,  0.00112,  0.00482,  4.30935,  0.00000
MVK,  0.00000,  0.00000,  0.00000,  0.01316,  0.02236,  0.04925,  0.01337,  0.01257,  0.93993,  0.00000
Benzene,  0.15812,  0.06744,  0.13995,  0.14838,  0.15811,  0.15850,  0.14299,  0.02108,  0.14740,  0.13330
Toluene,  0.14963,  0.08169,  0.09221,  0.12721,  0.15009,  0.20049,  0.12325,  0.03206,  0.26016,  0.21429
Ethylbenzene,  0.02163,  0.01059,  0.01204,  0.01796,  0.02171,  0.03046,  0.01741,  0.00532,  0.30568,  0.24601
Propylbenzene,  0.00483,  0.00250,  0.00281,  0.00399,  0.00485,  0.00661,  0.00395,  0.00114,  0.28935,  0.23624
m_p-Xylene,  0.01326,  0.00000,  0.00013,  0.00802,  0.01339,  0.02334,  0.00788,  0.00716,  0.90833,  0.53955
o-Xylene,  0.01633,  0.00530,  0.00615,  0.01284,  0.01641,  0.02571,  0.01207,  0.00548,  0.45440,  0.33574
p-Isopropyl Toluene,  0.00679,  0.00129,  0.00679,  0.00769,  0.00772,  0.00913,  0.00720,  0.00165,  0.22861,  0.24243
Naphthalene,  0.00445,  0.00070,  0.00231,  0.00415,  0.00454,  0.01013,  0.00376,  0.00204,  0.54148,  0.45687
Methanol,  1.33130,  0.00000,  0.00000,  0.00000,  0.97479,  2.37360,  0.47073,  0.73307,  1.55731,  0.55064
Ethanol,  0.10591,  0.00000,  0.00000,  0.00000,  0.10360,  0.10591,  0.03144,  0.04927,  1.56730,  0.46522
Phenol,  0.05918,  0.01653,  0.03225,  0.05890,  0.06280,  0.08270,  0.05285,  0.01848,  0.34972,  0.31229
Methyl acetate,  0.14024,  0.04078,  0.13819,  0.13960,  0.14088,  0.15405,  0.13454,  0.02364,  0.17572,  0.16857
n-Butyl acetate,  0.07615,  0.04194,  0.05470,  0.06608,  0.07637,  0.10072,  0.06555,  0.01396,  0.21304,  0.18337
D5-Siloxane,  0.01360,  0.00000,  0.01376,  0.02445,  0.02503,  0.03651,  0.01903,  0.01049,  0.55096,  0.77092

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.01865,  0.00965,  0.01875,  0.03286,  0.03389,  0.03825,  0.02734,  0.00942,  0.34446,  0.50490
Chloroform,  0.00354,  0.00065,  0.00356,  0.00539,  0.00569,  0.00614,  0.00450,  0.00165,  0.36623,  0.46474
Trichlorofluoromethane,  0.06303,  0.03368,  0.06331,  0.10598,  0.10990,  0.11987,  0.09017,  0.02794,  0.30989,  0.44334
Dichlorodifluoromethane,  0.06272,  0.04969,  0.06334,  0.16776,  0.18886,  0.19917,  0.13204,  0.06196,  0.46923,  0.98784
Carbon Tetrachloride,  0.01715,  0.00930,  0.01724,  0.03079,  0.03225,  0.03517,  0.02569,  0.00873,  0.33995,  0.50922
1_1_2-Trichlorotrifluoroethane,  0.01894,  0.00975,  0.01905,  0.03605,  0.03761,  0.04070,  0.02946,  0.01050,  0.35659,  0.55453
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00338,  0.00208,  0.00341,  0.00778,  0.00827,  0.00898,  0.00612,  0.00255,  0.41642,  0.75416
Tetrachloroethene,  0.00046,  0.00019,  0.00046,  0.00047,  0.00049,  0.00066,  0.00046,  0.00010,  0.21346,  0.21415
1_2-Dichlorobenzene,  0.00014,  0.00000,  0.00014,  0.00015,  0.00018,  0.00026,  0.00015,  0.00007,  0.49912,  0.53193
1_4-Dichlorobenzene,  0.00021,  0.00000,  0.00010,  0.00021,  0.00024,  0.00029,  0.00017,  0.00009,  0.54323,  0.42671
PCBTF,  0.00043,  0.00000,  0.00000,  0.00020,  0.00043,  0.00088,  0.00026,  0.00026,  0.98229,  0.60404
N-Butane,  0.01511,  0.00912,  0.01543,  0.03201,  0.03305,  0.03505,  0.02502,  0.00940,  0.37573,  0.62188
Isobutane,  0.02051,  0.00000,  0.00000,  0.00000,  0.02041,  0.02051,  0.00665,  0.00955,  1.43545,  0.46544
N-Pentane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00025,  0.00001,  0.00006,  4.47214,  0.00000
Isopentane,  0.05021,  0.00576,  0.01053,  0.02237,  0.05017,  0.05032,  0.02756,  0.01741,  0.63170,  0.34668
2-Methyl pentane,  0.05625,  0.00633,  0.01548,  0.02743,  0.05622,  0.05641,  0.03261,  0.01906,  0.58436,  0.33880
Butene,  0.01808,  0.01055,  0.01818,  0.02358,  0.02396,  0.02534,  0.02104,  0.00398,  0.18940,  0.22041
Propylene,  0.00000,  0.00000,  0.00000,  0.02033,  0.05039,  0.05069,  0.02356,  0.02228,  0.94539,  0.00000
cis-2-Pentene,  0.00189,  0.00059,  0.00189,  0.00189,  0.00209,  0.00231,  0.00187,  0.00039,  0.20852,  0.20615
Isoprene,  0.29025,  0.17971,  0.17990,  0.25169,  0.29085,  0.38952,  0.24460,  0.05868,  0.23992,  0.20219
alpha-Pinene,  0.05142,  0.04704,  0.04708,  0.05144,  0.05288,  0.07188,  0.05157,  0.00560,  0.10859,  0.10891
MVK,  0.13823,  0.07189,  0.07194,  0.10262,  0.13837,  0.18026,  0.10701,  0.03309,  0.30924,  0.23939
Benzene,  0.03917,  0.00000,  0.03939,  0.04360,  0.05494,  0.07126,  0.04288,  0.01629,  0.37984,  0.41590
Toluene,  0.02044,  0.01723,  0.01738,  0.02046,  0.02378,  0.03440,  0.02148,  0.00467,  0.21729,  0.22829
Ethylbenzene,  0.00311,  0.00284,  0.00285,  0.00311,  0.00326,  0.00536,  0.00333,  0.00076,  0.22879,  0.24478
Propylbenzene,  0.00105,  0.00071,  0.00072,  0.00089,  0.00105,  0.00162,  0.00095,  0.00026,  0.27318,  0.24720
m_p-Xylene,  0.00179,  0.00179,  0.00182,  0.00427,  0.00509,  0.00876,  0.00417,  0.00196,  0.46988,  1.09461
o-Xylene,  0.00235,  0.00235,  0.00236,  0.00283,  0.00298,  0.00631,  0.00309,  0.00105,  0.33891,  0.44556
p-Isopropyl Toluene,  0.00642,  0.00221,  0.00248,  0.00383,  0.00642,  0.00645,  0.00434,  0.00181,  0.41649,  0.28131
Naphthalene,  0.00366,  0.00237,  0.00239,  0.00287,  0.00367,  0.00559,  0.00319,  0.00085,  0.26675,  0.23242
Methanol,  1.63050,  0.00000,  1.54328,  2.98850,  4.20145,  5.07850,  2.88591,  1.58733,  0.55003,  0.97352
Ethanol,  0.18867,  0.00000,  0.00000,  0.00000,  0.18947,  0.25774,  0.07568,  0.09702,  1.28203,  0.51424
