
Residuals from Base Run #11 (Convergent Run)

Base_Run,Date_Time,Dichloromethane,Chloroform,Trichlorofluoromethane,Dichlorodifluoromethane,Carbon Tetrachloride,1_1_2-Trichlorotrifluoroethane,1_2-Dichloro-1_1_2_2-tetrafluoroethane,Tetrachloroethene,1_2-Dichlorobenzene,1_4-Dichlorobenzene,PCBTF,N-Butane,Isobutane,N-Pentane,Isopentane,2-Methyl pentane,Butene,Propylene,cis-2-Pentene,Isoprene,alpha-Pinene,MVK,Benzene,Toluene,Ethylbenzene,Propylbenzene,m_p-Xylene,o-Xylene,p-Isopropyl Toluene,Naphthalene,Methanol,Ethanol,Phenol,Methyl acetate,n-Butyl acetate,D5-Siloxane
11,07/20/21,2.640000E-002,-3.802000E-003,-3.257000E-002,-8.927000E-002,7.637000E-003,-1.300000E-002,6.010000E-003,-4.396000E-004,1.220000E-004,-8.993000E-005,4.302000E-004,-4.404000E-002,-2.665000E-002,8.317000E-002,-1.221000E-001,-2.428000E-002,2.028000E-002,-7.188000E-002,3.522000E-003,8.263000E-002,8.837000E-003,4.417000E-002,4.543000E-001,7.772000E-002,1.365000E-002,2.366000E-003,2.332000E-002,1.552000E-002,-4.633000E-003,-1.924000E-003,5.287000E+001,1.228000E-002,9.642000E-002,-1.152000E-001,1.582000E-001,-2.551000E-002
11,07/21/21,4.080000E-002,-3.032000E-004,2.092000E-002,-3.441000E-002,-1.024000E-002,-2.451000E-003,1.881000E-004,-5.772000E-004,-1.587000E-004,1.031000E-004,1.164000E-003,2.068000E-002,-6.825000E-002,2.185000E-002,4.705000E-003,-9.859000E-003,1.883000E-003,-1.354000E-002,-5.202000E-004,8.529000E-002,2.939000E-003,3.902000E-002,-2.778000E-002,-6.174000E-003,2.212000E-003,-7.959000E-005,8.684000E-003,4.403000E-003,1.022000E-003,-5.700000E-004,3.536000E+000,-4.766000E-001,7.435000E-002,-1.339000E-002,2.603000E-002,-1.101000E-002
11,07/22/21,5.186000E-003,1.501000E-003,2.391000E-002,5.792000E-002,-1.117000E-002,-3.831000E-003,-1.938000E-003,-6.924000E-004,-3.489000E-004,2.758000E-004,9.073000E-003,1.546000E-002,-9.325000E-002,1.749000E-001,1.604000E-001,1.101000E-001,-3.813000E-002,6.379000E-002,-6.736000E-004,1.441000E-001,2.170000E-002,5.343000E-002,-1.045000E-001,-7.914000E-003,-1.448000E-003,-1.509000E-003,7.987000E-003,1.341000E-003,-1.786000E-003,5.028000E-004,-1.271000E+000,-3.356000E-001,-4.126000E-002,-1.770000E-002,2.272000E-001,-3.250000E-002
11,07/23/21,-1.002000E-002,6.793000E-003,-3.079000E-002,8.161000E-002,-6.881000E-003,1.914000E-003,-2.136000E-003,-1.406000E-003,1.674000E-004,-6.521000E-006,4.158000E-003,-1.824000E-001,5.283000E-002,2.906000E-002,-4.915000E-002,-9.078000E-002,-7.406000E-002,2.676000E-002,-6.188000E-004,1.969000E-002,1.246000E-002,1.658000E-002,-8.852000E-002,7.574000E-002,2.316000E-003,-4.708000E-004,2.288000E-003,3.997000E-003,6.425000E-003,-6.090000E-003,-2.097000E-001,-2.090000E-003,1.122000E-001,8.229000E-002,1.946000E-001,-5.742000E-003
11,07/24/21,-1.387000E-002,6.157000E-003,1.220000E-002,8.414000E-002,3.485000E-003,6.359000E-003,-3.035000E-003,-8.878000E-004,3.680000E-005,-2.580000E-006,-3.018000E-003,-2.844000E-002,-4.520000E-002,5.334000E-002,1.733000E-002,-1.532000E-002,-2.665000E-002,-3.135000E-002,5.797000E-004,1.243000E-002,1.143000E-002,5.007000E-003,-5.346000E-002,1.278000E-002,8.678000E-003,-2.223000E-004,7.408000E-003,5.185000E-003,2.125000E-003,-9.623000E-004,5.812000E-005,-8.148000E-004,-6.364000E-003,4.964000E-003,5.267000E-002,-6.838000E-003
11,07/25/21,4.624000E-003,1.157000E-002,3.407000E-002,5.155000E-003,6.167000E-003,7.490000E-003,-2.609000E-003,5.603000E-003,-1.124000E-004,1.330000E-004,-2.823000E-003,5.473000E-003,-4.741000E-003,2.272000E-004,3.223000E-002,-4.706000E-002,1.249000E-002,-3.784000E-002,2.084000E-003,-2.216000E-002,2.098000E-003,-2.977000E-002,5.074000E-002,5.415000E-003,2.445000E-003,-1.043000E-003,-6.743000E-003,-3.547000E-003,-2.844000E-003,-3.240000E-004,3.808000E-001,1.489000E-002,5.175000E-002,-3.863000E-004,3.964000E-002,6.892000E-002
11,07/26/21,-6.472000E-003,-9.291000E-004,-4.109000E-003,4.750000E-003,9.874000E-002,-1.953000E-003,-1.669000E-003,-1.560000E-003,2.406000E-005,-2.718000E-004,-6.716000E-004,-1.056000E-002,2.263000E-003,-6.313000E-005,-4.355000E-002,-6.510000E-003,-2.535000E-002,-6.431000E-002,2.241000E-004,1.440000E-001,4.841000E-002,5.308000E-002,1.692000E-002,1.458000E-001,1.135000E-002,5.455000E-003,6.475000E-003,9.623000E-003,9.444000E-002,-5.375000E-004,9.216000E-005,-1.907000E-001,-5.695000E-002,-2.556000E-002,2.958000E-002,-2.196000E-002
11,07/27/21,3.287000E-003,8.838000E-003,1.276000E-002,2.307000E-002,1.048000E-002,2.978000E-004,-1.130000E-003,8.845000E-004,1.641000E-004,-9.143000E-005,-1.678000E-003,-9.437000E-002,5.492000E-002,-2.185000E-004,1.947000E-003,-4.736000E-002,-7.741000E-002,1.094000E-001,2.944000E-003,3.780000E-002,1.203000E-002,4.607000E-004,-4.816000E-002,2.733000E-002,3.058000E-003,6.384000E-004,7.469000E-003,2.953000E-003,2.088000E-002,-4.731000E-003,8.472000E-001,-1.337000E-004,-3.918000E-001,3.008000E-002,-2.483000E-002,2.535000E-003
11,07/28/21,-1.990000E-002,-6.164000E-004,3.687000E-002,9.494000E-003,2.743000E-003,2.576000E-004,6.751000E-004,-2.477000E-003,-5.262000E-007,2.175000E-005,-1.156000E-003,-4.409000E-002,-3.699000E-002,2.225000E-002,2.795000E-002,2.651000E-002,-4.819000E-002,7.487000E-003,-1.083000E-003,1.325000E-001,2.019000E-002,5.971000E-002,-8.670000E-002,6.677000E-002,6.460000E-003,2.537000E-003,2.172000E-002,1.426000E-002,1.121000E-002,-4.359000E-005,-7.094000E-003,-1.980000E-001,-1.114000E-001,-5.074000E-002,6.201000E-002,-2.191000E-002
11,07/29/21,2.993000E-001,-5.798000E-003,-4.747000E-002,7.434000E-002,-2.167000E-003,-2.131000E-002,9.023000E-003,6.403000E-005,4.396000E-004,-3.457000E-004,7.239000E-003,6.241000E-002,3.067000E-002,9.839000E-003,-1.755000E-001,-4.131000E-002,8.710000E-002,-1.353000E-001,-2.239000E-003,2.723000E-001,2.782000E-002,1.251000E-001,3.319000E-001,8.076000E-002,1.288000E-002,3.450000E-003,-4.511000E-003,6.841000E-003,6.732000E-003,-5.303000E-003,-1.336000E-001,-6.039000E-001,9.939000E-002,1.596000E-001,1.068000E-001,-1.149000E-001
