**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 4

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00569,  0.00380,  0.00455,  0.00490,  0.00562,  0.00589,  0.00496,  0.00061,  0.12332,  0.10742
Chloroform,  0.00056,  0.00036,  0.00039,  0.00046,  0.00056,  0.00072,  0.00049,  0.00011,  0.22364,  0.19559
Trichlorofluoromethane,  0.01073,  0.00374,  0.00499,  0.00604,  0.00749,  0.01074,  0.00649,  0.00198,  0.30480,  0.18445
Dichlorodifluoromethane,  0.01947,  0.00003,  0.00855,  0.01242,  0.01604,  0.01947,  0.01229,  0.00537,  0.43701,  0.27586
Carbon Tetrachloride,  0.00251,  0.00000,  0.00012,  0.00112,  0.00139,  0.00252,  0.00099,  0.00082,  0.83019,  0.32631
1_1_2-Trichlorotrifluoroethane,  0.00332,  0.00132,  0.00149,  0.00202,  0.00251,  0.00332,  0.00208,  0.00065,  0.31338,  0.19653
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00092,  0.00000,  0.00026,  0.00044,  0.00067,  0.00092,  0.00044,  0.00030,  0.67987,  0.32887
Tetrachloroethene,  0.00005,  0.00003,  0.00005,  0.00006,  0.00013,  0.00018,  0.00009,  0.00005,  0.52854,  0.84630
1_2-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00004,  0.00000,  0.00001,  3.07707,  0.00000
1_4-Dichlorobenzene,  0.00014,  0.00000,  0.00002,  0.00005,  0.00014,  0.00014,  0.00007,  0.00006,  0.83622,  0.41474
PCBTF,  0.00041,  0.00034,  0.00038,  0.00050,  0.00066,  0.00085,  0.00052,  0.00014,  0.27625,  0.35038
N-Butane,  0.00000,  0.00000,  0.00051,  0.00311,  0.00664,  0.00749,  0.00327,  0.00291,  0.89120,  0.00000
Isobutane,  0.00017,  0.00000,  0.00222,  0.00465,  0.01053,  0.01206,  0.00554,  0.00442,  0.79856, 26.76209
N-Pentane,  0.00041,  0.00000,  0.00000,  0.00000,  0.00023,  0.00074,  0.00014,  0.00020,  1.49507,  0.49120
Isopentane,  0.00504,  0.00470,  0.00509,  0.00764,  0.01261,  0.01677,  0.00894,  0.00433,  0.48446,  0.86009
2-Methyl pentane,  0.00334,  0.00334,  0.00502,  0.00952,  0.01577,  0.01985,  0.01040,  0.00577,  0.55478,  1.72653
Butene,  0.00022,  0.00000,  0.00039,  0.00152,  0.00317,  0.00388,  0.00163,  0.00139,  0.85658,  6.26149
Propylene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00114,  0.00022,  0.00046,  2.05351,  0.00000
cis-2-Pentene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Isoprene,  0.02921,  0.00031,  0.02641,  0.03172,  0.03516,  0.04464,  0.02967,  0.01123,  0.37836,  0.38430
alpha-Pinene,  0.00520,  0.00000,  0.00431,  0.00539,  0.00617,  0.00787,  0.00512,  0.00200,  0.39170,  0.38541
MVK,  0.01292,  0.00000,  0.01205,  0.01454,  0.01573,  0.02007,  0.01323,  0.00529,  0.39980,  0.40937
Benzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Toluene,  0.00127,  0.00085,  0.00111,  0.00291,  0.00537,  0.01026,  0.00381,  0.00302,  0.79219,  2.37731
Ethylbenzene,  0.00043,  0.00029,  0.00033,  0.00058,  0.00100,  0.00174,  0.00074,  0.00046,  0.61694,  1.06448
Propylbenzene,  0.00007,  0.00007,  0.00007,  0.00015,  0.00024,  0.00041,  0.00018,  0.00012,  0.68304,  1.84721
m_p-Xylene,  0.00044,  0.00000,  0.00000,  0.00022,  0.00072,  0.00120,  0.00041,  0.00046,  1.11935,  1.03198
o-Xylene,  0.00040,  0.00015,  0.00024,  0.00043,  0.00089,  0.00146,  0.00058,  0.00041,  0.70925,  1.03619
p-Isopropyl Toluene,  0.00020,  0.00000,  0.00039,  0.00062,  0.00091,  0.00122,  0.00064,  0.00036,  0.56249,  1.79866
Naphthalene,  0.00100,  0.00063,  0.00074,  0.00079,  0.00097,  0.00111,  0.00084,  0.00013,  0.15430,  0.12968
Methanol, 72.65800, 72.07600, 72.37250, 72.52800, 72.65400, 73.04200, 72.51740,  0.27213,  0.00375,  0.00375
Ethanol,  0.01293,  0.00000,  0.02673,  0.03950,  0.04058,  0.06141,  0.03466,  0.01508,  0.43504,  1.16624
Phenol,  0.01635,  0.00000,  0.00315,  0.00561,  0.01067,  0.01639,  0.00654,  0.00472,  0.72289,  0.28893
Formaldehyde,  0.05427,  0.00000,  0.05348,  0.07885,  0.12605,  0.19654,  0.09110,  0.05835,  0.64052,  1.07519
Acetaldehyde,  0.01444,  0.00000,  0.01307,  0.02319,  0.04787,  0.08443,  0.03316,  0.02675,  0.80668,  1.85281
Isovaleraldehyde,  0.00050,  0.00000,  0.00000,  0.00002,  0.00050,  0.00051,  0.00019,  0.00023,  1.22908,  0.47008
Hexaldehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00036,  0.00002,  0.00008,  4.47214,  0.00000
m_p-Tolualdehyde,  0.00001,  0.00000,  0.00001,  0.00003,  0.00005,  0.00009,  0.00003,  0.00003,  0.82850,  3.86377
Phenylacetaldehyde,  0.00649,  0.00000,  0.00069,  0.00173,  0.00481,  0.00650,  0.00258,  0.00225,  0.87066,  0.34669
Cyclohexanone,  0.00003,  0.00003,  0.00004,  0.00005,  0.00008,  0.00012,  0.00006,  0.00003,  0.46421,  0.89731
