**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 5

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Trichlorofluoromethane,  0.04036,  0.03918,  0.04038,  0.05088,  0.06691,  0.10296,  0.05718,  0.02022,  0.35363,  0.50091
Dichlorodifluoromethane,  0.04229,  0.04211,  0.04265,  0.05970,  0.07281,  0.18129,  0.07037,  0.03809,  0.54129,  0.90081
Carbon Tetrachloride,  0.00971,  0.00969,  0.00974,  0.01450,  0.01780,  0.02878,  0.01560,  0.00659,  0.42271,  0.67937
1_1_2-Trichlorotrifluoroethane,  0.01115,  0.01086,  0.01116,  0.01573,  0.01946,  0.03332,  0.01742,  0.00741,  0.42525,  0.66421
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00225,  0.00225,  0.00227,  0.00335,  0.00382,  0.00757,  0.00355,  0.00155,  0.43744,  0.68975
Tetrachloroethene,  0.00020,  0.00020,  0.00020,  0.00027,  0.00041,  0.00058,  0.00032,  0.00013,  0.40182,  0.62889
1_2-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00014,  0.00002,  0.00004,  2.17194,  0.00000
1_4-Dichlorobenzene,  0.00011,  0.00000,  0.00011,  0.00014,  0.00018,  0.00038,  0.00015,  0.00008,  0.50291,  0.69066
PCBTF,  0.00013,  0.00000,  0.00013,  0.00014,  0.00020,  0.00033,  0.00016,  0.00007,  0.43235,  0.52044
N-Butane,  0.00478,  0.00478,  0.00483,  0.00975,  0.01378,  0.01969,  0.00985,  0.00460,  0.46758,  0.96398
Isobutane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.02028,  0.00102,  0.00453,  4.43204,  0.00000
N-Pentane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00005,  0.00266,  0.00029,  0.00068,  2.33233,  0.00000
Isopentane,  0.01769,  0.00000,  0.01729,  0.01772,  0.04160,  0.05446,  0.02650,  0.01520,  0.57340,  0.85889
2-Methyl pentane,  0.00700,  0.00683,  0.00701,  0.01643,  0.03250,  0.06240,  0.02057,  0.01721,  0.83656,  2.45969
Butene,  0.00842,  0.00841,  0.00844,  0.01453,  0.01896,  0.02155,  0.01410,  0.00502,  0.35580,  0.59576
Propylene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00864,  0.04474,  0.00518,  0.01041,  2.00919,  0.00000
cis-2-Pentene,  0.00093,  0.00081,  0.00087,  0.00093,  0.00167,  0.00255,  0.00123,  0.00048,  0.39351,  0.52025
Isoprene,  0.32978,  0.15955,  0.26645,  0.28211,  0.32953,  0.33021,  0.28355,  0.04728,  0.16675,  0.14337
alpha-Pinene,  0.06022,  0.04240,  0.04943,  0.05002,  0.06018,  0.06031,  0.05330,  0.00605,  0.11357,  0.10054
MVK,  0.15253,  0.06350,  0.12051,  0.13031,  0.15238,  0.15266,  0.12896,  0.02516,  0.19511,  0.16497
Benzene,  0.00106,  0.00097,  0.00113,  0.01693,  0.03842,  0.07253,  0.02114,  0.02103,  0.99506, 19.92136
Toluene,  0.02124,  0.01338,  0.02120,  0.02135,  0.02423,  0.02662,  0.02181,  0.00293,  0.13415,  0.13776
Ethylbenzene,  0.00353,  0.00242,  0.00319,  0.00354,  0.00432,  0.00459,  0.00364,  0.00064,  0.17519,  0.18037
Propylbenzene,  0.00103,  0.00049,  0.00102,  0.00103,  0.00121,  0.00134,  0.00105,  0.00018,  0.17353,  0.17849
m_p-Xylene,  0.00611,  0.00000,  0.00479,  0.00610,  0.00613,  0.00751,  0.00542,  0.00193,  0.35638,  0.31578
o-Xylene,  0.00406,  0.00107,  0.00333,  0.00405,  0.00457,  0.00530,  0.00388,  0.00107,  0.27519,  0.26312
p-Isopropyl Toluene,  0.00401,  0.00170,  0.00401,  0.00402,  0.00530,  0.00630,  0.00441,  0.00108,  0.24427,  0.26871
Naphthalene,  0.00331,  0.00263,  0.00329,  0.00334,  0.00461,  0.00488,  0.00370,  0.00075,  0.20214,  0.22566
Methanol,  2.15280,  0.80784,  1.15533,  2.10040,  2.77835,  5.26860,  2.17307,  1.07579,  0.49506,  0.49972
Ethanol,  0.17215,  0.00000,  0.00000,  0.16837,  0.20513,  0.32249,  0.12682,  0.10005,  0.78896,  0.58120
Phenol,  0.12388,  0.11697,  0.12370,  0.12393,  0.13647,  0.16523,  0.12983,  0.01225,  0.09434,  0.09887
Isovaleraldehyde,  0.00907,  0.00297,  0.00888,  0.00912,  0.01088,  0.02750,  0.01066,  0.00501,  0.46976,  0.55229
Hexaldehyde,  0.02377,  0.00000,  0.01977,  0.02383,  0.02656,  0.06201,  0.02389,  0.01193,  0.49966,  0.50218
m_p-Tolualdehyde,  0.00030,  0.00002,  0.00023,  0.00030,  0.00031,  0.00032,  0.00026,  0.00008,  0.30340,  0.25897
Phenylacetaldehyde,  0.03362,  0.03350,  0.03365,  0.03707,  0.04516,  0.07282,  0.04298,  0.01317,  0.30634,  0.39160
Cyclohexanone,  0.00022,  0.00004,  0.00020,  0.00022,  0.00032,  0.00050,  0.00024,  0.00012,  0.47878,  0.53846
Methyl acetate,  0.00000,  0.00000,  0.00000,  0.00569,  0.01622,  0.04116,  0.00909,  0.01137,  1.25060,  0.00000
n-Butyl acetate,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00215,  0.00011,  0.00048,  4.47214,  0.00000
D5-Siloxane,  0.00112,  0.00000,  0.00110,  0.00125,  0.01870,  0.02194,  0.00831,  0.00906,  1.08985,  8.11156

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00001,  0.00000,  0.00000,  0.00000,  0.00001,  0.00014,  0.00002,  0.00004,  2.43574,  4.93110
Chloroform,  0.00148,  0.00011,  0.00059,  0.00077,  0.00148,  0.00149,  0.00093,  0.00050,  0.53661,  0.33848
Trichlorofluoromethane,  0.00001,  0.00000,  0.00000,  0.00000,  0.00047,  0.00179,  0.00026,  0.00052,  2.01374, 66.07131
Dichlorodifluoromethane,  0.00198,  0.00000,  0.00000,  0.00000,  0.00203,  0.00394,  0.00095,  0.00118,  1.24538,  0.59535
