
Factor Profiles (conc. of species) from Base Run #4 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9
4,Dichloromethane,7.661387E+000,6.788654E+000,8.744127E+000,6.371681E+000,3.910066E+001,4.092402E+000,4.761766E-001,7.002259E+000,1.976266E+001
4,Chloroform,2.233242E+000,6.500642E+000,8.445334E+000,4.545949E+000,5.026353E+001,2.816227E+000,5.428677E+000,3.316516E+000,1.644988E+001
4,Trichlorofluoromethane,1.837575E+001,6.005326E+000,8.567443E-016,2.115288E+000,4.203338E+001,2.362134E+000,1.656089E-016,2.261694E+000,2.684642E+001
4,Dichlorodifluoromethane,1.165497E+001,9.191980E+000,1.353117E+001,7.586297E+000,1.166575E+001,1.864541E+000,1.515766E+000,2.016321E+000,4.097320E+001
4,Carbon Tetrachloride,1.543020E+001,5.233698E+000,5.252761E+000,7.702806E-016,3.657110E+001,1.531693E+000,2.238968E+000,2.831449E+000,3.091013E+001
4,1_1_2-Trichlorotrifluoroethane,1.652411E+001,7.206420E+000,3.200824E+000,1.054814E-015,3.651357E+001,2.104684E+000,2.378781E+000,2.194765E-015,3.207161E+001
4,1_2-Dichloro-1_1_2_2-tetrafluoroethane,1.543488E+001,7.921402E+000,4.362666E+000,1.006769E+001,2.120528E+001,1.874421E+000,3.915842E-016,2.689669E-017,3.913366E+001
4,Tetrachloroethene,3.490580E+000,1.219222E+001,1.853894E+001,3.869247E+000,2.980781E+001,1.640192E+000,2.250618E+000,2.301633E+001,5.194058E+000
4,1_2-Dichlorobenzene,1.319816E+000,8.488411E+001,3.682283E-017,4.471783E-017,9.510058E+000,7.026898E-001,1.488500E+000,2.838444E-001,1.810981E+000
4,1_4-Dichlorobenzene,3.325045E+000,8.846812E+001,1.670748E+000,4.553993E-001,4.127116E+000,1.593391E+000,9.220287E-017,9.090472E-017,3.601846E-001
4,PCBTF,1.901974E+000,6.958838E+000,1.496322E+001,5.688913E+000,3.196130E+001,5.162490E+000,1.736700E+000,3.162656E+001,2.493793E-016
4,N-Butane,1.465872E+000,1.659979E+001,1.450714E+001,4.075608E+001,1.167497E+001,5.106435E-001,2.266610E+000,2.002886E+000,1.021602E+001
4,Isobutane,5.722308E-017,5.253890E+000,2.784730E+001,4.170449E+001,2.314117E+001,2.053153E+000,5.512153E-016,2.049903E-016,5.363187E-017
