**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 9

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.02402,  0.01821,  0.02103,  0.02399,  0.02800,  0.02919,  0.02433,  0.00339,  0.13922,  0.14102
Chloroform,  0.00372,  0.00293,  0.00324,  0.00372,  0.00429,  0.00473,  0.00376,  0.00052,  0.13871,  0.14013
Trichlorofluoromethane,  0.07004,  0.04403,  0.06485,  0.06999,  0.08837,  0.09074,  0.07214,  0.01443,  0.20007,  0.20608
Dichlorodifluoromethane,  0.17868,  0.12307,  0.15891,  0.17251,  0.17856,  0.18738,  0.16723,  0.01599,  0.09561,  0.08948
Carbon Tetrachloride,  0.02205,  0.01278,  0.01944,  0.02204,  0.02661,  0.02870,  0.02229,  0.00437,  0.19611,  0.19825
1_1_2-Trichlorotrifluoroethane,  0.02681,  0.01737,  0.02346,  0.02679,  0.03115,  0.03224,  0.02673,  0.00438,  0.16375,  0.16326
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00669,  0.00526,  0.00606,  0.00668,  0.00733,  0.00762,  0.00667,  0.00070,  0.10510,  0.10476
Tetrachloroethene,  0.00034,  0.00023,  0.00028,  0.00034,  0.00036,  0.00038,  0.00033,  0.00004,  0.12911,  0.12465
1_2-Dichlorobenzene,  0.00027,  0.00000,  0.00005,  0.00021,  0.00027,  0.00419,  0.00037,  0.00091,  2.44227,  3.34263
1_4-Dichlorobenzene,  0.00022,  0.00000,  0.00000,  0.00004,  0.00022,  0.00022,  0.00008,  0.00010,  1.16469,  0.44970
PCBTF,  0.00013,  0.00000,  0.00000,  0.00006,  0.00013,  0.00024,  0.00008,  0.00008,  1.10646,  0.66794
N-Butane,  0.05710,  0.01679,  0.03388,  0.04721,  0.05710,  0.08208,  0.04580,  0.01817,  0.39662,  0.31814
Isobutane,  0.00210,  0.00000,  0.00000,  0.00207,  0.00386,  0.02295,  0.00521,  0.00862,  1.65360,  4.10857
N-Pentane,  0.00484,  0.00056,  0.00187,  0.00484,  0.00487,  0.00784,  0.00409,  0.00226,  0.55285,  0.46622
Isopentane,  0.00000,  0.00000,  0.00000,  0.00120,  0.00503,  0.01393,  0.00282,  0.00351,  1.24427,  0.00000
