Mapping of bootstrap factors to base factors

,Composting (MeOH),Gasoline vapor-summer blend,Biogenic,Gasoline vapor-winter blend,Secondary VOC,University + K12 institutes,Mixing solvents,VCP (siloxane),VCP (Ethanol),Unmapped
Boot Factor 1,49,0,0,0,0,1,0,0,0,0
Boot Factor 2,0,40,3,0,0,0,5,2,0,0
Boot Factor 3,0,0,40,0,1,2,7,0,0,0
Boot Factor 4,0,0,2,36,2,3,3,2,1,1
Boot Factor 5,0,0,0,0,46,2,1,0,0,1
Boot Factor 6,0,1,0,0,1,47,1,0,0,0
Boot Factor 7,0,0,0,0,0,0,49,0,0,1
Boot Factor 8,0,4,2,0,2,4,6,30,0,2
Boot Factor 9,0,0,0,0,0,0,0,0,50,0


Bootstrapping and Pulling Results.  Includes adjustment for measurement errors.
There is a block of rows for each species.
Columns are:  Original Factor, m Smallest Bootstraps, m Largest Bootstraps, Each Bootstrap

0.630575E-03,0.144756E-03,0.230453E-03,0.324480E-03,0.327430E-03,0.372864E-03,0.423056E-03,0.124912E-02,0.129709E-02,0.151222E-02,0.195653E-02,0.198475E-02,0.226483E-02,0.630575E-03,0.576340E-03,0.121556E-02,0.106827E-02,0.423056E-03,0.623818E-03,0.828916E-03,0.951688E-03,0.198475E-02,0.706743E-03,0.932136E-03,0.100738E-02,0.124912E-02,0.912023E-03,0.995233E-03,0.926330E-03,0.665828E-03,0.324480E-03,0.477463E-03,0.769660E-03,0.865811E-03,0.144756E-03,0.458400E-03,0.720127E-03,0.372864E-03,0.151222E-02,0.129709E-02,0.895926E-03,0.644219E-03,0.195653E-02,0.230453E-03,0.848093E-03,0.453043E-03,0.839844E-03,0.495090E-03,0.569290E-03,0.747274E-03,0.990177E-03,0.486613E-03,0.108694E-02,0.554014E-03,0.976252E-03,0.226483E-02,0.939478E-03,0.769467E-03,0.783338E-03,0.822667E-03,0.498408E-03,0.779821E-03,0.327430E-03,0.670401E-03,
0.608416E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.784187E-04,0.611873E-02,0.747444E-02,0.811235E-02,0.859277E-02,0.956685E-02,0.988151E-02,0.608416E-03,0.859277E-02,0.811235E-02,0.439180E-02,0.126037E-02,0.478930E-02,0.202064E-02,0.410835E-02,0.139430E-02,0.410488E-02,0.194372E-02,0.784187E-04,0.747444E-02,0.485156E-02,0.000000E+00,0.611873E-02,0.880098E-03,0.123946E-02,0.539684E-02,0.300400E-02,0.956685E-02,0.429478E-02,0.000000E+00,0.113508E-02,0.195039E-02,0.559281E-02,0.261181E-03,0.000000E+00,0.261403E-02,0.208566E-02,0.509200E-02,0.298239E-02,0.000000E+00,0.610702E-03,0.241872E-02,0.173523E-02,0.350259E-02,0.551702E-02,0.000000E+00,0.206969E-03,0.988151E-02,0.369128E-02,0.122518E-02,0.420174E-02,0.338490E-02,0.122472E-02,0.217612E-02,0.130807E-02,0.146119E-02,0.175865E-02,0.145946E-02,
0.236879E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.309391E-04,0.146627E-03,0.712801E-02,0.778548E-02,0.805438E-02,0.887364E-02,0.926867E-02,0.930892E-02,0.236879E-03,0.110326E-02,0.000000E+00,0.169640E-02,0.207321E-02,0.000000E+00,0.678978E-03,0.000000E+00,0.309391E-04,0.256258E-02,0.263324E-02,0.185102E-02,0.359752E-02,0.622861E-03,0.329662E-02,0.000000E+00,0.317756E-02,0.370845E-02,0.210519E-02,0.778548E-02,0.127144E-02,0.201829E-02,0.260159E-03,0.388126E-02,0.400247E-02,0.184333E-02,0.353065E-02,0.377987E-02,0.840700E-03,0.699275E-02,0.741876E-03,0.186196E-02,0.805438E-02,0.887364E-02,0.342733E-02,0.182769E-02,0.926867E-02,0.237139E-02,0.396646E-02,0.247801E-02,0.712801E-02,0.930892E-02,0.146627E-03,0.333318E-02,0.161654E-02,0.456255E-02,0.206600E-02,0.417326E-02,0.375779E-02,0.444705E-02,0.108681E-02,
0.166854E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.157393E-05,0.503610E-04,0.584786E-02,0.603893E-02,0.637415E-02,0.665545E-02,0.717672E-02,0.762945E-02,0.166854E-02,0.155505E-02,0.351674E-02,0.603893E-02,0.305789E-02,0.492018E-03,0.159327E-02,0.114122E-02,0.692529E-03,0.952221E-03,0.130906E-03,0.152913E-02,0.513059E-03,0.167001E-02,0.584786E-02,0.637415E-02,0.000000E+00,0.178099E-02,0.000000E+00,0.263491E-02,0.197150E-02,0.000000E+00,0.184201E-03,0.503610E-04,0.425551E-03,0.198220E-02,0.116656E-02,0.919034E-03,0.324829E-02,0.000000E+00,0.147243E-02,0.312407E-02,0.129946E-02,0.717672E-02,0.312926E-02,0.206237E-02,0.183572E-02,0.822103E-03,0.105999E-02,0.120662E-02,0.116317E-02,0.157393E-05,0.741767E-03,0.212485E-03,0.762945E-02,0.276405E-02,0.665545E-02,0.118543E-02,0.282671E-02,0.239817E-02,0.296113E-02,
0.435308E-02,0.936818E-03,0.154510E-02,0.166483E-02,0.184776E-02,0.185092E-02,0.187985E-02,0.412609E-02,0.435308E-02,0.477848E-02,0.572024E-02,0.607592E-02,0.804561E-02,0.435308E-02,0.320444E-02,0.283966E-02,0.388931E-02,0.230760E-02,0.233312E-02,0.346455E-02,0.365949E-02,0.396579E-02,0.232639E-02,0.804561E-02,0.283368E-02,0.228642E-02,0.184776E-02,0.245013E-02,0.267992E-02,0.270189E-02,0.384540E-02,0.311875E-02,0.290065E-02,0.252887E-02,0.244953E-02,0.352966E-02,0.572024E-02,0.936818E-03,0.363217E-02,0.226463E-02,0.477848E-02,0.311029E-02,0.364286E-02,0.338977E-02,0.348626E-02,0.293603E-02,0.187985E-02,0.607592E-02,0.185092E-02,0.299140E-02,0.193989E-02,0.274340E-02,0.272904E-02,0.166483E-02,0.301052E-02,0.384002E-02,0.412609E-02,0.405482E-02,0.346422E-02,0.154510E-02,0.364438E-02,0.295202E-02,0.314504E-02,0.269001E-02,
0.749217E-03,0.276321E-03,0.361703E-03,0.389948E-03,0.428125E-03,0.460252E-03,0.467857E-03,0.198177E-02,0.254405E-02,0.392116E-02,0.438000E-02,0.755797E-02,0.130813E-01,0.749217E-03,0.139120E-02,0.689640E-03,0.482588E-03,0.130813E-01,0.101679E-02,0.143118E-02,0.132408E-02,0.131911E-02,0.107897E-02,0.134687E-02,0.173845E-02,0.149040E-02,0.157278E-02,0.438000E-02,0.460252E-03,0.755797E-02,0.865420E-03,0.176661E-02,0.942123E-03,0.103764E-02,0.254405E-02,0.173477E-02,0.168049E-02,0.198177E-02,0.138815E-02,0.144685E-02,0.157193E-02,0.957873E-03,0.109471E-02,0.428125E-03,0.276321E-03,0.361703E-03,0.467857E-03,0.855607E-03,0.142828E-02,0.599172E-03,0.168524E-02,0.139074E-02,0.153302E-02,0.807085E-03,0.666410E-03,0.154035E-02,0.102616E-02,0.392116E-02,0.389948E-03,0.167743E-02,0.866065E-03,0.782038E-03,0.133664E-02,0.555872E-03,
0.133656E-01,0.336506E-02,0.348844E-02,0.384005E-02,0.396460E-02,0.428298E-02,0.468693E-02,0.119967E-01,0.120223E-01,0.122769E-01,0.133656E-01,0.147170E-01,0.162660E-01,0.133656E-01,0.520941E-02,0.752658E-02,0.582791E-02,0.672399E-02,0.877370E-02,0.122769E-01,0.907986E-02,0.863318E-02,0.428298E-02,0.853407E-02,0.120223E-01,0.616059E-02,0.106105E-01,0.728606E-02,0.857646E-02,0.103662E-01,0.102391E-01,0.825240E-02,0.556612E-02,0.707007E-02,0.881053E-02,0.792918E-02,0.980816E-02,0.108176E-01,0.511528E-02,0.162660E-01,0.937365E-02,0.114321E-01,0.860991E-02,0.942626E-02,0.117596E-01,0.384005E-02,0.336506E-02,0.724214E-02,0.101113E-01,0.842789E-02,0.918497E-02,0.111790E-01,0.147170E-01,0.348844E-02,0.800189E-02,0.468693E-02,0.691252E-02,0.396460E-02,0.784128E-02,0.102983E-01,0.119967E-01,0.901784E-02,0.862245E-02,0.981894E-02,
0.287354E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.154074E-03,0.199547E-03,0.314816E-03,0.652945E-02,0.698157E-02,0.776120E-02,0.837446E-02,0.105175E-01,0.107966E-01,0.287354E-02,0.265814E-02,0.840722E-03,0.199547E-03,0.217091E-02,0.652945E-02,0.101038E-02,0.407672E-02,0.107966E-01,0.497179E-02,0.308435E-02,0.153285E-02,0.314816E-03,0.386363E-02,0.322034E-02,0.154074E-03,0.233490E-02,0.361340E-02,0.356418E-02,0.977534E-03,0.000000E+00,0.172716E-02,0.105175E-01,0.289164E-02,0.698157E-02,0.000000E+00,0.242806E-02,0.214353E-02,0.132093E-02,0.266366E-02,0.188229E-02,0.321563E-03,0.776120E-02,0.169198E-02,0.925998E-03,0.415708E-02,0.000000E+00,0.167401E-02,0.443752E-02,0.136921E-02,0.682601E-03,0.440678E-03,0.837446E-02,0.188413E-02,0.181086E-02,0.528199E-02,0.106944E-02,0.268407E-02,0.850141E-03,0.282792E-02,0.234457E-02,
0.147471E-02,0.000000E+00,0.000000E+00,0.906197E-04,0.308058E-03,0.412960E-03,0.440348E-03,0.357068E-02,0.372882E-02,0.410340E-02,0.419863E-02,0.436634E-02,0.552270E-02,0.147471E-02,0.348605E-02,0.535473E-03,0.419863E-02,0.331377E-02,0.216125E-02,0.297547E-02,0.200579E-02,0.253839E-02,0.233818E-02,0.257735E-02,0.372882E-02,0.319185E-02,0.171779E-02,0.176336E-02,0.440348E-03,0.137686E-02,0.308058E-03,0.787918E-03,0.228728E-02,0.131473E-02,0.410340E-02,0.329215E-02,0.146036E-02,0.593873E-03,0.552270E-02,0.000000E+00,0.214403E-02,0.163715E-02,0.176792E-02,0.240421E-02,0.188187E-02,0.728994E-03,0.150958E-02,0.326398E-02,0.289812E-02,0.123893E-02,0.214014E-02,0.142269E-02,0.237850E-02,0.412960E-03,0.357068E-02,0.198612E-02,0.235049E-02,0.183959E-02,0.906197E-04,0.914722E-03,0.000000E+00,0.291453E-02,0.300075E-02,0.436634E-02,

