Mapping of bootstrap factors to base factors

,Composting (MeOH),Gasoline vapor-summer blend,Biogenic,Gasoline vapor-winter blend,Secondary VOC,University + K12 institutes,Mixing solvents,VCP (siloxane),VCP (Ethanol),Unmapped
Boot Factor 1,49,0,0,0,0,1,0,0,0,0
Boot Factor 2,0,40,3,0,0,0,5,2,0,0
Boot Factor 3,0,0,40,0,1,2,7,0,0,0
Boot Factor 4,0,0,2,36,2,3,3,2,1,1
Boot Factor 5,0,0,0,0,46,2,1,0,0,1
Boot Factor 6,0,1,0,0,1,47,1,0,0,0
Boot Factor 7,0,0,0,0,0,0,49,0,0,1
Boot Factor 8,0,4,2,0,2,4,6,30,0,2
Boot Factor 9,0,0,0,0,0,0,0,0,50,0


Bootstrapping and Pulling Results.  Includes adjustment for measurement errors.
There is a block of rows for each species.
Columns are:  Original Factor, m Smallest Bootstraps, m Largest Bootstraps, Each Bootstrap

0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.521879E-03,0.589216E-03,0.594507E-03,0.748306E-03,0.987269E-03,0.150869E-02,0.000000E+00,0.594507E-03,0.168328E-03,0.409780E-03,0.141610E-05,0.000000E+00,0.748306E-03,0.000000E+00,0.272360E-03,0.000000E+00,0.000000E+00,0.589216E-03,0.466502E-03,0.363962E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.150869E-02,0.180073E-03,0.520718E-04,0.000000E+00,0.486334E-04,0.000000E+00,0.472502E-04,0.000000E+00,0.521879E-03,0.000000E+00,0.273466E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.987269E-03,0.000000E+00,0.000000E+00,0.216458E-03,0.000000E+00,0.000000E+00,0.908955E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.567945E-04,0.000000E+00,0.215946E-03,0.955001E-04,0.000000E+00,

0.859382E-03,0.000000E+00,0.225833E-03,0.257795E-03,0.268938E-03,0.314249E-03,0.355671E-03,0.116608E-02,0.116851E-02,0.117965E-02,0.142523E-02,0.146617E-02,0.167369E-02,0.859382E-03,0.835012E-03,0.576929E-03,0.746264E-03,0.355671E-03,0.837003E-03,0.111144E-02,0.257795E-03,0.117965E-02,0.848646E-03,0.979527E-03,0.167369E-02,0.000000E+00,0.533096E-03,0.116608E-02,0.546014E-03,0.813541E-03,0.550039E-03,0.885413E-03,0.225833E-03,0.513779E-03,0.404731E-03,0.146617E-02,0.744349E-03,0.971459E-03,0.842584E-03,0.116851E-02,0.535555E-03,0.707800E-03,0.832480E-03,0.390172E-03,0.663457E-03,0.314249E-03,0.804785E-03,0.568443E-03,0.680313E-03,0.639017E-03,0.713765E-03,0.939561E-03,0.974420E-03,0.360346E-03,0.772611E-03,0.142523E-02,0.456936E-03,0.611043E-03,0.966042E-03,0.791976E-03,0.773368E-03,0.268938E-03,0.682187E-03,0.564133E-03,
0.378191E-02,0.000000E+00,0.000000E+00,0.398637E-03,0.585823E-03,0.995949E-03,0.116579E-02,0.546250E-02,0.570513E-02,0.707853E-02,0.744752E-02,0.772266E-02,0.782414E-02,0.378191E-02,0.409251E-02,0.995949E-03,0.236204E-02,0.181954E-02,0.000000E+00,0.308820E-02,0.744752E-02,0.237636E-02,0.165931E-02,0.207525E-02,0.116579E-02,0.333552E-02,0.707853E-02,0.180552E-02,0.585823E-03,0.128114E-02,0.287688E-02,0.305658E-02,0.782414E-02,0.772266E-02,0.216183E-02,0.280081E-02,0.359304E-02,0.305671E-02,0.257020E-02,0.199315E-02,0.129482E-02,0.570513E-02,0.441906E-02,0.257590E-02,0.456060E-02,0.171223E-02,0.157664E-02,0.398637E-03,0.546250E-02,0.208163E-02,0.404285E-02,0.171861E-02,0.208130E-02,0.000000E+00,0.219203E-02,0.528378E-02,0.222811E-02,0.293726E-02,0.206071E-02,0.335828E-02,0.293909E-02,0.190432E-02,0.259345E-02,0.454700E-02,
0.143755E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.219531E-04,0.407157E-04,0.669435E-04,0.116360E-02,0.117577E-02,0.132459E-02,0.138062E-02,0.171810E-02,0.172457E-02,0.143755E-03,0.669435E-04,0.116360E-02,0.826711E-03,0.000000E+00,0.276497E-03,0.753098E-03,0.115876E-02,0.542967E-03,0.561620E-03,0.102388E-02,0.515300E-03,0.490219E-03,0.280104E-03,0.371960E-03,0.407157E-04,0.219531E-04,0.119618E-03,0.755317E-03,0.171810E-02,0.303926E-03,0.151782E-03,0.114154E-03,0.132459E-02,0.435603E-03,0.117577E-02,0.223556E-03,0.489453E-03,0.730824E-03,0.909022E-03,0.209989E-03,0.287421E-03,0.326238E-03,0.296480E-03,0.461107E-03,0.683875E-03,0.138062E-02,0.439777E-03,0.365243E-03,0.540216E-03,0.986718E-04,0.172457E-02,0.100557E-02,0.231064E-03,0.000000E+00,0.118402E-03,0.365795E-03,0.520491E-03,0.000000E+00,0.692703E-03,0.447415E-03,
0.130188E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.209748E-04,0.113978E-03,0.229892E-02,0.269675E-02,0.362185E-02,0.556946E-02,0.574315E-02,0.581613E-02,0.130188E-02,0.733563E-03,0.103552E-02,0.112768E-02,0.581613E-02,0.223118E-02,0.121608E-02,0.196111E-02,0.567222E-03,0.756139E-03,0.791747E-03,0.104973E-02,0.209748E-04,0.966331E-03,0.362185E-02,0.581620E-03,0.113978E-03,0.269675E-02,0.830159E-03,0.000000E+00,0.816455E-03,0.817467E-03,0.961381E-03,0.214478E-03,0.846367E-03,0.149057E-02,0.151497E-02,0.423044E-03,0.101304E-02,0.297627E-03,0.146881E-02,0.422694E-03,0.413669E-03,0.646202E-03,0.000000E+00,0.000000E+00,0.477857E-03,0.158593E-02,0.972210E-03,0.146893E-02,0.000000E+00,0.205515E-03,0.586898E-03,0.358350E-03,0.556946E-02,0.229379E-02,0.574315E-02,0.174255E-02,0.706112E-03,0.637279E-03,0.229892E-02,
0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.188184E-03,0.236983E-03,0.268440E-03,0.346333E-03,0.519671E-03,0.583559E-02,0.000000E+00,0.122834E-03,0.114484E-03,0.132366E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.652619E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.310706E-04,0.000000E+00,0.126435E-03,0.975224E-04,0.164214E-03,0.188184E-03,0.000000E+00,0.000000E+00,0.928939E-04,0.245322E-04,0.386207E-04,0.000000E+00,0.268440E-03,0.159626E-04,0.493564E-05,0.112004E-03,0.000000E+00,0.000000E+00,0.346333E-03,0.123823E-04,0.820491E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.506315E-05,0.134214E-03,0.583559E-02,0.745815E-05,0.130637E-04,0.174981E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.519671E-03,0.236983E-03,0.176473E-03,0.902666E-05,0.000000E+00,0.000000E+00,0.888382E-04,
0.559835E-03,0.163173E-04,0.454599E-04,0.965908E-04,0.130171E-03,0.174809E-03,0.198416E-03,0.111080E-02,0.112530E-02,0.114520E-02,0.145567E-02,0.349426E-02,0.425488E-02,0.559835E-03,0.219501E-03,0.700256E-03,0.893517E-03,0.425488E-02,0.896825E-03,0.174809E-03,0.634896E-03,0.419483E-03,0.677464E-03,0.145567E-02,0.324369E-03,0.454599E-04,0.265982E-03,0.855468E-03,0.750258E-03,0.349426E-02,0.841622E-03,0.591732E-03,0.111080E-02,0.333111E-03,0.477332E-03,0.570473E-03,0.794914E-03,0.246688E-03,0.499037E-03,0.480141E-03,0.326216E-03,0.340673E-03,0.490812E-03,0.382017E-03,0.456776E-03,0.443744E-03,0.112530E-02,0.760058E-03,0.103786E-02,0.282534E-03,0.163173E-04,0.965908E-04,0.130171E-03,0.999907E-03,0.114520E-02,0.889862E-03,0.101732E-02,0.301078E-03,0.366868E-03,0.104441E-02,0.198416E-03,0.652149E-03,0.764803E-03,0.340326E-03,
0.464285E-02,0.448402E-03,0.542705E-03,0.768428E-03,0.903451E-03,0.111712E-02,0.136462E-02,0.752128E-02,0.798217E-02,0.818825E-02,0.874226E-02,0.931066E-02,0.937064E-02,0.464285E-02,0.298763E-02,0.752128E-02,0.465812E-02,0.184090E-02,0.700480E-02,0.522049E-02,0.147695E-02,0.199770E-02,0.542705E-03,0.309368E-02,0.743626E-02,0.362711E-02,0.143979E-02,0.379541E-02,0.798217E-02,0.645819E-02,0.429797E-02,0.346352E-02,0.261145E-02,0.111712E-02,0.621876E-02,0.418408E-02,0.244530E-02,0.768428E-03,0.644190E-02,0.818825E-02,0.608518E-02,0.310105E-02,0.314412E-02,0.492769E-02,0.273236E-02,0.547309E-02,0.690943E-02,0.582725E-02,0.334596E-02,0.607974E-02,0.448402E-03,0.523132E-02,0.937064E-02,0.931066E-02,0.420097E-02,0.271198E-02,0.435677E-02,0.136462E-02,0.294283E-02,0.903451E-03,0.544307E-02,0.874226E-02,0.273530E-02,0.348039E-02,
0.880123E-03,0.135101E-03,0.149788E-03,0.239992E-03,0.375847E-03,0.452233E-03,0.525938E-03,0.430930E-02,0.433527E-02,0.501073E-02,0.822332E-02,0.824422E-02,0.848464E-02,0.880123E-03,0.396475E-02,0.841501E-03,0.215842E-02,0.230175E-02,0.135101E-03,0.614720E-03,0.239992E-03,0.822332E-02,0.501073E-02,0.326178E-02,0.765182E-03,0.848464E-02,0.654320E-03,0.141059E-02,0.190597E-02,0.133201E-02,0.982052E-03,0.283349E-02,0.760115E-03,0.525938E-03,0.326574E-02,0.219632E-02,0.306828E-02,0.824422E-02,0.375847E-03,0.149788E-03,0.239153E-02,0.743894E-03,0.351112E-02,0.292738E-02,0.126825E-02,0.430930E-02,0.951392E-03,0.433527E-02,0.185390E-02,0.146583E-02,0.290920E-02,0.297451E-02,0.452233E-03,0.624303E-03,0.320917E-02,0.617605E-03,0.334440E-02,0.181222E-02,0.316248E-02,0.765399E-03,0.530264E-03,0.115749E-02,0.292773E-02,0.576016E-03,
0.723946E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.126601E-02,0.145792E-02,0.177709E-02,0.188592E-02,0.227114E-02,0.263731E-02,0.723946E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.267885E-03,0.126601E-02,0.000000E+00,0.161509E-03,0.000000E+00,0.165698E-03,0.725337E-03,0.432273E-03,0.314715E-03,0.188592E-02,0.342891E-03,0.992641E-04,0.702629E-03,0.941280E-03,0.956988E-04,0.000000E+00,0.145792E-02,0.000000E+00,0.640567E-03,0.956607E-03,0.917160E-03,0.354850E-03,0.269424E-03,0.942733E-03,0.831177E-03,0.690467E-03,0.323445E-03,0.227114E-02,0.000000E+00,0.795861E-03,0.000000E+00,0.826637E-04,0.000000E+00,0.000000E+00,0.269723E-03,0.000000E+00,0.263731E-02,0.000000E+00,0.000000E+00,0.125409E-02,0.105193E-02,0.728645E-03,0.000000E+00,0.296856E-03,0.000000E+00,0.177709E-02,0.504768E-03,

0.209719E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.233241E-03,0.110221E-01,0.112467E-01,0.112780E-01,0.199633E-01,0.217883E-01,0.632986E-01,0.209719E-02,0.632986E-01,0.722833E-02,0.680149E-02,0.219901E-02,0.490799E-02,0.586835E-02,0.652764E-03,0.177275E-02,0.112467E-01,0.265090E-02,0.199633E-01,0.924435E-02,0.735752E-03,0.289715E-03,0.651111E-02,0.809611E-02,0.000000E+00,0.576196E-02,0.110221E-01,0.233241E-03,0.238842E-02,0.906352E-02,0.669205E-02,0.000000E+00,0.355691E-02,0.635407E-02,0.196740E-02,0.213446E-02,0.240951E-02,0.661044E-02,0.000000E+00,0.664837E-03,0.845597E-02,0.429624E-02,0.151547E-02,0.323735E-02,0.579486E-02,0.000000E+00,0.667113E-02,0.257337E-02,0.641041E-02,0.217883E-01,0.635892E-02,0.572856E-02,0.785691E-02,0.778681E-02,0.000000E+00,0.379473E-02,0.112780E-01,0.895128E-02,
0.901523E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.103524E+00,0.106818E+00,0.108066E+00,0.108228E+00,0.133074E+00,0.153077E+00,0.901523E-02,0.720318E-01,0.292843E-01,0.113559E-01,0.478570E-02,0.520577E-01,0.210596E-01,0.959743E-01,0.624924E-01,0.203172E-02,0.772780E-02,0.152892E-01,0.883138E-01,0.108066E+00,0.866342E-02,0.153077E+00,0.185312E-01,0.422784E-02,0.142089E-01,0.707190E-01,0.108228E+00,0.000000E+00,0.282115E-01,0.408132E-01,0.866288E-02,0.000000E+00,0.962652E-02,0.780824E-02,0.000000E+00,0.103524E+00,0.366075E-02,0.000000E+00,0.105337E-01,0.000000E+00,0.433014E-03,0.133074E+00,0.932929E-01,0.106818E+00,0.147962E-01,0.176418E-01,0.647140E-01,0.257707E-02,0.259472E-01,0.000000E+00,0.715939E-02,0.114367E-01,0.182004E-01,0.150761E-01,0.694143E-02,0.122727E-01,0.243408E-01,
0.436857E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.749966E-03,0.118376E-02,0.213589E-02,0.390845E-01,0.409503E-01,0.430966E-01,0.500337E-01,0.541890E-01,0.816393E-01,0.436857E-02,0.216192E-02,0.000000E+00,0.107988E-01,0.159006E-01,0.910238E-02,0.148930E-01,0.420264E-02,0.000000E+00,0.435102E-02,0.331261E-01,0.168004E-01,0.221742E-01,0.647531E-02,0.167451E-01,0.749966E-03,0.603463E-02,0.336825E-02,0.150344E-01,0.370805E-01,0.541890E-01,0.598147E-02,0.103525E-01,0.218393E-01,0.212746E-01,0.328182E-01,0.213589E-02,0.316718E-01,0.816393E-01,0.390845E-01,0.500337E-01,0.672598E-02,0.123642E-01,0.430966E-01,0.294204E-01,0.968305E-02,0.409503E-01,0.153460E-01,0.583794E-02,0.118376E-02,0.236016E-01,0.138673E-01,0.389455E-01,0.160526E-01,0.163773E-01,0.149069E-01,0.985921E-02,0.000000E+00,0.165821E-01,0.249568E-02,0.558975E-02,
0.170332E+00,0.000000E+00,0.000000E+00,0.110083E-02,0.332971E-02,0.757525E-02,0.122630E-01,0.171067E+00,0.174571E+00,0.181890E+00,0.183097E+00,0.183348E+00,0.191973E+00,0.170332E+00,0.940595E-01,0.140443E+00,0.000000E+00,0.139930E+00,0.135398E+00,0.156405E+00,0.121381E+00,0.124282E+00,0.152064E+00,0.136452E-01,0.174571E+00,0.110083E-02,0.132655E+00,0.181890E+00,0.122630E-01,0.808188E-01,0.158626E+00,0.162184E+00,0.155559E+00,0.145231E+00,0.110177E+00,0.183097E+00,0.332971E-02,0.100775E+00,0.157506E+00,0.112163E+00,0.821912E-01,0.155485E+00,0.757525E-02,0.183348E+00,0.131028E+00,0.479065E-01,0.747250E-01,0.123979E+00,0.436367E-01,0.150362E-01,0.150154E-01,0.126696E+00,0.171067E+00,0.964264E-01,0.000000E+00,0.984815E-01,0.907553E-01,0.191973E+00,0.141289E+00,0.119588E+00,0.142915E+00,0.106276E+00,0.372528E-01,0.156118E+00,
0.448373E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.101054E-01,0.140333E-01,0.141101E-01,0.893309E-01,0.907773E-01,0.966939E-01,0.974551E-01,0.979303E-01,0.133188E+00,0.448373E-01,0.240086E-01,0.966939E-01,0.400009E-01,0.613447E-01,0.141101E-01,0.345278E-01,0.781547E-01,0.495507E-01,0.217999E-01,0.344574E-01,0.557882E-01,0.734692E-01,0.506850E-01,0.101054E-01,0.695334E-01,0.624886E-01,0.708851E-01,0.418303E-01,0.688784E-01,0.270136E-01,0.290360E-01,0.567691E-01,0.140333E-01,0.534124E-01,0.272296E-01,0.825821E-01,0.000000E+00,0.169745E-01,0.133188E+00,0.371746E-01,0.615673E-01,0.979303E-01,0.764483E-01,0.907773E-01,0.518841E-01,0.974551E-01,0.893309E-01,0.527991E-01,0.493246E-01,0.307337E-01,0.644438E-01,0.000000E+00,0.325511E-01,0.000000E+00,0.865905E-01,0.745098E-01,0.723044E-01,0.412604E-01,0.199055E-01,0.693275E-01,
0.594921E-01,0.000000E+00,0.259080E-02,0.123304E-01,0.201013E-01,0.304456E-01,0.337275E-01,0.113087E+00,0.113449E+00,0.114765E+00,0.117873E+00,0.139067E+00,0.141976E+00,0.594921E-01,0.548953E-01,0.388515E-01,0.117873E+00,0.113449E+00,0.609805E-01,0.360253E-01,0.770147E-01,0.463719E-01,0.593389E-01,0.112795E+00,0.439548E-01,0.678620E-01,0.424268E-01,0.114765E+00,0.696774E-01,0.000000E+00,0.626614E-01,0.514927E-01,0.777230E-01,0.304456E-01,0.104982E+00,0.472246E-01,0.113087E+00,0.608660E-01,0.366493E-01,0.465530E-01,0.259080E-02,0.434952E-01,0.863457E-01,0.123304E-01,0.377512E-01,0.495254E-01,0.820073E-01,0.632329E-01,0.886429E-01,0.920801E-01,0.110022E+00,0.337275E-01,0.398309E-01,0.593965E-01,0.111178E+00,0.112828E+00,0.105867E+00,0.139067E+00,0.405349E-01,0.677408E-01,0.201013E-01,0.593550E-01,0.141976E+00,0.445473E-01,
0.520409E-01,0.000000E+00,0.472804E-02,0.940510E-02,0.113228E-01,0.133711E-01,0.137559E-01,0.102046E+00,0.103397E+00,0.118985E+00,0.125675E+00,0.133874E+00,0.165920E+00,0.520409E-01,0.341466E-01,0.000000E+00,0.125675E+00,0.409656E-01,0.245810E-01,0.735809E-01,0.138910E-01,0.396220E-01,0.165920E+00,0.696903E-01,0.366871E-01,0.495911E-01,0.133711E-01,0.239944E-01,0.699083E-01,0.118985E+00,0.137559E-01,0.474489E-01,0.940510E-02,0.141251E-01,0.103397E+00,0.113228E-01,0.571963E-01,0.605375E-01,0.609003E-01,0.533811E-01,0.297901E-01,0.583022E-01,0.587446E-01,0.972016E-01,0.472804E-02,0.985286E-01,0.510143E-01,0.209574E-01,0.544261E-01,0.906594E-01,0.489672E-01,0.973050E-01,0.488027E-01,0.102046E+00,0.989785E-01,0.501827E-01,0.133874E+00,0.253961E-01,0.410212E-01,0.197324E-01,0.601961E-01,0.625449E-01,0.768958E-01,0.542244E-01,
0.589371E-01,0.000000E+00,0.471202E-02,0.712963E-02,0.146060E-01,0.213946E-01,0.270058E-01,0.119899E+00,0.124165E+00,0.134746E+00,0.137527E+00,0.143973E+00,0.145540E+00,0.589371E-01,0.721223E-01,0.100968E+00,0.613539E-01,0.715770E-01,0.999581E-01,0.833745E-01,0.213946E-01,0.807185E-01,0.516494E-01,0.985721E-01,0.411725E-01,0.143973E+00,0.134746E+00,0.614612E-01,0.270058E-01,0.595170E-01,0.987095E-01,0.546713E-01,0.000000E+00,0.119899E+00,0.538299E-01,0.607661E-01,0.109511E+00,0.137527E+00,0.104624E+00,0.752746E-01,0.124165E+00,0.611224E-01,0.146060E-01,0.312399E-01,0.145540E+00,0.893990E-01,0.860261E-01,0.720060E-01,0.712963E-02,0.471202E-02,0.518226E-01,0.717263E-01,0.588602E-01,0.669177E-01,0.858686E-01,0.582374E-01,0.673826E-01,0.608506E-01,0.491856E-01,0.721002E-01,0.940326E-01,0.905437E-01,0.944656E-01,0.329652E-01,
0.863835E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.261292E-01,0.276700E-01,0.276755E-01,0.365534E-01,0.467546E-01,0.548640E-01,0.863835E-02,0.117195E-01,0.261292E-01,0.276700E-01,0.294050E-02,0.180832E-01,0.860610E-02,0.156134E-01,0.129776E-01,0.249171E-01,0.212570E-01,0.124771E-01,0.186206E-01,0.000000E+00,0.158306E-01,0.000000E+00,0.371021E-02,0.132195E-01,0.000000E+00,0.125703E-01,0.000000E+00,0.233208E-01,0.203175E-01,0.168505E-01,0.223067E-01,0.406913E-02,0.467546E-01,0.276755E-01,0.746549E-02,0.109927E-01,0.102818E-02,0.365534E-01,0.903746E-02,0.170270E-01,0.101014E-01,0.143987E-01,0.857264E-02,0.861002E-02,0.817226E-02,0.548640E-01,0.000000E+00,0.200572E-01,0.000000E+00,0.000000E+00,0.820973E-02,0.139083E-01,0.217172E-01,0.000000E+00,0.120387E-01,0.664372E-02,0.147645E-01,

0.411103E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.119435E-01,0.121903E-01,0.150696E-01,0.186215E-01,0.202700E-01,0.210137E-01,0.411103E-02,0.000000E+00,0.118958E-01,0.000000E+00,0.000000E+00,0.351935E-02,0.117938E-01,0.211114E-03,0.150696E-01,0.122848E-02,0.000000E+00,0.186215E-01,0.869694E-02,0.830930E-02,0.203280E-02,0.102560E-01,0.749121E-02,0.210157E-03,0.300641E-02,0.574023E-02,0.517173E-02,0.439198E-02,0.104278E-01,0.836565E-02,0.409029E-02,0.000000E+00,0.000000E+00,0.609958E-02,0.351519E-02,0.202700E-01,0.527058E-02,0.000000E+00,0.000000E+00,0.790619E-02,0.000000E+00,0.138608E-02,0.361133E-02,0.119435E-01,0.000000E+00,0.121903E-01,0.285371E-02,0.964772E-02,0.210137E-01,0.448660E-02,0.000000E+00,0.000000E+00,0.387440E-03,0.000000E+00,0.255101E-02,0.531258E-02,0.766150E-02,
0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.964540E-01,0.994583E-01,0.101311E+00,0.118800E+00,0.119642E+00,0.192100E+00,0.000000E+00,0.341914E-01,0.296429E-01,0.102732E-02,0.000000E+00,0.905264E-01,0.640380E-02,0.118800E+00,0.352664E-01,0.000000E+00,0.120380E-02,0.000000E+00,0.505243E-01,0.356740E-01,0.000000E+00,0.192100E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.119642E+00,0.994583E-01,0.243295E-02,0.745646E-02,0.282134E-01,0.389811E-03,0.249943E-02,0.247047E-02,0.000000E+00,0.313583E-02,0.166429E-01,0.194083E-02,0.597985E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.964540E-01,0.931868E-01,0.528625E-01,0.000000E+00,0.265093E-02,0.101311E+00,0.416160E-03,0.199351E-02,0.212474E-02,0.000000E+00,0.208997E-02,0.892450E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.492605E-02,
0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.161056E-01,0.185952E-01,0.265907E-01,0.275949E-01,0.327426E-01,0.358331E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.905560E-02,0.000000E+00,0.488841E-02,0.000000E+00,0.000000E+00,0.502868E-02,0.000000E+00,0.897520E-02,0.000000E+00,0.000000E+00,0.104077E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.185952E-01,0.000000E+00,0.000000E+00,0.424235E-03,0.275949E-01,0.000000E+00,0.161056E-01,0.153240E-01,0.265907E-01,0.000000E+00,0.101395E-01,0.000000E+00,0.000000E+00,0.659707E-02,0.358331E-01,0.000000E+00,0.000000E+00,0.327426E-01,0.000000E+00,0.000000E+00,0.643926E-02,0.956464E-02,0.841563E-02,0.148242E-01,0.112611E-01,0.985664E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.438154E-02,0.000000E+00,0.401602E-03,
0.104677E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.101843E+00,0.104677E+00,0.117942E+00,0.119482E+00,0.137085E+00,0.160730E+00,0.104677E+00,0.600221E-01,0.117942E+00,0.000000E+00,0.620708E-01,0.255148E-01,0.822186E-01,0.197446E-01,0.969454E-01,0.667280E-01,0.423985E-02,0.858604E-01,0.000000E+00,0.815343E-01,0.160730E+00,0.000000E+00,0.119482E+00,0.389759E-01,0.609897E-01,0.295237E-01,0.795879E-01,0.473142E-01,0.998504E-01,0.000000E+00,0.685568E-01,0.775838E-01,0.591001E-01,0.968680E-02,0.980752E-01,0.671748E-02,0.998041E-01,0.305030E-01,0.228707E-01,0.977693E-01,0.739219E-01,0.183915E-01,0.174332E-02,0.000000E+00,0.390152E-01,0.783937E-01,0.723183E-01,0.262930E-03,0.101843E+00,0.000000E+00,0.137085E+00,0.557404E-01,0.801132E-01,0.264132E-01,0.222433E-01,0.181171E-01,0.846779E-01,
0.149817E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.307127E-01,0.426469E-01,0.507315E-01,0.539540E-01,0.723738E-01,0.937175E-01,0.149817E-02,0.858208E-02,0.000000E+00,0.229375E-01,0.182149E-01,0.000000E+00,0.797088E-02,0.297196E-01,0.000000E+00,0.115534E-01,0.303878E-01,0.588224E-02,0.723738E-01,0.239357E-02,0.568555E-02,0.115918E-01,0.610837E-02,0.160499E-01,0.945431E-02,0.307127E-01,0.976829E-02,0.225094E-01,0.350749E-02,0.431422E-02,0.184256E-01,0.193957E-01,0.507315E-01,0.000000E+00,0.214458E-02,0.539540E-01,0.452775E-02,0.267949E-01,0.303019E-01,0.170322E-01,0.937175E-01,0.426469E-01,0.273408E-01,0.000000E+00,0.167120E-01,0.104844E-01,0.976011E-02,0.224244E-01,0.167770E-02,0.304438E-01,0.000000E+00,0.287561E-01,0.239244E-01,0.178067E-01,0.261265E-01,0.130484E-01,0.157016E-01,
0.108872E-01,0.000000E+00,0.000000E+00,0.238436E-02,0.262911E-02,0.462591E-02,0.563893E-02,0.386744E-01,0.390793E-01,0.440013E-01,0.573729E-01,0.645072E-01,0.910679E-01,0.108872E-01,0.220781E-01,0.462591E-02,0.373031E-01,0.910679E-01,0.155543E-01,0.177825E-01,0.213919E-01,0.262911E-02,0.237893E-01,0.311809E-01,0.207647E-01,0.000000E+00,0.312322E-01,0.573729E-01,0.248631E-01,0.166555E-01,0.218202E-01,0.265357E-01,0.242070E-01,0.173308E-01,0.238436E-02,0.563893E-02,0.380825E-01,0.168630E-01,0.204797E-01,0.115468E-01,0.287359E-01,0.154033E-01,0.390793E-01,0.858465E-02,0.779993E-02,0.106985E-01,0.181543E-01,0.000000E+00,0.206612E-01,0.386744E-01,0.440013E-01,0.192932E-01,0.209267E-01,0.267249E-01,0.287501E-01,0.324840E-01,0.279620E-01,0.259496E-01,0.108970E-01,0.200772E-01,0.160375E-01,0.103075E-01,0.645072E-01,0.115011E-01,
0.430179E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.112904E+00,0.114532E+00,0.121767E+00,0.123411E+00,0.127923E+00,0.131234E+00,0.430179E-01,0.232580E-01,0.000000E+00,0.825741E-01,0.258539E-01,0.344035E-02,0.731923E-01,0.189620E-01,0.564859E-01,0.888908E-02,0.281434E-01,0.100665E+00,0.220076E-01,0.546555E-01,0.000000E+00,0.000000E+00,0.675706E-01,0.000000E+00,0.000000E+00,0.593830E-02,0.264340E-01,0.123411E+00,0.337345E-07,0.481508E-01,0.102167E+00,0.114532E+00,0.112904E+00,0.429221E-01,0.460042E-01,0.927628E-01,0.127923E+00,0.135447E-01,0.265079E-01,0.000000E+00,0.000000E+00,0.412137E-01,0.508275E-01,0.620769E-01,0.121767E+00,0.131234E+00,0.000000E+00,0.811396E-01,0.236183E-01,0.918116E-01,0.397545E-01,0.174165E-01,0.219710E-01,0.554493E-01,0.791877E-01,0.401167E-01,0.771024E-01,
