**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 11

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00823,  0.00823,  0.01091,  0.01371,  0.01542,  0.02096,  0.01346,  0.00306,  0.22736,  0.37207
Chloroform,  0.00092,  0.00034,  0.00070,  0.00099,  0.00104,  0.00185,  0.00096,  0.00035,  0.36803,  0.38658
Trichlorofluoromethane,  0.00135,  0.00000,  0.00000,  0.00013,  0.00203,  0.00889,  0.00150,  0.00266,  1.77661,  1.96811
Dichlorodifluoromethane,  0.01791,  0.00217,  0.04205,  0.05495,  0.05610,  0.05634,  0.04582,  0.01812,  0.39553,  1.01210
Carbon Tetrachloride,  0.00373,  0.00000,  0.00262,  0.00265,  0.00312,  0.00395,  0.00276,  0.00083,  0.30135,  0.22274
1_1_2-Trichlorotrifluoroethane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00028,  0.00000,  0.00093,  0.00132,  0.00167,  0.00285,  0.00125,  0.00066,  0.52604,  2.34158
Tetrachloroethene,  0.00111,  0.00082,  0.00108,  0.00127,  0.00128,  0.00139,  0.00119,  0.00016,  0.13709,  0.14653
1_2-Dichlorobenzene,  0.00000,  0.00000,  0.00001,  0.00008,  0.00010,  0.00034,  0.00009,  0.00010,  1.15069,  0.00000
1_4-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00056,  0.00003,  0.00013,  4.47214,  0.00000
PCBTF,  0.00408,  0.00295,  0.00351,  0.00408,  0.00412,  0.00460,  0.00388,  0.00043,  0.11030,  0.10495
N-Butane,  0.00063,  0.00063,  0.01105,  0.01276,  0.03154,  0.11431,  0.02217,  0.02409,  1.08628, 38.47414
Isobutane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.02558,  0.00165,  0.00587,  3.56250,  0.00000
N-Pentane,  0.00140,  0.00000,  0.00000,  0.00123,  0.00830,  0.06341,  0.00605,  0.01403,  2.31947, 10.04173
Isopentane,  0.01805,  0.00000,  0.00000,  0.00000,  0.01505,  0.03102,  0.00671,  0.01137,  1.69394,  0.63000
2-Methyl pentane,  0.00793,  0.00793,  0.01189,  0.02237,  0.03062,  0.03441,  0.02127,  0.00967,  0.45463,  1.21969
Butene,  0.00610,  0.00527,  0.01028,  0.01095,  0.01521,  0.04513,  0.01313,  0.00805,  0.61300,  1.32006
Propylene,  0.03111,  0.00000,  0.00000,  0.02439,  0.03507,  0.08133,  0.02265,  0.02369,  1.04591,  0.76157
cis-2-Pentene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00143,  0.00007,  0.00032,  4.47214,  0.00000
Isoprene,  0.01065,  0.00640,  0.02060,  0.02145,  0.02809,  0.05838,  0.02489,  0.01138,  0.45720,  1.06794
alpha-Pinene,  0.00586,  0.00162,  0.00526,  0.00604,  0.00957,  0.01612,  0.00714,  0.00336,  0.47002,  0.57278
MVK,  0.00000,  0.00000,  0.00000,  0.00000,  0.00717,  0.02321,  0.00387,  0.00679,  1.75656,  0.00000
Benzene,  0.02287,  0.00691,  0.00940,  0.01377,  0.02177,  0.05296,  0.01646,  0.01024,  0.62227,  0.44765
Toluene,  0.11663,  0.07554,  0.10636,  0.11978,  0.12360,  0.12597,  0.11382,  0.01353,  0.11889,  0.11602
Ethylbenzene,  0.01968,  0.01155,  0.01745,  0.01986,  0.02001,  0.02060,  0.01865,  0.00231,  0.12383,  0.11737
Propylbenzene,  0.00396,  0.00216,  0.00343,  0.00398,  0.00403,  0.00404,  0.00372,  0.00050,  0.13362,  0.12535
m_p-Xylene,  0.02846,  0.01511,  0.02427,  0.02518,  0.02675,  0.03093,  0.02516,  0.00338,  0.13444,  0.11888
o-Xylene,  0.02169,  0.01042,  0.01852,  0.02053,  0.02114,  0.02208,  0.01959,  0.00272,  0.13870,  0.12529
p-Isopropyl Toluene,  0.00077,  0.00000,  0.00093,  0.00154,  0.00267,  0.00282,  0.00166,  0.00099,  0.59353,  1.27885
Naphthalene,  0.00639,  0.00000,  0.00490,  0.00518,  0.00543,  0.00857,  0.00529,  0.00175,  0.33065,  0.27394
Methanol,  0.16296,  0.12379,  1.14410,  1.67900,  1.79120,  1.86990,  1.40419,  0.56289,  0.40087,  3.45416
Ethanol,  0.10309,  0.00000,  0.00000,  0.00000,  0.06610,  0.22774,  0.03860,  0.07295,  1.88994,  0.70768
Phenol,  0.00000,  0.00000,  0.00830,  0.02625,  0.02902,  0.02984,  0.02059,  0.01159,  0.56268,  0.00000
Methyl acetate,  0.01980,  0.00144,  0.00847,  0.01477,  0.01787,  0.02551,  0.01437,  0.00659,  0.45869,  0.33302
n-Butyl acetate,  0.05009,  0.04409,  0.05292,  0.05836,  0.06768,  0.06852,  0.05944,  0.00785,  0.13206,  0.15670
D5-Siloxane,  0.00302,  0.00000,  0.00085,  0.00104,  0.00629,  0.01825,  0.00376,  0.00479,  1.27630,  1.58875

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00897,  0.00681,  0.00707,  0.00753,  0.00889,  0.01114,  0.00813,  0.00144,  0.17778,  0.16104
Chloroform,  0.00105,  0.00058,  0.00106,  0.00110,  0.00149,  0.00182,  0.00122,  0.00036,  0.29206,  0.33906
Trichlorofluoromethane,  0.01161,  0.00000,  0.01177,  0.01887,  0.02052,  0.02629,  0.01618,  0.00734,  0.45382,  0.63266
Dichlorodifluoromethane,  0.07769,  0.00000,  0.00000,  0.00000,  0.03859,  0.07769,  0.01798,  0.02704,  1.50370,  0.34808
Carbon Tetrachloride,  0.00249,  0.00000,  0.00087,  0.00095,  0.00206,  0.00445,  0.00144,  0.00104,  0.72477,  0.41985
1_1_2-Trichlorotrifluoroethane,  0.00278,  0.00000,  0.00001,  0.00012,  0.00129,  0.00793,  0.00098,  0.00183,  1.86295,  0.66040
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00311,  0.00132,  0.00139,  0.00143,  0.00222,  0.00311,  0.00180,  0.00060,  0.33353,  0.19249
Tetrachloroethene,  0.00006,  0.00000,  0.00000,  0.00000,  0.00009,  0.00049,  0.00006,  0.00012,  2.08741,  1.91418
1_2-Dichlorobenzene,  0.00013,  0.00000,  0.00000,  0.00000,  0.00000,  0.00457,  0.00024,  0.00102,  4.34211,  7.75286
1_4-Dichlorobenzene,  0.00000,  0.00000,  0.00002,  0.00019,  0.00020,  0.00067,  0.00017,  0.00015,  0.88823,  0.00000
PCBTF,  0.00044,  0.00038,  0.00055,  0.00060,  0.00062,  0.00084,  0.00061,  0.00012,  0.19819,  0.27789
N-Butane,  0.14859,  0.06403,  0.14026,  0.14518,  0.14782,  0.15901,  0.14101,  0.01933,  0.13710,  0.13011
Isobutane,  0.09929,  0.00556,  0.01598,  0.01810,  0.06810,  0.09929,  0.03567,  0.03373,  0.94551,  0.33970
N-Pentane,  0.06351,  0.00000,  0.06402,  0.06553,  0.06622,  0.07466,  0.06314,  0.01523,  0.24124,  0.23983
Isopentane,  0.04171,  0.02266,  0.05520,  0.07006,  0.07539,  0.08235,  0.06490,  0.01516,  0.23357,  0.36349
2-Methyl pentane,  0.01854,  0.00000,  0.00248,  0.00413,  0.00617,  0.03886,  0.00870,  0.01152,  1.32526,  0.62168
Butene,  0.05418,  0.01976,  0.05219,  0.05269,  0.05423,  0.06094,  0.05220,  0.00814,  0.15598,  0.15029
Propylene,  0.14235,  0.04645,  0.10645,  0.12558,  0.13980,  0.14235,  0.12025,  0.02437,  0.20261,  0.17116
cis-2-Pentene,  0.00252,  0.00000,  0.00201,  0.00204,  0.00251,  0.00349,  0.00216,  0.00070,  0.32246,  0.27618
Isoprene,  0.00526,  0.00526,  0.02152,  0.04556,  0.04733,  0.04772,  0.03585,  0.01666,  0.46484,  3.16938
alpha-Pinene,  0.00373,  0.00163,  0.00465,  0.00830,  0.00926,  0.01029,  0.00739,  0.00259,  0.35103,  0.69556
MVK,  0.00377,  0.00367,  0.01514,  0.02257,  0.02330,  0.02355,  0.01825,  0.00749,  0.41064,  1.99041
Benzene,  0.01118,  0.00000,  0.01270,  0.01354,  0.01949,  0.02561,  0.01541,  0.00578,  0.37480,  0.51672
Toluene,  0.00718,  0.00718,  0.01724,  0.01857,  0.02002,  0.02289,  0.01816,  0.00321,  0.17678,  0.44745
Ethylbenzene,  0.00121,  0.00121,  0.00259,  0.00287,  0.00304,  0.00368,  0.00283,  0.00050,  0.17750,  0.41748
Propylbenzene,  0.00027,  0.00027,  0.00053,  0.00059,  0.00061,  0.00089,  0.00059,  0.00012,  0.20568,  0.45325
m_p-Xylene,  0.00145,  0.00062,  0.00513,  0.00947,  0.01036,  0.01395,  0.00806,  0.00378,  0.46927,  2.61583
o-Xylene,  0.00030,  0.00018,  0.00272,  0.00318,  0.00354,  0.00478,  0.00286,  0.00122,  0.42655,  4.12516
p-Isopropyl Toluene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00010,  0.00065,  0.00011,  0.00023,  1.98552,  0.00000
Naphthalene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Methanol,  0.65891,  0.00000,  0.00000,  0.00322,  0.32628,  1.45940,  0.22360,  0.39534,  1.76808,  0.59999
Ethanol,  0.05386,  0.00000,  0.06973,  0.23052,  0.23956,  0.24176,  0.17037,  0.10003,  0.58711,  1.85729
Phenol,  0.00000,  0.00000,  0.00000,  0.00155,  0.00220,  0.05228,  0.00418,  0.01145,  2.73788,  0.00000
Methyl acetate,  0.00109,  0.00000,  0.00000,  0.00000,  0.00216,  0.01526,  0.00220,  0.00461,  2.09401,  4.22977
n-Butyl acetate,  0.00451,  0.00106,  0.00374,  0.00563,  0.01112,  0.01448,  0.00694,  0.00429,  0.61850,  0.95204
