
Residuals from Base Run #7 (Convergent Run)

Base_Run	Date_Time	Dichloromethane	Chloroform	Trichlorofluoromethane	Dichlorodifluoromethane	Carbon Tetrachloride	1_1_2-Trichlorotrifluoroethane	1_2-Dichloro-1_1_2_2-tetrafluoroethane	Tetrachloroethene	1_2-Dichlorobenzene	1_4-Dichlorobenzene	PCBTF	N-Butane	Isobutane	N-Pentane	Isopentane	2-Methyl pentane	Butene	Propylene	cis-2-Pentene	Isoprene	alpha-Pinene	MVK	Benzene	Toluene	Ethylbenzene	Propylbenzene	m_p-Xylene	o-Xylene	p-Isopropyl Toluene	Naphthalene	Methanol	Ethanol	Phenol	Formaldehyde	Acetaldehyde	Isovaleraldehyde	Hexaldehyde	m_p-Tolualdehyde	Phenylacetaldehyde	Cyclohexanone	Methyl acetate	n-Butyl acetate	D5-Siloxane	O3_form	NOx
7	07/20/21	2.198000E-002	-1.950000E-003	-5.868000E-002	-3.392000E-002	7.666000E-003	-8.468000E-003	5.108000E-003	-1.215000E-004	3.304000E-004	-1.525000E-004	-1.756000E-003	-6.331000E-002	6.269000E-002	5.426000E-003	-9.646000E-002	1.060000E-001	1.763000E-002	-1.202000E-001	6.778000E-004	1.993000E-002	8.302000E-003	1.309000E-002	4.470000E-001	1.820000E-002	5.636000E-003	1.624000E-003	4.848000E-003	5.565000E-003	-5.393000E-003	-2.428000E-003	2.170000E+001	5.042000E-001	4.770000E-002	5.192000E-001	2.876000E-001	1.612000E-002	6.263000E-002	2.194000E-004	4.116000E-002	-8.782000E-004	-8.558000E-002	1.087000E-001	-5.574000E-004	-1.010000E-001	-9.974000E-001
7	07/21/21	4.115000E-002	6.066000E-005	-4.469000E-003	7.485000E-002	-9.148000E-003	2.744000E-003	1.702000E-003	-2.976000E-004	-3.606000E-007	1.171000E-005	5.856000E-004	9.054000E-002	3.539000E-003	-1.283000E-002	-4.621000E-003	3.910000E-002	2.198000E-002	4.233000E-002	-2.458000E-003	-6.945000E-002	-1.190000E-002	-3.710000E-002	-6.960000E-002	-2.404000E-002	4.905000E-004	-2.106000E-004	4.673000E-003	2.364000E-003	-2.902000E-003	-2.210000E-003	7.081000E-001	1.051000E+000	-2.086000E-002	-7.492000E-001	1.650000E-002	-1.435000E-002	-3.615000E-002	-2.123000E-004	7.643000E-002	-6.966000E-004	-1.704000E-002	1.865000E-002	-1.721000E-002	8.449000E+000	5.204000E-001
7	07/22/21	9.838000E-003	4.921000E-003	-9.403000E-004	7.407000E-002	-1.301000E-002	-1.381000E-004	-4.116000E-003	1.717000E-004	-7.832000E-005	4.470000E-004	9.494000E-003	-5.591000E-002	-4.276000E-002	7.205000E-002	1.953000E-001	2.922000E-001	-5.384000E-002	-6.155000E-002	-2.936000E-003	1.097000E-001	2.069000E-002	3.116000E-002	-8.981000E-002	-3.204000E-002	-4.084000E-003	-1.034000E-003	-1.080000E-002	-4.555000E-003	-1.788000E-003	2.810000E-003	-3.306000E+000	-2.213000E-001	-8.501000E-002	1.131000E-001	9.014000E-002	7.737000E-003	-1.083000E-002	-8.497000E-005	-4.383000E-002	-1.866000E-004	4.062000E-002	2.036000E-001	5.656000E-003	5.008000E-001	-1.547000E+000
7	07/23/21	-1.351000E-002	8.103000E-003	-3.966000E-002	4.832000E-002	-1.232000E-002	1.459000E-003	-3.060000E-003	-1.637000E-003	1.662000E-004	-2.935000E-005	3.170000E-003	-1.155000E-001	1.263000E-001	1.948000E-002	7.626000E-003	1.078000E-002	-5.816000E-002	2.438000E-002	-4.012000E-006	-4.854000E-002	-1.347000E-003	-2.103000E-002	-9.620000E-002	4.369000E-002	-2.534000E-003	-1.025000E-003	-8.326000E-003	-2.783000E-003	6.426000E-003	-9.638000E-003	5.027000E+000	-1.488000E-003	3.764000E-002	9.190000E-001	3.451000E-001	1.832000E-002	8.795000E-003	7.389000E-005	3.643000E-002	1.390000E-003	9.307000E-002	1.727000E-001	-1.131000E-002	7.843000E+000	-1.279000E+000
7	07/24/21	-1.258000E-002	7.549000E-003	1.005000E-002	8.989000E-002	1.769000E-003	9.294000E-003	-3.001000E-003	-1.070000E-003	6.808000E-005	6.416000E-005	-3.754000E-003	-1.989000E-002	-2.906000E-002	2.533000E-002	3.634000E-002	5.401000E-002	-2.675000E-002	-5.596000E-002	8.956000E-004	-7.401000E-002	-6.403000E-003	-4.004000E-002	-4.811000E-002	-2.004000E-002	3.506000E-003	-9.887000E-004	-5.419000E-003	-1.624000E-003	2.065000E-003	-3.040000E-003	8.679000E-005	-7.499000E-004	-5.339000E-002	5.569000E-001	2.294000E-002	4.807000E-003	-3.147000E-002	-1.837000E-004	4.740000E-002	1.650000E-003	1.455000E-002	3.303000E-002	-3.182000E-003	1.523000E+001	5.026000E-001
7	07/25/21	5.936000E-003	1.086000E-002	3.735000E-002	2.388000E-002	6.093000E-003	9.505000E-003	-2.016000E-003	5.585000E-003	4.287000E-005	1.776000E-005	-2.335000E-003	4.764000E-002	-1.445000E-002	-1.809000E-003	4.885000E-003	-5.009000E-002	1.625000E-002	-2.005000E-002	1.920000E-003	-3.994000E-002	6.160000E-003	-4.565000E-002	3.000000E-002	2.290000E-002	3.755000E-003	-8.690000E-004	-5.181000E-003	-3.116000E-003	-6.276000E-003	-4.626000E-003	5.221000E-001	2.201000E-001	3.736000E-002	-1.376000E-001	3.184000E-001	-4.148000E-003	-6.695000E-002	-8.760000E-004	4.553000E-002	2.426000E-004	-7.832000E-003	6.290000E-002	4.321000E-003	1.433000E+001	5.445000E-001
7	07/26/21	-3.703000E-003	1.711000E-005	-2.317000E-002	8.496000E-003	9.684000E-002	-5.477000E-003	-1.710000E-003	-1.578000E-003	1.255000E-005	-1.270000E-004	-9.406000E-004	-3.302000E-002	-9.738000E-004	3.801000E-004	-3.714000E-002	-6.437000E-003	-1.920000E-002	-7.596000E-002	-1.076000E-004	-2.172000E-002	9.179000E-003	-1.139000E-002	4.978000E-002	1.074000E-001	6.119000E-003	4.505000E-003	-3.254000E-003	3.843000E-003	9.523000E-002	1.814000E-003	3.253000E-004	-1.380000E-001	-7.856000E-002	2.763000E+000	9.876000E-001	5.108000E-002	3.733000E-002	5.310000E-004	-1.252000E-002	1.354000E-003	-1.420000E-002	7.415000E-003	4.698000E-002	4.159000E+001	-2.706000E+000
7	07/27/21	9.520000E-003	1.194000E-002	9.885000E-003	-2.560000E-002	7.252000E-003	1.065000E-004	-2.342000E-003	9.071000E-004	3.706000E-004	-1.941000E-004	-1.777000E-003	-3.246000E-002	1.377000E-001	9.437000E-005	5.731000E-002	6.238000E-002	-5.824000E-002	7.211000E-002	3.813000E-003	-1.084000E-001	-2.081000E-002	-6.243000E-002	-1.335000E-002	3.974000E-003	-2.452000E-003	-4.461000E-006	-9.680000E-003	-7.119000E-003	2.114000E-002	-1.018000E-002	5.139000E+000	-3.709000E-001	-4.425000E-001	9.998000E-001	2.800000E-001	3.013000E-002	1.995000E-002	3.594000E-004	-2.212000E-002	2.136000E-003	7.186000E-002	-2.685000E-002	-2.452000E-002	1.441000E+001	5.012000E+000
7	07/28/21	-1.112000E-002	2.686000E-003	4.591000E-002	1.352000E-002	4.783000E-003	7.035000E-003	1.048000E-003	-2.604000E-003	3.287000E-005	2.692000E-005	-2.451000E-003	-2.542000E-002	1.910000E-002	-8.802000E-004	7.686000E-002	1.380000E-001	-3.438000E-002	-4.996000E-002	-1.873000E-004	1.115000E-001	8.432000E-003	5.614000E-002	-4.550000E-002	7.792000E-003	-3.548000E-003	1.232000E-003	-2.847000E-003	3.289000E-004	1.412000E-002	-2.072000E-003	-7.891000E-002	-2.455000E-001	-1.076000E-001	3.655000E-001	5.229000E-002	1.920000E-002	6.236000E-002	7.989000E-004	-1.686000E-001	1.820000E-003	-1.732000E-002	2.958000E-002	-8.095000E-004	-8.199000E+000	4.885000E+000
7	07/29/21	3.077000E-001	-3.859000E-003	-4.646000E-002	1.874000E-001	4.319000E-003	-1.541000E-002	1.216000E-002	2.217000E-004	2.509000E-004	-1.699000E-004	6.654000E-003	3.426000E-002	4.911000E-002	-1.032000E-002	-1.650000E-001	-4.386000E-002	9.910000E-002	-5.514000E-002	-3.062000E-003	1.602000E-001	3.873000E-003	8.676000E-002	3.495000E-001	2.123000E-002	6.585000E-003	2.359000E-003	-1.285000E-002	1.477000E-003	8.332000E-003	9.874000E-004	-5.474000E-001	6.491000E-002	1.384000E-001	5.323000E-001	-3.095000E-001	-1.433000E-002	-1.135000E-002	-1.305000E-004	8.849000E-003	-1.728000E-004	1.660000E-001	5.701000E-002	1.518000E-003	-8.377000E+000	-8.992000E-001
7	07/30/21	-3.553000E-002	-2.734000E-003	-7.770000E-003	4.331000E-002	-1.487000E-002	1.106000E-003	4.419000E-004	-8.069000E-004	2.381000E-004	-1.305000E-004	9.418000E-004	9.191000E-002	7.462000E-002	-1.171000E-002	4.406000E-002	6.985000E-002	8.602000E-003	-2.882000E-002	-3.010000E-004	6.734000E-002	-2.472000E-004	2.726000E-002	-4.851000E-002	-1.434000E-002	-7.157000E-003	8.062000E-004	-5.773000E-004	-2.962000E-003	4.089000E-003	-1.953000E-003	1.076000E-001	2.247000E-001	3.422000E-002	-1.158000E-002	-1.385000E-001	5.117000E-003	5.362000E-002	5.362000E-004	7.171000E-003	1.142000E-003	8.231000E-002	2.966000E-002	-1.569000E-002	-5.535000E+000	1.107000E+000
7	07/31/21	-2.073000E-002	2.856000E-004	1.525000E-002	-1.123000E-002	1.732000E-002	5.415000E-003	6.980000E-004	1.357000E-004	7.238000E-005	-9.729000E-006	1.137000E-003	5.253000E-002	2.547000E-002	-9.077000E-003	8.462000E-002	1.260000E-001	2.299000E-003	-4.812000E-002	3.752000E-004	-3.491000E-002	-1.466000E-002	-3.274000E-002	-2.491000E-002	1.138000E-002	-3.215000E-003	-2.614000E-004	-1.149000E-002	-4.085000E-003	-5.680000E-003	-4.144000E-003	1.019000E+000	1.288000E+000	-6.394000E-002	-9.102000E-002	-1.004000E-002	-2.537000E-003	1.617000E-002	5.556000E-004	-1.652000E-001	-1.144000E-004	-2.769000E-002	2.965000E-002	-1.696000E-002	8.027000E+000	9.852000E-001
7	08/01/21	-2.438000E-002	-9.443000E-004	3.374000E-003	2.841000E-001	7.606000E-003	1.551000E-003	7.429000E-003	8.431000E-004	3.026000E-004	-7.203000E-005	-1.953000E-003	-1.582000E-001	4.263000E-002	3.349000E-002	-8.906000E-002	4.620000E-002	-2.578000E-002	-5.579000E-002	-2.678000E-004	-1.097000E-001	-1.889000E-002	-5.608000E-002	-9.785000E-003	4.951000E-002	7.617000E-003	7.667000E-004	4.020000E-004	4.933000E-003	3.053000E-003	2.621000E-003	3.267000E-002	2.600000E-001	2.855000E-002	3.312000E-001	3.677000E-001	-1.252000E-002	-2.554000E-002	4.423000E-004	-2.691000E-002	-4.834000E-004	-5.061000E-002	1.451000E-002	-6.721000E-004	1.428000E+000	2.275000E-002
7	08/02/21	-2.192000E-002	-1.733000E-003	2.900000E-002	-2.839000E-002	7.597000E-003	1.050000E-002	-8.129000E-004	8.391000E-004	-4.397000E-005	1.596000E-004	-1.838000E-003	1.175000E-001	9.395000E-002	-7.229000E-003	8.084000E-002	6.216000E-002	3.396000E-002	-1.457000E-001	1.790000E-003	-3.514000E-002	-2.386000E-002	1.420000E-002	3.147000E-002	3.676000E-002	5.061000E-003	6.833000E-004	7.073000E-003	5.495000E-003	4.603000E-003	4.560000E-004	1.088000E-004	1.035000E-003	-9.415000E-002	2.400000E-001	1.689000E-001	3.112000E-003	3.027000E-002	4.203000E-004	2.575000E-002	8.754000E-005	-2.517000E-002	-1.053000E-002	-6.788000E-003	-6.525000E+000	-9.464000E-002
7	08/03/21	-1.197000E-002	-6.478000E-003	-3.409000E-002	-2.393000E-002	7.368000E-003	-2.101000E-003	3.178000E-003	2.120000E-003	6.586000E-005	-4.349000E-005	-4.586000E-003	-4.272000E-002	2.748000E-002	-2.151000E-003	8.892000E-002	3.913000E-001	-1.376000E-003	1.954000E-002	7.930000E-003	-1.584000E-001	-4.703000E-002	-5.747000E-002	2.924000E-002	2.320000E-001	4.814000E-002	1.343000E-002	1.128000E-001	7.916000E-002	3.208000E-002	3.109000E-002	1.228000E-004	2.861000E-001	-8.535000E-002	-7.473000E-001	1.255000E-001	-8.925000E-003	-4.206000E-003	1.345000E-003	3.365000E-002	-6.171000E-005	-6.335000E-002	-6.347000E-002	-1.098000E-002	3.546000E+000	-1.267000E+000
7	08/04/21	8.858000E-003	-1.047000E-003	1.413000E-002	-3.705000E-002	2.084000E-003	-5.194000E-003	6.318000E-004	4.107000E-004	-5.122000E-005	3.496000E-005	2.166000E-003	4.371000E-002	1.104000E-001	-1.455000E-002	1.419000E-002	7.218000E-002	-1.525000E-002	-6.058000E-002	-1.797000E-003	-8.412000E-002	-3.231000E-002	-3.682000E-002	-1.572000E-001	-1.907000E-002	-8.518000E-005	-1.240000E-003	-4.008000E-003	-2.260000E-004	1.001000E-003	-4.363000E-003	1.289000E-002	1.623000E-001	-4.073000E-002	2.128000E-001	2.967000E-001	1.479000E-004	3.668000E-002	2.678000E-004	7.287000E-002	-8.230000E-004	1.797000E-002	2.213000E-002	-1.197000E-002	5.159000E+000	1.200000E+000
7	08/05/21	-1.477000E-002	-4.023000E-003	-4.361000E-003	8.104000E-003	-9.237000E-003	-1.009000E-002	-2.343000E-004	1.069000E-003	2.336000E-004	-2.590000E-004	4.292000E-003	2.134000E-001	1.206000E-001	-5.555000E-002	5.086000E-002	5.541000E-002	-3.930000E-002	-2.105000E-002	2.781000E-004	2.020000E-001	1.545000E-002	1.009000E-001	-1.192000E-001	5.164000E-001	-1.257000E-003	-1.585000E-003	-9.085000E-003	-5.074000E-003	4.135000E-004	-1.761000E-003	-2.726000E-002	9.800000E-003	2.634000E-002	1.680000E+000	7.750000E-001	6.796000E-003	7.219000E-002	6.260000E-004	7.801000E-002	4.248000E-004	-1.163000E-002	1.008000E-001	-4.808000E-003	-8.787000E+000	-4.116000E-001
7	08/06/21	9.375000E-003	5.817000E-003	-2.821000E-002	-2.048000E-002	-1.339000E-002	-7.136000E-003	-3.675000E-004	8.627000E-005	9.281000E-006	-8.990000E-005	5.102000E-003	6.575000E-002	2.564000E-002	-8.601000E-003	-2.913000E-002	-3.448000E-002	2.974000E-002	-1.308000E-002	6.477000E-004	-6.752000E-002	-1.702000E-002	-2.770000E-002	-5.955000E-002	1.108000E-002	1.720000E-003	-2.078000E-003	-8.450000E-003	-9.151000E-004	4.834000E-003	-7.657000E-003	3.986000E-005	-5.933000E-004	8.749000E-002	1.265000E+000	6.216000E-001	8.106000E-003	2.880000E-002	4.157000E-004	1.672000E-002	6.533000E-004	-6.861000E-004	3.097000E-002	-8.837000E-003	6.926000E+000	-9.019000E-001
7	08/07/21	-1.424000E-002	4.392000E-003	-3.746000E-002	-1.017000E-002	-6.948000E-003	-1.455000E-002	-1.154000E-003	1.264000E-003	8.583000E-006	-1.047000E-004	4.961000E-003	-1.001000E-002	1.753000E-002	-1.272000E-003	8.939000E-003	-4.967000E-002	-1.103000E-002	2.647000E-002	1.025000E-003	6.067000E-002	1.290000E-002	2.163000E-002	-6.368000E-002	4.497000E-002	4.655000E-003	7.563000E-004	-4.042000E-003	-3.449000E-004	-1.994000E-003	-3.848000E-003	2.124000E-005	1.826000E-002	1.150000E-001	1.879000E+000	6.768000E-001	1.654000E-002	8.372000E-002	3.636000E-004	6.983000E-002	2.072000E-003	-7.583000E-004	-3.339000E-003	-8.873000E-004	-1.120000E+000	-9.997000E-001
7	08/08/21	-9.890000E-003	1.313000E-002	-9.074000E-003	-2.505000E-002	1.865000E-002	-1.816000E-003	-2.834000E-003	2.259000E-003	1.350000E-004	1.539000E-005	-1.682000E-003	-6.180000E-002	2.757000E-004	1.764000E-002	-5.678000E-002	2.425000E-003	-3.088000E-002	-3.959000E-002	1.306000E-003	-6.978000E-002	-2.238000E-003	-5.546000E-002	1.870000E-002	2.640000E-002	2.321000E-003	-3.365000E-004	-7.775000E-003	-2.963000E-003	-3.900000E-003	-3.311000E-003	4.944000E-001	-2.728000E-002	1.441000E-001	1.916000E+000	1.195000E+000	2.518000E-002	9.432000E-002	8.806000E-004	-4.227000E-002	1.015000E-003	3.660000E-003	4.606000E-002	5.621000E-003	7.818000E+000	-2.936000E-001
