
Residuals from Base Run #2 (Convergent Run)

Base_Run,Date_Time,Dichloromethane,Chloroform,Trichlorofluoromethane,Dichlorodifluoromethane,Carbon Tetrachloride,1_1_2-Trichlorotrifluoroethane,1_2-Dichloro-1_1_2_2-tetrafluoroethane,Tetrachloroethene,1_2-Dichlorobenzene,1_4-Dichlorobenzene,PCBTF,N-Butane,Isobutane,N-Pentane,Isopentane,2-Methyl pentane,Butene,Propylene,cis-2-Pentene,Isoprene,alpha-Pinene,MVK,Benzene,Toluene,Ethylbenzene,Propylbenzene,m_p-Xylene,o-Xylene,p-Isopropyl Toluene,Naphthalene,Methanol,Ethanol,Phenol,Formaldehyde,Acetaldehyde,Isovaleraldehyde,Hexaldehyde,m_p-Tolualdehyde,Phenylacetaldehyde,Cyclohexanone,Methyl acetate,n-Butyl acetate,D5-Siloxane
2,07/20/21,1.710000E-002,-2.766000E-003,-4.970000E-002,-7.941000E-002,1.046000E-002,-9.891000E-003,4.577000E-003,-5.293000E-005,-7.695000E-005,5.203000E-005,-2.145000E-004,-3.842000E-002,8.328000E-002,1.527000E-003,-1.114000E-001,4.513000E-002,1.148000E-002,-9.327000E-002,2.124000E-003,7.229000E-002,1.018000E-002,3.425000E-002,4.085000E-001,2.693000E-002,6.138000E-003,1.480000E-003,8.864000E-003,6.380000E-003,-5.839000E-003,-4.180000E-003,1.642000E+001,4.133000E-001,5.415000E-002,1.181000E-001,-9.219000E-002,1.868000E-002,6.917000E-002,-5.343000E-005,5.291000E-002,-9.135000E-004,-1.018000E-001,1.144000E-001,-3.439000E-003
2,07/21/21,3.295000E-002,-1.664000E-003,-1.258000E-003,4.376000E-002,-8.791000E-003,-1.171000E-003,1.021000E-003,-4.373000E-004,3.062000E-005,-3.611000E-005,1.756000E-003,8.770000E-002,-9.632000E-003,-1.342000E-002,-1.120000E-002,-8.677000E-003,1.932000E-002,5.822000E-002,-2.381000E-003,7.328000E-002,1.307000E-002,2.996000E-002,-7.574000E-002,-7.564000E-003,3.313000E-003,4.025000E-004,1.209000E-002,6.585000E-003,-8.744000E-004,-3.824000E-004,-8.012000E+000,5.680000E-001,-5.769000E-003,-3.383000E-001,2.384000E-001,-1.289000E-002,-2.188000E-002,-2.135000E-005,6.763000E-002,-4.842000E-004,-3.168000E-002,4.892000E-003,-6.046000E-003
2,07/22/21,-3.505000E-004,2.232000E-003,1.754000E-002,6.704000E-002,-7.097000E-003,2.905000E-003,-2.958000E-003,-3.852000E-005,3.077000E-004,6.609000E-005,9.226000E-003,-4.780000E-002,-2.409000E-002,5.115000E-002,1.827000E-001,1.902000E-001,-6.081000E-002,-2.142000E-002,-2.609000E-003,1.692000E-001,2.510000E-002,6.694000E-002,-1.314000E-001,-5.982000E-002,-8.337000E-003,-2.230000E-003,-8.350000E-003,-7.057000E-003,-6.202000E-003,8.502000E-004,-1.869000E+000,7.367000E-002,-4.721000E-002,-4.048000E-002,3.847000E-002,9.318000E-003,-1.768000E-002,-1.640000E-004,-2.644000E-002,-2.147000E-004,6.487000E-003,1.675000E-001,4.899000E-003
2,07/23/21,-1.785000E-002,7.538000E-003,-1.791000E-002,5.396000E-002,-2.376000E-003,3.097000E-003,-1.663000E-003,-1.907000E-003,4.692000E-004,-1.211000E-004,2.599000E-003,-1.392000E-001,8.607000E-002,2.164000E-002,-1.742000E-002,-9.553000E-002,-6.442000E-002,5.188000E-002,-4.555000E-004,-1.972000E-002,3.262000E-003,3.106000E-004,-6.881000E-002,1.809000E-002,-5.118000E-003,-1.302000E-003,-3.624000E-003,-2.907000E-003,3.000000E-003,-6.017000E-003,5.384000E-001,-2.458000E-003,8.469000E-002,8.577000E-001,4.450000E-001,8.452000E-003,-1.987000E-002,3.803000E-005,3.633000E-002,1.320000E-003,8.050000E-002,1.389000E-001,1.348000E-002
2,07/24/21,-1.533000E-002,7.108000E-003,1.088000E-002,8.795000E-002,3.717000E-003,8.732000E-003,-3.258000E-003,-5.042000E-004,1.005000E-004,-9.652000E-006,-3.421000E-003,-7.105000E-003,-9.193000E-003,9.365000E-003,4.522000E-002,1.895000E-002,-1.975000E-002,-3.629000E-002,3.642000E-004,-2.963000E-002,3.479000E-003,-1.240000E-002,-5.274000E-002,-1.571000E-002,4.871000E-003,-3.333000E-004,-1.196000E-004,1.112000E-003,-1.745000E-004,-1.589000E-003,2.971000E-005,-4.741000E-004,-1.594000E-002,9.552000E-001,3.874000E-001,6.073000E-003,-2.717000E-002,1.250000E-004,5.115000E-002,1.803000E-003,1.544000E-002,1.649000E-002,3.158000E-003
2,07/25/21,1.885000E-003,1.006000E-002,2.224000E-002,4.026000E-002,3.688000E-003,5.498000E-003,-2.188000E-003,5.289000E-003,2.167000E-004,-5.958000E-005,-2.351000E-003,5.282000E-002,-1.920000E-002,-2.932000E-003,8.971000E-003,-4.900000E-002,2.051000E-002,3.453000E-002,1.447000E-003,-4.370000E-003,1.346000E-002,-2.761000E-002,3.166000E-002,2.456000E-002,4.576000E-003,-4.578000E-004,-4.709000E-003,-1.751000E-003,-9.231000E-004,-3.279000E-003,2.552000E-001,-4.791000E-001,6.489000E-003,2.546000E-001,5.900000E-001,-1.003000E-003,-4.621000E-002,-6.754000E-004,3.538000E-002,6.537000E-004,-2.331000E-002,4.584000E-002,1.169000E-002
2,07/26/21,1.179000E-003,-5.117000E-004,-3.820000E-004,-8.674000E-003,9.581000E-002,-3.410000E-005,-8.625000E-004,-1.325000E-003,1.320000E-006,2.758000E-006,-1.368000E-003,-3.991000E-002,3.046000E-005,1.240000E-004,-8.546000E-003,6.967000E-003,-1.520000E-002,-9.668000E-002,1.006000E-003,-4.265000E-002,4.921000E-003,-2.031000E-002,7.873000E-003,9.719000E-002,3.465000E-003,3.358000E-003,-6.656000E-003,-1.219000E-004,8.797000E-002,-3.885000E-003,2.528000E-004,-3.966000E-002,-1.238000E-002,2.488000E+000,7.413000E-001,4.740000E-002,1.046000E-003,2.847000E-004,1.316000E-002,4.730000E-004,-8.650000E-003,1.570000E-002,6.071000E-003
2,07/27/21,4.852000E-003,1.129000E-002,4.413000E-002,-5.647000E-002,1.800000E-002,2.566000E-003,-7.249000E-004,6.115000E-004,2.933000E-005,-5.607000E-006,-1.629000E-003,-9.120000E-002,3.259000E-002,8.465000E-003,3.104000E-002,-4.435000E-002,-7.775000E-002,5.977000E-002,3.410000E-003,-1.816000E-002,-3.322000E-003,-1.871000E-002,-7.736000E-003,1.366000E-002,7.415000E-004,-1.240000E-004,3.903000E-003,-1.176000E-003,1.775000E-002,-4.612000E-003,2.412000E+000,-3.792000E-001,-3.592000E-001,8.171000E-001,2.874000E-001,3.090000E-002,1.229000E-002,2.007000E-004,-9.523000E-003,2.070000E-003,4.797000E-002,-3.680000E-002,4.787000E-003
2,07/28/21,-1.273000E-002,2.700000E-003,6.430000E-002,-3.246000E-002,8.171000E-003,7.483000E-003,1.673000E-003,-2.154000E-003,1.601000E-005,2.478000E-005,-2.087000E-003,-2.792000E-002,2.097000E-003,1.731000E-003,9.557000E-002,7.366000E-002,-3.129000E-002,-4.361000E-002,-1.926000E-004,-2.578000E-002,-1.788000E-002,8.770000E-006,-6.247000E-002,6.161000E-003,-3.281000E-003,6.492000E-004,4.127000E-003,1.680000E-003,4.621000E-003,-3.263000E-003,2.987000E-002,-6.248000E-002,-6.579000E-002,-2.682000E-001,-1.346000E-001,1.298000E-002,2.738000E-002,5.480000E-004,-1.588000E-001,1.168000E-003,-1.669000E-002,2.094000E-002,7.487000E-003
2,07/29/21,3.063000E-001,-4.683000E-003,-3.758000E-002,8.824000E-002,2.598000E-003,-1.805000E-002,1.103000E-002,1.051000E-003,1.888000E-004,-3.834000E-005,6.946000E-003,5.569000E-002,7.719000E-002,-8.273000E-003,-1.133000E-001,-5.984000E-002,1.062000E-001,-8.148000E-002,-1.335000E-003,2.223000E-001,8.350000E-003,1.238000E-001,2.990000E-001,2.393000E-002,6.556000E-003,1.605000E-003,-1.030000E-002,4.183000E-004,-1.293000E-003,-1.238000E-003,-3.442000E-001,2.526000E-001,2.516000E-001,1.719000E-001,-5.594000E-001,-2.880000E-002,-9.365000E-002,-5.085000E-004,3.826000E-002,-1.176000E-003,1.732000E-001,7.266000E-002,-7.380000E-003
2,07/30/21,-3.896000E-002,-3.180000E-003,2.312000E-002,-1.292000E-002,-9.264000E-003,2.484000E-003,1.634000E-003,-9.113000E-004,-5.323000E-005,8.315000E-006,1.350000E-003,4.573000E-002,-1.698000E-003,-1.722000E-003,4.740000E-002,-6.547000E-003,-3.134000E-003,-4.549000E-002,-3.315000E-004,6.369000E-003,-1.269000E-002,2.329000E-003,-6.080000E-002,-9.350000E-003,-5.677000E-003,1.972000E-005,8.622000E-003,-5.739000E-005,-2.981000E-003,-1.427000E-003,-5.235000E-002,1.310000E-001,8.899000E-002,-6.293000E-001,-3.741000E-001,1.219000E-003,2.692000E-002,1.877000E-004,1.669000E-002,5.200000E-004,6.998000E-002,2.142000E-002,-5.887000E-004
2,07/31/21,-2.678000E-002,-1.344000E-003,2.800000E-002,-3.518000E-002,2.133000E-002,5.236000E-003,1.311000E-003,-4.616000E-005,-6.739000E-005,2.482000E-005,1.752000E-003,4.691000E-002,-1.090000E-002,-3.723000E-003,7.185000E-002,6.196000E-002,-6.371000E-003,-3.706000E-002,6.981000E-004,1.171000E-001,1.373000E-002,3.816000E-002,-5.032000E-002,2.726000E-002,-1.189000E-004,-3.686000E-004,-2.144000E-003,2.749000E-004,-7.209000E-003,-1.513000E-003,-1.277000E-001,7.968000E-001,-9.819000E-003,-4.921000E-002,-1.187000E-002,2.683000E-003,2.229000E-002,4.827000E-004,-1.489000E-001,-9.036000E-005,-5.400000E-002,2.722000E-002,-2.323000E-003
2,08/01/21,-2.609000E-002,-1.130000E-003,-2.834000E-002,3.079000E-001,3.648000E-003,-1.916000E-003,5.963000E-003,1.075000E-003,3.819000E-004,-2.992000E-005,-1.625000E-003,-1.247000E-001,9.584000E-002,2.267000E-002,-1.078000E-001,5.249000E-002,-2.241000E-002,-4.914000E-002,-3.248000E-004,-3.249000E-002,1.337000E-003,-1.618000E-002,-1.637000E-002,4.882000E-002,7.269000E-003,9.957000E-004,-4.330000E-003,3.507000E-003,3.026000E-003,3.499000E-003,-1.077000E-002,2.451000E-001,7.446000E-003,6.410000E-001,4.461000E-001,-1.304000E-002,-2.220000E-002,5.629000E-004,-2.541000E-002,-3.750000E-004,-4.396000E-002,1.638000E-002,-7.943000E-004
