
Factor Contributions (avg = 1) from Base Run #9 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
9,08/21/21,4.484500E-001,4.432400E-001,-2.000000E-001,2.636000E-002,1.423800E+000,5.139200E+000,-2.000000E-001,-2.000000E-001
9,08/22/21,1.761000E+000,-1.651500E-001,1.195800E+000,-1.116700E-001,4.871300E-002,9.412800E-001,5.343000E-001,9.189400E-001
9,08/23/21,1.460900E+000,3.056400E-001,1.105000E+000,8.744800E-001,4.601000E-001,1.356500E+000,3.670300E-001,1.322000E+000
9,08/24/21,1.132500E+000,6.908200E-001,5.314200E-001,-1.160700E-001,8.129000E-001,1.922100E+000,1.571300E+000,1.126800E+000
9,08/25/21,2.535300E-001,-1.976000E-001,1.201400E+000,-8.279700E-002,9.069400E-001,2.583300E+000,2.743000E+000,1.105500E+000
9,08/26/21,7.154100E-001,1.415700E+000,1.343800E-001,-5.476200E-002,9.000900E-001,1.237300E+000,2.979400E+000,4.106600E-001
9,08/27/21,4.572300E-001,-1.841000E-001,7.492100E-001,1.859900E+000,-2.000000E-001,1.002700E+000,2.885800E+000,7.278000E-001
9,08/28/21,2.434800E-003,2.066500E-001,1.181800E+000,2.386800E+000,3.858600E-001,1.152600E+000,3.302400E+000,9.664500E-001
9,08/29/21,4.800800E-001,4.419500E-001,3.624700E-001,1.863500E+000,5.303800E-001,6.298000E-001,3.105500E+000,7.669800E-001
9,08/30/21,9.377500E-002,-8.773900E-003,-9.294000E-003,3.361100E-002,-3.256800E-003,-3.910400E-002,1.387300E-001,1.613300E-002
9,08/31/21,3.944200E-001,6.484900E-001,2.110000E+000,1.785100E+000,4.821800E-001,3.478200E+000,-6.735900E-002,2.049600E+000
9,09/01/21,1.868900E+000,-1.887400E-001,5.540700E-001,1.494700E+000,1.171500E+000,9.592700E-001,-1.694500E-001,1.140600E+000
9,09/02/21,1.338100E+000,3.259800E-001,9.895900E-001,2.527800E+000,-1.192400E-001,2.378600E+000,-2.000000E-001,1.652100E+000
9,09/03/21,5.374000E-001,6.594300E-001,4.813900E-001,1.923700E+000,5.051800E-001,4.705500E-001,1.313500E+000,1.175800E+000
9,09/04/21,9.442100E-002,-8.517400E-003,-8.844200E-003,3.341500E-002,-2.997600E-003,-3.419500E-002,1.222100E-001,1.691400E-002
9,09/05/21,8.613800E-001,1.417600E-001,-1.478800E-001,1.212700E+000,3.445600E-001,1.718800E-001,2.484700E+000,1.574200E-001
9,09/06/21,-3.759400E-002,3.386000E-001,1.450700E+000,1.939200E+000,2.093000E-001,1.228700E+000,2.548300E+000,9.377700E-001
9,09/07/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
9,09/08/21,-2.000000E-001,2.665600E-001,2.314600E+000,1.737900E+000,8.990800E-001,2.294800E+000,1.536800E+000,2.009900E+000
9,09/09/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
9,09/10/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
9,09/11/21,2.355700E-002,3.402600E-001,-2.000000E-001,2.131500E+000,-1.717900E-001,1.113700E+000,2.831700E+000,5.161900E-001
9,09/12/21,1.040900E+000,-2.508500E-002,-1.590900E-001,1.116600E+000,-1.419800E-001,2.314100E-001,2.166800E+000,8.137500E-002
9,09/13/21,5.678000E-001,2.553500E+000,2.916300E-001,1.681700E+000,-1.680000E-001,5.509900E-001,2.164800E+000,4.194800E-001
9,09/14/21,6.014000E-001,6.423100E+000,7.540000E-001,1.163000E+000,-1.506300E-001,1.359500E+000,1.333400E+000,5.307600E-001
9,09/15/21,1.359800E-001,3.845800E+000,1.241700E+000,1.701800E+000,-1.762200E-001,2.361300E+000,9.089800E-001,1.231500E+000
9,09/16/21,1.162700E-001,3.033400E+000,1.817000E+000,1.930700E+000,-2.000000E-001,2.753900E+000,7.128000E-001,1.461700E+000
9,09/17/21,4.367500E-001,1.294300E+000,1.520600E+000,1.112600E+000,-1.683400E-001,3.026900E+000,1.728200E-002,1.501300E+000
9,09/18/21,4.403400E-001,9.341000E-001,9.723900E-001,1.303800E+000,-1.509300E-001,2.648500E+000,9.116100E-001,8.813100E-001
9,09/19/21,1.060300E+000,7.956000E-001,5.012100E-001,9.879400E-001,-1.620500E-001,6.649300E-001,6.293700E-001,8.129500E-001
9,09/20/21,2.378600E-001,1.186600E+000,1.086700E+000,1.440300E+000,-1.678900E-001,1.893000E+000,1.474900E+000,9.590300E-001
9,09/21/21,1.215500E+000,3.371700E-001,-1.637900E-001,1.404800E+000,-1.309200E-001,5.591800E-001,2.028000E+000,-2.000000E-001
9,09/22/21,2.606600E-001,2.306900E-001,3.191100E-001,1.195500E+000,-1.520000E-001,9.864000E-001,2.380700E+000,6.729300E-001
9,09/23/21,8.547100E-001,1.348100E-001,4.136300E-001,1.328700E+000,-1.606300E-001,1.553000E+000,1.531300E+000,6.041200E-001
