
Factor Profiles (conc. of species) from Base Run #16 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
16,Carbon Tetrachloride,5.442725E+000,1.933266E-001,2.910503E+001,3.050504E+001,2.377112E+001,2.726283E+000,2.527925E+000,5.728549E+000
16,1_1_2-Trichlorotrifluoroethane,9.921985E-001,0.000000E+000,3.115103E+001,3.035956E+001,2.357234E+001,3.197485E+000,2.995138E+000,7.732255E+000
16,1_2-Dichloro-1_1_2_2-tetrafluoroethane,4.718410E+000,8.908560E+000,3.859942E+001,1.603931E+001,1.996432E+001,3.391139E+000,2.965363E-001,8.082303E+000
16,Tetrachloroethene,2.232777E+001,6.682211E+000,5.924517E+000,4.191145E+001,7.982591E+000,2.722194E+000,1.124519E+000,1.132475E+001
16,1_2-Dichlorobenzene,0.000000E+000,1.472593E+000,3.391782E+000,5.669090E+000,2.350688E+000,3.249723E-008,2.248258E+000,8.486759E+001
16,1_4-Dichlorobenzene,3.067816E+000,1.897582E+000,2.475434E+000,0.000000E+000,3.759103E+000,9.843794E-001,0.000000E+000,8.781568E+001
16,PCBTF,2.649306E+001,6.546240E+000,7.542765E-001,4.853091E+001,3.327524E+000,5.284150E+000,2.025840E+000,7.038006E+000
16,N-Butane,3.860213E+000,4.093869E+001,1.383825E+001,2.054682E+001,3.694014E+000,1.460766E+000,1.529689E+000,1.413155E+001
16,Isobutane,1.142569E+000,5.137167E+001,8.747127E-001,3.348338E+001,8.882657E+000,3.763287E+000,0.000000E+000,4.817177E-001
16,N-Pentane,0.000000E+000,6.991875E+001,5.382970E+000,1.922455E+001,0.000000E+000,0.000000E+000,3.717534E+000,1.756198E+000
16,Isopentane,7.515722E+000,2.070700E+001,0.000000E+000,4.481260E+001,1.397829E+001,2.952615E+000,3.014418E+000,7.019351E+000
16,2-Methyl pentane,4.052558E+000,9.374452E+000,0.000000E+000,6.436607E+001,1.669309E+001,3.916631E+000,0.000000E+000,1.597191E+000
16,Butene,8.148793E+000,2.780237E+001,1.157723E+001,2.494838E+001,8.450271E+000,1.128697E+000,6.696556E+000,1.124771E+001
16,Propylene,1.593407E+001,3.712690E+001,2.329366E+001,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,2.364537E+001
16,cis-2-Pentene,0.000000E+000,2.199457E+001,1.133912E+001,4.343367E+001,2.020638E+001,0.000000E+000,3.026257E+000,0.000000E+000
16,Isoprene,8.410494E+000,2.600375E+000,9.657701E+000,0.000000E+000,5.472440E+001,7.467594E+000,1.433261E+001,2.806829E+000
16,alpha-Pinene,1.212187E+001,3.247502E+000,1.666175E+001,0.000000E+000,4.433649E+001,6.418176E+000,1.213998E+001,5.074234E+000
16,MVK,7.336949E+000,4.317123E+000,7.445319E+000,0.000000E+000,5.427521E+001,6.571686E+000,1.794423E+001,2.109481E+000
16,Benzene,6.157143E+000,3.721507E+000,7.824984E+000,6.283512E+001,1.556453E+001,0.000000E+000,0.000000E+000,3.896715E+000
16,Toluene,2.516345E+001,6.470191E+000,3.660337E+000,4.559576E+001,6.229460E+000,2.411550E+000,1.934262E+000,8.534997E+000
16,Ethylbenzene,2.912004E+001,7.272765E+000,3.586739E+000,4.178991E+001,6.006937E+000,2.921082E+000,1.088075E+000,8.214458E+000
16,Propylbenzene,2.582245E+001,7.972196E+000,2.957184E+000,4.150858E+001,9.032190E+000,3.137742E+000,0.000000E+000,9.569657E+000
16,m_p-Xylene,3.643640E+001,1.129335E+001,5.833422E+000,2.189122E+001,2.954093E+000,2.766935E+000,5.098323E-001,1.831475E+001
16,o-Xylene,3.600945E+001,6.553830E+000,4.044035E+000,3.426814E+001,4.937139E+000,3.108553E+000,4.772029E-001,1.060164E+001
16,p-Isopropyl Toluene,4.500198E+000,4.755290E+000,2.183069E+000,3.466906E+001,3.279662E+001,4.622201E+000,1.381470E+001,2.658869E+000
16,Naphthalene,4.416796E+001,0.000000E+000,2.591109E+000,2.350833E+001,1.933872E+001,7.054715E+000,3.339168E+000,0.000000E+000
16,Methanol,1.228097E+000,0.000000E+000,4.327984E+000,1.572384E+000,1.925766E+000,8.599747E+001,3.608700E+000,1.339592E+000
16,Ethanol,1.452061E+000,2.530523E-001,4.151106E+000,1.901573E+000,3.387497E+000,9.550598E-002,8.705294E+001,1.706263E+000
16,Phenol,4.648042E+000,0.000000E+000,2.172026E+001,1.722503E+001,3.804240E+001,3.031168E+000,5.525026E+000,9.808071E+000
