
**** Error Estimation Summary ****

DISP Displaced Species:
,1-Butene + Isobutylene
,2-Methyl pentane
,Acetaldehyde
,Benzene_ 1_2-dichloro-
,Benzene_ 1_4-dichloro
,Benzene_ propyl-
,Carbon Tetrachloride
,Chloroform
,Cyclohexanone
,Decamethylcyclopentasiloxane
,Dichlorodifluoromethane
,Dichloromethane
,Ethane_ 1_1_2-trichloro-1_2_2-trifluoro-
,Ethane_ 1_2-dichloro-1_1_2_2-tetrafluoro-
,Ethanol
,Ethylbenzene
,Formaldehyde
,Hexaldehyde
,Isobutane
,Isopentane
,Isoprene
,Isovaleraldehyde
,MVK
,Methanol
,Methyl acetate
,N-Butane
,Naphthalene
,Parachlorobenzotrifluoride
,Pentane
,Phenol
,Phenylacetaldehyde
,Propylene
,Tetrachloroethene
,Toluene
,Trichlorofluoromethane
,a-Pinene
,cis-2-Pentene
,m_p-Tolualdehyde
,m_p-Xylene
,n-Butyl acetate
,o-Xylene
,p-Cymene
,p-Isopropyl Toluene

DISP Diagnostics:
,Error Code:,0
,Largest Decrease in Q:,-0.355
,%dQ:,-0.001627
,Swaps by Factor:,0,0,0,0,0,0,0,0,0

Concentrations for MIxing solvents,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Ethane_ 1_2-dichloro-1_1_2_2-tetrafluoro-,0.0022505,,,,,,,,,0.001711,0.00224685,0.0027827,
Ethanol,0.1812,,,,,,,,,-6.601E-17,0.18651,0.37302,
Ethylbenzene,0.0032707,,,,,,,,,0.0024279,0.0032648,0.0041017,
Formaldehyde,1.0252,,,,,,,,,0.85298,1.02504,1.1971,
Hexaldehyde,0.025579,,,,,,,,,0.016016,0.023968,0.03192,
Isobutane,0,,,,,,,,,0,0.00098075,0.0019615,
Isopentane,0.018739,,,,,,,,,0.01359,0.01855,0.02351,
Isoprene,0.33461,,,,,,,,,0.30611,0.33363,0.36115,
Isovaleraldehyde,0.0098334,,,,,,,,,0.0067566,0.0095193,0.012282,
MVK,0.15404,,,,,,,,,0.14096,0.153325,0.16569,
Methanol,2.8852,,,,,,,,,0,2.28955,4.5791,
Methyl acetate,0,,,,,,,,,0,0.00165195,0.0033039,
N-Butane,0.0058296,,,,,,,,,0,0.005979,0.011958,
Naphthalene,0.0031159,,,,,,,,,0.002588,0.00309035,0.0035927,
Parachlorobenzotrifluoride,0.00019222,,,,,,,,,0,0.000163475,0.00032695,
Pentane,0,,,,,,,,,0,0.00062635,0.0012527,
Phenol,0.12318,,,,,,,,,0.10773,0.122425,0.13712,
Phenylacetaldehyde,0.033377,,,,,,,,,0.025935,0.033243,0.040551,
