
Factor Profiles (conc. of species) from Base Run #9 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
9,Dichloromethane,1.919131E+001,3.815809E+000,8.068692E+000,0.000000E+000,3.232511E+000,7.301135E+000,1.581777E+001,4.257278E+001
9,Chloroform,1.435766E+001,2.105976E+000,8.113976E+000,1.515254E+000,3.132493E+000,5.522890E+000,1.486546E+001,5.038629E+001
9,Trichlorofluoromethane,2.757769E+001,2.161719E+000,4.138524E+000,3.898994E-001,9.042144E-001,0.000000E+000,2.503748E+001,3.979047E+001
9,Dichlorodifluoromethane,4.453013E+001,3.057646E+000,8.329836E+000,0.000000E+000,3.953582E-001,1.229887E+001,1.612734E+001,1.526082E+001
9,Carbon Tetrachloride,3.053519E+001,1.733947E+000,8.237908E-001,1.101721E+000,0.000000E+000,5.507773E+000,2.440959E+001,3.588799E+001
9,1_1_2-Trichlorotrifluoroethane,3.339490E+001,2.055665E+000,3.057711E-001,1.711227E+000,1.510419E+000,5.292757E-001,2.395244E+001,3.654031E+001
9,1_2-Dichloro-1_1_2_2-tetrafluoroethane,3.992627E+001,2.551742E+000,1.091156E+001,0.000000E+000,5.889866E-001,2.847441E+000,2.133357E+001,2.184043E+001
9,Tetrachloroethene,6.001700E+000,2.868435E+000,8.277204E+000,0.000000E+000,9.932610E+000,2.252368E+001,9.282015E+000,4.111435E+001
9,1_2-Dichlorobenzene,4.557311E+000,0.000000E+000,0.000000E+000,3.379838E+000,8.387670E+001,0.000000E+000,1.626281E+000,6.559872E+000
9,1_4-Dichlorobenzene,3.853716E+000,1.191059E+000,5.088710E-001,9.537184E-001,8.683943E+001,3.014173E+000,3.138146E+000,5.008813E-001
9,PCBTF,9.671270E-001,5.145810E+000,7.297272E+000,5.310820E+000,6.842857E+000,2.597151E+001,2.167600E+000,4.629700E+001
9,N-Butane,1.399711E+001,1.226864E+000,4.510040E+001,1.706035E+000,1.177101E+001,4.732134E+000,4.144785E+000,1.732166E+001
9,Isobutane,9.093497E-001,3.962690E+000,5.804185E+001,0.000000E+000,0.000000E+000,3.553758E+000,9.918209E+000,2.361414E+001
9,N-Pentane,5.799386E+000,0.000000E+000,7.625422E+001,3.881539E+000,8.568305E-001,2.524610E+000,0.000000E+000,1.068342E+001
9,Isopentane,0.000000E+000,2.917960E+000,2.397349E+001,4.058972E+000,6.630285E+000,8.780332E+000,1.427712E+001,3.936184E+001
9,2-Methyl pentane,0.000000E+000,3.371822E+000,1.072239E+001,3.326265E+000,1.434898E+000,5.089503E+000,1.620453E+001,5.985059E+001
9,Butene,1.098081E+001,1.164298E+000,3.218867E+001,5.148045E+000,8.922433E+000,7.906631E+000,1.001948E+001,2.366964E+001
9,Propylene,2.648705E+001,0.000000E+000,3.758686E+001,0.000000E+000,1.926227E+001,1.666382E+001,0.000000E+000,0.000000E+000
9,cis-2-Pentene,9.528987E+000,0.000000E+000,2.444326E+001,3.910496E+000,0.000000E+000,0.000000E+000,2.062809E+001,4.148917E+001
9,Isoprene,1.101197E+001,7.601773E+000,2.495328E+000,1.848577E+001,1.125916E+000,7.590156E+000,5.168908E+001,0.000000E+000
9,alpha-Pinene,1.896926E+001,6.141959E+000,2.734709E+000,1.573261E+001,1.885185E+000,1.142196E+001,4.192110E+001,1.193219E+000
9,MVK,8.431086E+000,6.625727E+000,4.399051E+000,2.219184E+001,8.887677E-001,6.477493E+000,5.098603E+001,0.000000E+000
9,Benzene,3.948692E+000,0.000000E+000,6.988327E+000,0.000000E+000,2.722902E+000,4.757186E+000,1.836391E+001,6.321898E+001
9,Toluene,3.824441E+000,2.539052E+000,7.770481E+000,1.776785E+000,7.544044E+000,2.563951E+001,6.767209E+000,4.413848E+001
9,Ethylbenzene,3.807338E+000,3.153459E+000,8.507191E+000,1.291121E+000,7.258946E+000,2.967962E+001,6.426139E+000,3.987619E+001
9,Propylbenzene,2.917742E+000,3.431167E+000,9.597507E+000,0.000000E+000,8.716885E+000,2.650978E+001,9.787379E+000,3.903954E+001
9,m_p-Xylene,6.608408E+000,3.189134E+000,1.110118E+001,0.000000E+000,1.735538E+001,3.685049E+001,3.404097E+000,2.149131E+001
9,o-Xylene,4.514884E+000,3.530481E+000,7.319740E+000,2.375516E-001,9.586926E+000,3.669194E+001,5.397243E+000,3.272123E+001
9,p-Isopropyl Toluene,2.351888E+000,4.456892E+000,5.483289E+000,1.556726E+001,2.248849E+000,4.542340E+000,3.197162E+001,3.337786E+001
9,Naphthalene,1.319612E+000,8.260118E+000,0.000000E+000,2.407370E+000,0.000000E+000,4.419785E+001,2.134262E+001,2.247243E+001
9,Methanol,5.125278E+000,8.601073E+001,0.000000E+000,1.515208E+000,5.872658E-001,2.653712E+000,2.396272E+000,1.711539E+000
9,Ethanol,4.346390E+000,0.000000E+000,1.386630E+000,8.964062E+001,1.982065E-001,0.000000E+000,0.000000E+000,4.428154E+000
9,Phenol,2.247487E+001,2.770001E+000,0.000000E+000,4.354231E+000,6.133615E+000,2.017994E+000,3.934217E+001,2.290712E+001
9,Isovaleraldehyde,4.844308E+001,8.020701E-002,0.000000E+000,1.029350E+001,1.155297E+001,1.235763E+001,1.027063E+001,7.001975E+000
9,Hexaldehyde,5.731297E+001,0.000000E+000,0.000000E+000,1.066950E+001,1.267870E+001,1.199391E+001,7.344921E+000,0.000000E+000
