**** Run Comparison Statistics ****

Concentration of Species	Lowest Q (Robust) Run = Run 8

Factor 1		Statistics Over All Runs
	Lowest Q	Min	25th	50th	75th	Max	Mean    	Std Dev	RSD % mean	RSD % Lowest Q
N-Pentane	  0.05403	  0.00000	  0.04722	  0.05486	  0.05643	  0.11202	  0.05182	  0.02649	  0.51121	  0.49030
Isopentane	  0.01716	  0.00000	  0.02469	  0.04198	  0.06677	  0.12193	  0.04800	  0.02902	  0.60472	  1.69104
2-Methyl pentane	  0.00928	  0.00000	  0.00232	  0.02293	  0.07428	  0.16526	  0.04201	  0.04270	  1.01640	  4.60086
Butene	  0.21616	  0.11210	  0.20343	  0.21154	  0.21580	  0.40247	  0.21820	  0.07325	  0.33569	  0.33886
Propylene	  0.92232	  0.10795	  0.71990	  0.76914	  0.91571	  1.79938	  0.84861	  0.40913	  0.48212	  0.44359
cis-2-Pentene	  0.01117	  0.00380	  0.01128	  0.01313	  0.01364	  0.02348	  0.01317	  0.00412	  0.31266	  0.36880
Isoprene	  0.09989	  0.09714	  0.10465	  0.24583	  0.40928	  0.88786	  0.31982	  0.24737	  0.77347	  2.47634
alpha-Pinene	  0.10762	  0.10389	  0.11066	  0.13405	  0.15070	  0.26172	  0.14810	  0.04936	  0.33330	  0.45869
MVK	  0.00000	  0.00000	  0.00000	  0.06308	  0.16498	  0.36060	  0.09926	  0.11187	  1.12709	  0.00000
Benzene	  0.20849	  0.00000	  0.21638	  0.28130	  0.30824	  0.34059	  0.25241	  0.08026	  0.31799	  0.38499
Toluene	  0.07619	  0.04139	  0.07196	  0.07405	  0.07744	  0.20391	  0.09077	  0.04525	  0.49853	  0.59389
Ethylbenzene	  0.01255	  0.00463	  0.01099	  0.01165	  0.01261	  0.03266	  0.01433	  0.00775	  0.54058	  0.61715
Propylbenzene	  0.00134	  0.00000	  0.00119	  0.00120	  0.00131	  0.00638	  0.00168	  0.00153	  0.91098	  1.14274
m_p-Xylene	  0.03349	  0.00000	  0.02310	  0.02774	  0.03321	  0.08952	  0.03360	  0.02395	  0.71270	  0.71497
o-Xylene	  0.01292	  0.00000	  0.00858	  0.01062	  0.01285	  0.03863	  0.01357	  0.01037	  0.76389	  0.80225
p-Isopropyl Toluene	  0.00355	  0.00173	  0.00407	  0.00756	  0.00775	  0.01589	  0.00690	  0.00388	  0.56257	  1.09414
Naphthalene	  0.00000	  0.00000	  0.00000	  0.00000	  0.00094	  0.00813	  0.00128	  0.00265	  2.07082	  0.00000
Methanol	 39.87211	 23.59122	 39.29152	 43.65941	 46.16443	 57.08886	 42.60391	  7.73468	  0.18155	  0.19399
Ethanol	  2.03002	  0.86451	  1.98118	  2.13286	  2.19010	  3.78599	  2.13481	  0.69353	  0.32487	  0.34164
Phenol	  0.70874	  0.68890	  0.73417	  0.82207	  0.83875	  1.63052	  0.87133	  0.25990	  0.29828	  0.36670
Formaldehyde	  0.93401	  0.69783	  1.01829	  1.28307	  2.45753	  4.16528	  1.73382	  1.12521	  0.64898	  1.20471
Acetaldehyde	  0.00000	  0.00000	  0.00000	  0.00000	  0.05142	  0.90430	  0.08628	  0.21366	  2.47636	  0.00000
Isovaleraldehyde	  0.27260	  0.11318	  0.26165	  0.26749	  0.27740	  0.56690	  0.28812	  0.10358	  0.35951	  0.37998
Hexaldehyde	  0.75633	  0.22348	  0.67471	  0.69182	  0.75753	  1.62753	  0.77611	  0.32834	  0.42306	  0.43412
