**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 11

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00589,  0.00472,  0.00541,  0.00547,  0.00584,  0.00635,  0.00558,  0.00034,  0.06152,  0.05821
Chloroform,  0.00079,  0.00040,  0.00056,  0.00060,  0.00076,  0.00086,  0.00064,  0.00013,  0.19911,  0.16047
Trichlorofluoromethane,  0.00581,  0.00298,  0.00325,  0.00549,  0.00632,  0.01114,  0.00563,  0.00258,  0.45729,  0.44345
Dichlorodifluoromethane,  0.01032,  0.00601,  0.00862,  0.01024,  0.01077,  0.01773,  0.01078,  0.00357,  0.33084,  0.34548
Carbon Tetrachloride,  0.00121,  0.00000,  0.00020,  0.00109,  0.00126,  0.00249,  0.00102,  0.00078,  0.76769,  0.64915
1_1_2-Trichlorotrifluoroethane,  0.00160,  0.00099,  0.00105,  0.00131,  0.00169,  0.00335,  0.00163,  0.00082,  0.50370,  0.51546
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00039,  0.00016,  0.00019,  0.00032,  0.00039,  0.00083,  0.00038,  0.00022,  0.58638,  0.58196
Tetrachloroethene,  0.00018,  0.00004,  0.00015,  0.00019,  0.00020,  0.00022,  0.00017,  0.00005,  0.30492,  0.28625
1_2-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00005,  0.00005,  0.00002,  0.00002,  1.27879,  0.00000
1_4-Dichlorobenzene,  0.00016,  0.00000,  0.00005,  0.00007,  0.00014,  0.00016,  0.00009,  0.00006,  0.66564,  0.36515
PCBTF,  0.00084,  0.00041,  0.00073,  0.00089,  0.00100,  0.00103,  0.00083,  0.00021,  0.25647,  0.25428
N-Butane,  0.00043,  0.00000,  0.00138,  0.00250,  0.00335,  0.00534,  0.00248,  0.00148,  0.59764,  3.42921
Isobutane,  0.00114,  0.00024,  0.00104,  0.00411,  0.00636,  0.00674,  0.00380,  0.00254,  0.66867,  2.22810
N-Pentane,  0.00054,  0.00000,  0.00000,  0.00044,  0.00091,  0.00123,  0.00043,  0.00046,  1.06514,  0.85605
