**** Analysis Summary ****

Time of run: ,05/02/23 20:18
Concentration file: ,C:\Users\Shenglun\OneDrive - University of California, Davis\Documents\LA_2021_summer\VCP sampling\PMF_data\PMF_input_conc_cor_v3.csv
Uncertainty file: ,C:\Users\Shenglun\OneDrive - University of California, Davis\Documents\LA_2021_summer\VCP sampling\PMF_data\PMF_input_uncertainty_cor_v3.csv
Configuration file: ,C:\Users\Shenglun\OneDrive - University of California, Davis\Documents\EPA PMF\Data\Redlands_VOC_2023.cfg


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
Dichloromethane,Strong,      7.7,  0.00907,  0.07957,  0.12222,  0.17640,  0.42224,  94.74 %, 100.00 %
Chloroform,Strong,      7.8,  0.00163,  0.01390,  0.02290,  0.03589,  0.07860,  94.74 %, 100.00 %
Trichlorofluoromethane,Strong,      8.8,  0.00987,  0.19262,  0.24640,  0.33457,  0.73528,  94.74 %, 100.00 %
Dichlorodifluoromethane,Strong,      9.3,  0.01260,  0.34842,  0.41837,  0.51291,  1.29920,  94.74 %, 100.00 %
Carbon Tetrachloride,Strong,      8.9,  0.00321,  0.05564,  0.07524,  0.09668,  0.19656,  94.74 %, 100.00 %
1_1_2-Trichlorotrifluoroethane,Strong,      8.3,  0.00523,  0.06313,  0.07616,  0.10398,  0.21336,  94.74 %, 100.00 %
1_2-Dichloro-1_1_2_2-tetrafluoroethane,Strong,      8.7,  0.00037,  0.01411,  0.01669,  0.02153,  0.04536,  94.74 %, 100.00 %
Tetrachloroethene,Strong,      7.5,  0.00027,  0.00216,  0.00618,  0.00896,  0.01670,  94.74 %, 100.00 %
1_2-Dichlorobenzene,Strong,      6.5,  0.00003,  0.00003,  0.00382,  0.00720,  0.03605,  94.74 %, 100.00 %
1_4-Dichlorobenzene,Strong,      6.9,  0.00005,  0.00005,  0.00328,  0.00636,  0.09721,  94.74 %, 100.00 %
PCBTF,Strong,      9.0,  0.00008,  0.00385,  0.01169,  0.02205,  0.05055,  94.74 %, 100.00 %
N-Butane,Strong,      8.3,  0.01133,  0.20595,  0.40472,  0.62734,  1.98827,  94.74 %, 100.00 %
Isobutane,Strong,      8.5,  0.00117,  0.10650,  0.25759,  0.38195,  0.92555,  94.74 %, 100.00 %
N-Pentane,Strong,      7.6,  0.00033,  0.00475,  0.07845,  0.13695,  0.43545,  94.74 %, 100.00 %
Isopentane,Strong,      8.7,  0.00417,  0.15135,  0.33368,  0.55873,  1.18045,  94.74 %, 100.00 %
2-Methyl pentane,Strong,      8.1,  0.00473,  0.07383,  0.32372,  0.53972,  1.23013,  94.74 %, 100.00 %
Butene,Strong,      7.4,  0.01483,  0.11125,  0.22070,  0.30350,  0.76800,  94.74 %, 100.00 %
Propylene,Strong,      6.8,  0.03033,  0.18750,  0.37095,  0.55045,  2.19855,  94.74 %, 100.00 %
cis-2-Pentene,Strong,      6.7,  0.00065,  0.00065,  0.00935,  0.01514,  0.03780,  94.74 %, 100.00 %
Isoprene,Strong,      6.8,  0.11486,  0.32573,  0.61814,  0.79597,  1.17569,  94.74 %, 100.00 %
alpha-Pinene,Strong,      5.8,  0.04898,  0.09136,  0.13188,  0.16103,  0.25407,  94.74 %, 100.00 %
MVK,Strong,      7.6,  0.03015,  0.14438,  0.29928,  0.40477,  1.53982,  94.74 %, 100.00 %
Benzene,Strong,      4.4,  0.03365,  0.03365,  0.22304,  0.38003,  1.25868,  94.74 %, 100.00 %
Toluene,Strong,      8.8,  0.00688,  0.11816,  0.29067,  0.50319,  1.25990,  94.74 %, 100.00 %
Ethylbenzene,Strong,      8.8,  0.00101,  0.01909,  0.04531,  0.07893,  0.14906,  94.74 %, 100.00 %
Propylbenzene,Strong,      7.7,  0.00059,  0.00392,  0.01120,  0.01786,  0.03156,  94.74 %, 100.00 %
m_p-Xylene,Strong,      8.9,  0.00116,  0.03503,  0.05956,  0.09596,  0.18752,  94.74 %, 100.00 %
o-Xylene,Strong,      8.8,  0.00101,  0.02122,  0.04388,  0.07402,  0.14051,  94.74 %, 100.00 %
p-Isopropyl Toluene,Strong,      7.8,  0.00059,  0.00544,  0.01995,  0.03262,  0.13012,  94.74 %, 100.00 %
Naphthalene,Strong,      6.9,  0.00101,  0.00101,  0.01949,  0.03032,  0.06888,  94.74 %, 100.00 %
Methanol,Strong,      6.9,  0.02651,  0.02651, 28.23408, 85.12756,483.56224,  94.74 %, 100.00 %
Ethanol,Strong,      8.0,  0.03000,  0.18000,  4.96500,  8.73500, 26.16000,  94.74 %, 100.00 %
Phenol,Strong,      7.2,  0.02621,  0.21217,  0.33784,  0.48304,  0.92431,  94.74 %, 100.00 %
Formaldehyde,Strong,      3.4,  0.49238,  2.98263,  3.97483,  4.65113,  6.44394,  94.74 %, 100.00 %
Acetaldehyde,Strong,      4.1,  0.21390,  1.42033,  2.13688,  2.60905,  4.12253,  94.74 %, 100.00 %
Isovaleraldehyde,Strong,      5.6,  0.00428,  0.05154,  0.06932,  0.09109,  0.27216,  94.74 %, 100.00 %
Hexaldehyde,Strong,      5.8,  0.00911,  0.09450,  0.16250,  0.23888,  0.88146,  94.74 %, 100.00 %
m_p-Tolualdehyde,Strong,      3.4,  0.00019,  0.00019,  0.00159,  0.00204,  0.00345,  94.74 %, 100.00 %
Phenylacetaldehyde,Strong,      5.6,  0.01943,  0.01943,  0.16115,  0.23107,  0.39177,  94.74 %, 100.00 %
Cyclohexanone,Strong,      5.9,  0.00012,  0.00143,  0.00238,  0.00310,  0.00738,  94.74 %, 100.00 %
Methyl acetate,Strong,      7.7,  0.00666,  0.05468,  0.18357,  0.37295,  0.95200,  94.74 %, 100.00 %
n-Butyl acetate,Strong,      8.6,  0.00163,  0.04903,  0.11596,  0.22482,  0.69510,  94.74 %, 100.00 %
Diethylphthalate,Bad,      6.5,  0.00239,  0.00239,  0.08010,  0.27813,  0.68848,   0.00 %, 100.00 %
D5-Siloxane,Strong,      8.8,  0.00016,  0.05498,  0.12819,  0.17836,  0.35360,  94.74 %, 100.00 %
O3_form,Bad,      8.8, 19.05586, 44.77196, 55.61542, 68.13959, 88.62234,   0.00 %, 100.00 %
b1_b2_3hr,Bad,      8.9,  0.71426,  6.00982,  8.46680, 13.12223, 36.12959,   0.00 %, 100.00 %
b3_b2_3hr,Bad,      8.7, -1.39950,  2.00000,  3.55686,  6.56630,  9.30327,   0.00 %, 100.00 %
NOx,Bad,      9.1,  3.11288,  8.68820, 11.48000, 16.09059, 28.96164,   0.00 %, 100.00 %

Excluded Samples
07/11/21
07/20/21
08/13/21
09/07/21
09/09/21
09/24/21


**** Base Run Summary ****

Number of base runs:  ,100
Base random seed:  ,69
Number of factors:  ,9
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
10,22909.98280,12856.26357,13864.44494,22902.92999,12825.28336,20736.12671,13854.70471,17489.06833,12826.85843,
11,16855.24161,697.16740,4282.60164,16852.10073,682.62413,13755.64637,4272.50845,15209.26762,681.40773,12100.10971,
12,17531.48348,4277.55718,0.11978,17535.04400,4318.85063,15040.90845,0.25586,14924.34853,4320.29081,13856.07821,4281.60335,
13,17529.32752,4258.15774,0.52640,17532.86001,4299.50211,15029.68233,0.14898,14924.86468,4300.91785,13846.90600,4264.18621,0.25514,
14,10770.72089,16356.84232,16955.88679,10763.75794,16346.97101,19131.05245,16962.86092,16913.28271,16347.58873,20733.55197,15488.20728,16962.84839,16961.88287,
15,17526.54400,4276.79653,0.18100,17530.08725,4318.06797,15038.42377,0.25360,14920.19669,4319.51443,13855.00937,4281.36008,0.07659,0.22679,16957.63437,
16,17531.42746,4270.24355,0.30456,17535.00541,4311.66150,15040.50316,0.06259,14928.99587,4313.09588,13854.21419,4275.49283,0.15129,0.15699,16960.81359,0.13572,
17,18010.09634,0.03501,4281.04601,18006.21802,3.01848,14384.72557,4267.66294,16154.71351,2.96197,12853.74099,696.73646,4278.88468,4259.50386,16357.93108,4278.12044,4271.58809,
18,17523.41369,4260.55308,0.40622,17526.94570,4301.84784,15027.81642,0.23277,14921.46249,4303.28436,13846.73798,4266.47564,0.20709,0.08412,16955.34183,0.18352,0.22146,4261.87805,
19,18003.51885,2.70864,4317.22344,17999.59678,0.07039,14350.30707,4304.10337,16146.18423,0.10388,12830.82810,686.13024,4315.12731,4295.76570,16350.02721,4314.34554,4307.92207,2.26803,4298.11386,
20,16862.15027,665.28233,4274.22117,16859.01217,649.71025,13749.07237,4264.17838,15213.74360,648.51085,12097.47644,0.59972,4273.22927,4255.81519,15493.05806,4272.99342,4267.15248,664.75378,4258.08771,653.29946,
21,18007.41517,0.02214,4279.26637,18003.54434,3.55518,14387.74276,4265.86862,16153.30598,3.47356,12855.63866,696.65276,4277.10374,4257.72788,16355.10681,4276.34287,4269.80481,0.04756,4260.11789,2.73979,664.75976,
22,17527.56197,4260.46614,0.43731,17531.11129,4301.84554,15030.69521,0.09269,14925.46091,4303.26696,13849.99536,4266.36467,0.22995,0.03751,16958.64483,0.18253,0.09104,4261.81291,0.07522,4298.10599,4258.00761,4260.03708,
23,17530.20647,4271.64373,0.17782,17533.75303,4313.02003,15038.20282,0.14099,14926.08352,4314.44703,13855.55419,4276.83351,0.05574,0.12137,16962.47743,0.08159,0.11575,4272.98908,0.10533,4309.28555,4268.47001,4271.20153,0.10721,
24,21125.94809,13943.06144,12848.86218,21123.06780,13937.81906,18254.76656,12857.84590,15055.93873,13939.55445,11982.81351,13459.88702,12853.03757,12857.41764,13413.02513,12854.12556,12858.21598,13940.52843,12853.66198,13941.45372,13457.59352,13944.04513,12857.18844,12854.56842,
25,10819.90630,17718.34137,18197.24097,10810.09006,17643.47236,10978.65956,18209.49675,10243.31730,17644.75503,14794.23323,16910.91286,18201.54146,18202.93619,17104.79780,18203.23654,18206.92044,17714.11487,18200.23585,17654.87323,16900.58061,17721.04988,18205.10806,18203.89544,14993.48834,
26,18019.65870,1.57695,4255.16392,18015.86442,7.93616,14407.45755,4241.58201,16162.97510,7.57503,12877.80562,701.27674,4252.98689,4233.50885,16372.17610,4252.26874,4245.66458,1.79864,4235.95498,6.77312,669.78589,1.53579,4235.84129,4247.00627,13942.23285,17759.97356,
27,22910.74088,12860.18752,13866.57107,22903.70179,12829.19420,20739.33810,13856.82637,17488.52760,12830.76088,0.02677,12103.23286,13858.20975,13849.04167,20733.73384,13857.14179,13856.33631,12857.66918,13848.88155,12834.74544,12100.61692,12859.56430,13852.12801,13857.68543,11982.02901,14793.97772,12881.73695,
28,13396.07005,12775.60420,11180.38066,13387.91999,12799.93754,11655.21916,11187.95604,8356.07288,12797.49840,18215.38518,12063.11776,11184.06704,11179.21420,18639.43131,11179.80771,11186.21430,12778.23457,11177.60790,12800.15502,12066.88897,12774.43645,11179.68810,11182.86601,15155.06035,14624.62493,12752.11437,18214.96261,
29,18012.37548,0.04455,4275.13450,18008.50215,4.21918,14393.23780,4261.67108,16158.10009,4.14608,12859.91848,700.14307,4272.95309,4253.54816,16359.38811,4272.18835,4265.62629,0.11032,4255.93720,3.31193,668.33260,0.05119,4255.85379,4267.03454,13944.82683,17728.73086,1.35817,12863.84866,12775.77781,
30,12806.78721,18362.22462,18197.43425,12797.53991,18307.03194,10989.88616,18213.47533,7773.24454,18307.81278,14968.97859,17630.67762,18203.49809,18203.55821,18497.47816,18201.72530,18209.09665,18358.74072,18199.06088,18315.88647,17622.64647,18364.03527,18205.13985,18205.18509,13802.34165,7329.47865,18396.97398,14968.66573,11943.29052,18370.51390,
31,17532.90355,4280.82665,0.26576,17536.50178,4322.47196,15050.01494,0.10851,14933.71990,4323.89277,13859.23184,4286.56262,0.17739,0.29911,16964.33167,0.18980,0.09902,4282.18939,0.34349,4318.70619,4278.23243,4280.37809,0.21783,0.14621,12855.49375,18210.90423,4256.08352,13861.34490,11189.15817,4276.19520,18214.05461,
32,22906.82480,12849.95926,13860.33887,22899.78201,12819.00603,20733.14239,13850.58230,17487.95212,12820.58169,0.02194,12094.27547,13851.97562,13842.79796,20731.99511,13850.90858,13850.09936,12847.43307,13842.62487,12824.54120,12091.63303,12849.33004,13845.87712,13851.45124,11980.68642,14794.67228,12871.46454,0.05564,18212.55133,12853.60695,14968.77778,13855.10910,
33,18010.35127,1.06025,4257.95045,18006.53048,7.86767,14411.57701,4244.36636,16160.80116,7.67686,12869.61748,703.86101,4255.75788,4236.34228,16361.02543,4255.02110,4248.41158,1.31795,4238.76249,6.62173,672.46475,1.00408,4238.64551,4249.80668,13946.84559,17759.54776,0.48906,12873.55772,12758.70162,0.75939,18394.55030,4258.83546,12863.28070,
34,17999.36066,5.95810,4337.58027,17995.43690,0.36990,14329.23005,4324.59528,16138.48779,0.35063,12819.01843,678.79474,4335.53206,4316.15535,16346.61271,4334.75224,4328.37043,5.32619,4318.51551,0.70514,645.56882,6.01390,4318.51954,4329.70257,13938.66731,17621.58383,10.95094,12822.91351,12806.64776,6.88280,18290.56194,4339.23613,12812.75091,11.24107,
35,17531.87695,4285.38280,0.03842,17535.45184,4326.70651,15046.42093,0.36069,14928.12434,4328.14830,13871.23417,4289.05304,0.11606,0.49539,16962.44848,0.14968,0.26952,4286.72207,0.41225,4322.98956,4280.70517,4284.92754,0.41114,0.15346,12853.88487,18208.84263,4260.81083,13873.35657,11185.11188,4280.78260,18207.71284,0.23009,13867.13879,4263.57968,4343.39743,
