
Factor Contributions (avg = 1) from Base Run #4 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9
4,08/17/21,9.856600E-001,1.141400E+000,3.157900E+000,5.050100E-001,-2.000000E-001,2.202000E+000,9.061400E-001,1.219800E+000,8.282500E-001
4,08/18/21,6.826500E-001,-6.681200E-002,7.460400E-002,-1.245100E-001,1.234900E-001,1.340000E+000,-6.941800E-002,5.360700E-002,1.784500E+000
4,08/19/21,5.668700E-001,-6.574000E-002,1.439700E-001,-1.383400E-001,1.375600E-001,1.034200E+000,-7.004000E-002,-6.583800E-002,2.045400E+000
4,08/20/21,-2.000000E-001,7.095300E-001,3.231400E+000,1.459600E+000,1.335800E+000,2.599900E+000,6.533100E-001,2.730900E+000,1.326700E+000
4,08/21/21,2.151000E-001,1.510900E+000,3.085800E-002,-2.000000E-001,-5.806800E-002,6.106900E-001,-1.635800E-001,3.581400E+000,2.336400E-001
4,08/22/21,1.429700E-001,8.532400E-002,2.180300E+000,9.251300E-001,7.879900E-001,-1.199600E-001,-8.193100E-002,4.316600E-001,2.213700E+000
4,08/23/21,1.978200E-001,4.753900E-001,2.043500E+000,8.645600E-001,1.204600E+000,3.270200E-001,8.857400E-001,8.372600E-001,1.642100E+000
4,08/24/21,9.455700E-001,7.979700E-001,2.878100E+000,3.252200E-001,9.759700E-001,7.733200E-001,-1.639200E-001,1.058600E+000,1.590100E+000
4,08/25/21,1.771100E+000,8.533800E-001,1.857500E+000,8.870000E-001,1.531100E+000,-6.626100E-002,-1.944400E-001,1.821500E+000,7.980600E-001
4,08/26/21,2.554400E+000,8.518000E-001,9.644500E-001,-5.360600E-002,8.779300E-001,1.502400E+000,-2.000000E-001,5.991400E-001,1.262200E+000
4,08/27/21,2.284100E+000,-2.000000E-001,1.492700E+000,6.095200E-001,1.216000E+000,-1.796200E-001,1.761300E+000,3.352100E-001,7.200700E-001
4,08/28/21,2.625900E+000,3.425300E-001,2.023500E+000,9.093800E-001,1.620500E+000,2.067400E-001,2.237400E+000,3.068300E-001,1.040600E-001
4,08/29/21,2.379600E+000,5.030100E-001,1.580900E+000,2.006700E-001,1.218600E+000,4.278700E-001,1.867900E+000,7.673100E-002,6.535000E-001
4,08/30/21,9.786600E-001,-7.648000E-003,-2.903200E-002,2.762700E-002,-3.067900E-002,-1.976200E-003,6.798100E-003,-2.369700E-002,-2.000000E-001
4,08/31/21,-1.753000E-001,4.747200E-001,3.522000E+000,1.701200E+000,1.779800E+000,7.024700E-001,1.765400E+000,2.422000E+000,4.452000E-001
4,09/01/21,2.373700E-002,1.200100E+000,1.000100E+000,4.919300E-001,1.108600E+000,-2.000000E-001,1.518400E+000,7.202200E-001,1.661000E+000
4,09/02/21,-2.000000E-001,-4.670600E-002,2.604400E+000,9.262300E-001,1.204300E+000,3.004700E-001,2.565300E+000,1.702300E+000,1.533400E+000
4,09/03/21,8.858400E-001,4.874400E-001,1.521600E+000,3.587300E-001,1.211500E+000,6.101200E-001,1.951500E+000,3.357500E-001,7.001700E-001
4,09/04/21,8.863200E-001,-6.464200E-003,-2.959300E-002,2.511700E-002,-2.244400E-002,-9.906300E-004,1.040800E-002,-2.092000E-002,-2.000000E-001
4,09/05/21,2.226800E+000,3.469800E-001,5.584200E-001,-1.862100E-001,5.563000E-001,1.336300E-001,1.112400E+000,-2.000000E-001,9.458000E-001
4,09/06/21,1.571700E+000,1.878100E-001,2.742200E+000,1.115700E+000,1.184800E+000,3.123000E-001,2.041700E+000,3.703100E-001,4.874500E-001
4,09/07/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
4,09/08/21,1.277200E+000,8.305200E-001,2.268000E+000,2.128600E+000,2.043400E+000,3.177700E-001,1.654900E+000,2.106300E+000,-2.000000E-001
4,09/09/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
4,09/10/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
4,09/11/21,2.271100E+000,-1.550100E-001,1.505100E+000,-2.000000E-001,6.716000E-001,2.962800E-001,2.142000E+000,4.542300E-001,6.009000E-001
4,09/12/21,2.728900E+000,-1.204600E-001,3.749600E-001,-1.399000E-001,4.246200E-001,-2.265000E-002,9.603900E-001,-1.407700E-001,9.144400E-001
4,09/13/21,2.388400E+000,-1.709400E-001,8.532100E-001,2.735500E-001,6.898200E-001,2.523100E+000,1.492900E+000,2.547400E-001,5.908300E-001
4,09/14/21,1.597800E+000,-1.477600E-001,2.086400E+000,6.982200E-001,1.934200E-001,6.000100E+000,1.074800E+000,1.086200E+000,1.172100E+000
4,09/15/21,9.851800E-001,-1.843400E-001,2.238700E+000,1.125800E+000,9.120900E-001,3.831700E+000,1.663200E+000,2.012600E+000,6.083200E-001
4,09/16/21,5.728200E-001,-2.000000E-001,3.289200E+000,1.543500E+000,1.145900E+000,3.006400E+000,1.939700E+000,1.839900E+000,5.121700E-001
4,09/17/21,-1.218900E-001,-1.453600E-001,3.549800E+000,1.357100E+000,1.021600E+000,1.342300E+000,1.102800E+000,1.940700E+000,6.409200E-001
4,09/18/21,6.411200E-001,-1.379700E-001,2.622200E+000,7.569500E-001,7.897400E-001,9.641900E-001,1.286900E+000,1.486400E+000,7.643600E-001
4,09/19/21,3.982000E-001,-1.208800E-001,1.862900E+000,4.015100E-001,6.677200E-001,7.779500E-001,1.020900E+000,3.097500E-001,1.205000E+000
4,09/20/21,1.413600E+000,-1.677000E-001,1.909600E+000,9.839700E-001,9.294600E-001,1.203700E+000,1.350200E+000,1.303000E+000,6.146600E-001
4,09/21/21,2.471900E+000,-9.302700E-002,2.913600E-001,-1.026900E-001,2.243700E-001,3.443500E-001,1.236500E+000,-9.196300E-002,9.763900E-001
4,09/22/21,2.045000E+000,-1.576000E-001,1.529700E+000,2.047300E-001,9.029500E-001,2.461900E-001,1.090000E+000,4.093200E-001,5.587000E-001
4,09/23/21,1.736000E+000,-1.302100E-001,1.131200E+000,4.040400E-001,6.653800E-001,1.623400E-001,1.159400E+000,1.125400E+000,9.102900E-001
4,09/24/21,5.364200E-001,-1.789500E-001,3.407400E+000,1.141300E+000,6.416000E-001,8.717500E+000,1.512200E+000,1.686200E+000,4.678200E-001
4,09/25/21,9.632500E-001,-7.454100E-003,-2.913500E-002,2.720100E-002,-2.927000E-002,-1.811800E-003,7.403700E-003,-2.326900E-002,-2.000000E-001
4,09/26/21,7.399200E-001,-4.731500E-003,-2.965400E-002,2.087000E-002,-1.057700E-002,-8.297500E-005,1.559900E-002,-1.619200E-002,-1.874800E-001
4,09/27/21,2.204200E-001,-6.899300E-002,2.424400E+000,7.933700E-001,4.003700E-001,-8.131500E-002,-4.872500E-002,3.705600E-001,1.493800E+000
4,09/28/21,1.850000E-001,-5.401300E-002,2.056800E+000,1.603000E-001,2.503800E-001,-6.990300E-002,-5.041400E-002,6.490200E-001,1.297700E+000
4,09/29/21,4.637100E-001,-5.952100E-002,1.478100E+000,-1.419600E-001,2.980300E-001,2.063000E+000,-7.382600E-002,5.198000E-001,1.580300E+000
4,09/30/21,1.273900E+000,-6.954300E-002,1.206700E-001,-4.200900E-002,-2.000000E-001,2.974400E+000,1.052400E+000,3.028000E-002,1.371700E+000
4,10/01/21,1.064200E+000,-8.906900E-002,3.068000E-001,-1.612000E-001,2.921400E-001,3.486800E-001,9.188100E-001,2.692400E-001,1.492000E+000
4,10/02/21,1.664500E+000,-8.317200E-002,1.521100E-001,-1.272200E-001,1.929100E-001,2.005300E-001,6.385300E-001,-6.321100E-003,1.494700E+000
4,10/03/21,2.145300E+000,-9.108500E-002,7.743600E-001,-8.679100E-002,1.336900E-001,4.723200E-001,9.116600E-001,-1.349300E-001,1.201900E+000
4,10/04/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
4,10/05/21,5.032300E-001,-1.464100E-001,8.611200E-002,1.030800E+000,-1.848900E-001,4.000100E-001,-1.366600E-001,6.393700E-002,3.617000E+000
4,10/06/21,-2.000000E-001,8.391800E+000,2.191000E-001,7.494700E+000,4.003700E-002,-4.386900E-002,4.619100E-001,7.935600E-001,1.319000E+000
4,10/07/21,2.077800E-001,4.507900E+000,3.029800E-002,2.220200E+000,1.380800E-002,-6.422800E-002,-1.871200E-001,5.675800E-002,2.566100E+000
4,10/08/21,2.041000E-001,-1.900200E-003,-8.562900E-003,-1.978100E-003,3.051900E-003,-1.374800E-002,2.045300E-002,1.018500E-002,1.831100E-001
4,10/09/21,-2.000000E-001,6.231900E+000,7.307600E-002,5.227600E+000,1.798500E-002,-1.999900E-001,-2.000000E-001,-4.563800E-002,2.414900E+000
4,10/10/21,2.838600E-001,5.577600E+000,1.510800E+000,1.940900E+000,-2.000000E-001,4.919600E-001,2.499900E-001,-1.601300E-001,1.631800E+000
4,10/11/21,2.688900E-001,2.893100E+000,-2.000000E-001,2.418300E+000,-2.000000E-001,-1.796600E-001,-2.000000E-001,-2.000000E-001,3.961300E+000
4,10/12/21,3.008100E-001,-6.091400E-002,-2.000000E-001,8.135900E-001,-9.291000E-002,-1.683700E-001,6.623400E-002,1.443400E-001,3.899900E+000
4,10/13/21,2.818400E-001,-5.714400E-003,4.515400E-001,1.813400E+000,-2.000000E-001,-1.952400E-001,3.944300E-002,2.972600E-001,3.744600E+000
4,10/14/21,1.195800E-001,4.489500E+000,-2.000000E-001,3.671800E+000,-5.793500E-002,-1.566200E-001,8.318400E-003,4.169800E-001,2.432900E+000
4,10/15/21,9.637200E-001,-1.256000E-002,2.054700E-002,-4.074800E-003,-1.487000E-001,-5.337300E-002,-5.774500E-002,4.933100E-001,8.100800E-001
4,10/16/21,7.768400E-001,-5.126100E-003,-3.041600E-002,2.202300E-002,-1.214400E-002,1.767100E-004,1.472300E-002,-1.819200E-002,-2.000000E-001
4,10/17/21,7.780700E-001,5.073200E+000,-2.000000E-001,8.689600E-001,-4.168200E-002,-9.167200E-002,-1.225600E-001,-2.000000E-001,4.240400E-001
4,10/18/21,3.095200E-001,-4.584300E-003,-7.221600E-003,-2.614200E-003,-1.920500E-003,-1.801500E-002,1.398900E-002,2.286200E-003,2.430400E-001
4,10/19/21,1.809700E-001,6.113700E+000,-2.000000E-001,1.260500E+000,-3.610100E-002,-1.156000E-001,-1.495700E-001,8.354600E-002,7.861200E-001
4,10/20/21,2.431400E-001,7.257900E+000,3.730300E-001,1.702100E+000,-1.801800E-001,-1.134200E-001,-1.825100E-001,4.859300E-001,4.985800E-001
