**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 19

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Phenylacetaldehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  5.22805,  0.20276,  0.78712,  3.88213,  0.00000
Cyclohexanone, 14.41209,  0.40361, 13.40458, 14.36232, 14.58855, 29.84607, 14.17119,  2.71552,  0.19162,  0.18842
Methyl acetate,  4.04330,  0.00000,  1.42514,  3.13634,  4.06619, 16.24942,  2.98280,  2.33865,  0.78405,  0.57840
n-Butyl acetate,  4.62500,  0.00000,  4.40611,  4.62732,  4.76912, 23.73757,  4.69333,  2.69525,  0.57427,  0.58276
D5-Siloxane,  9.28772,  0.00000,  3.45993,  9.05367,  9.24865, 17.71791,  7.38883,  3.92923,  0.53178,  0.42306

Percent of Total Variable

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00767,  0.00644,  0.00761,  0.00777,  0.00856,  0.01011,  0.00801,  0.00072,  0.08940,  0.09341
Chloroform,  0.00159,  0.00149,  0.00159,  0.00167,  0.00188,  0.00225,  0.00175,  0.00019,  0.11055,  0.12137
Trichlorofluoromethane,  0.01055,  0.01019,  0.01048,  0.01385,  0.01504,  0.02250,  0.01345,  0.00303,  0.22524,  0.28723
Dichlorodifluoromethane,  0.03425,  0.02788,  0.03392,  0.03436,  0.03532,  0.04907,  0.03469,  0.00264,  0.07622,  0.07720
Carbon Tetrachloride,  0.00220,  0.00209,  0.00217,  0.00271,  0.00400,  0.00586,  0.00309,  0.00098,  0.31662,  0.44485
1_1_2-Trichlorotrifluoroethane,  0.00409,  0.00405,  0.00408,  0.00504,  0.00571,  0.00782,  0.00509,  0.00103,  0.20243,  0.25177
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00068,  0.00054,  0.00067,  0.00068,  0.00088,  0.00114,  0.00077,  0.00014,  0.18607,  0.21058
