
Factor Contributions (avg = 1) from Base Run #4 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9
4,08/17/21,9.495500E-001,-2.000000E-001,9.552400E-001,2.174800E+000,1.162400E+000,8.514100E-001,2.976800E+000,3.067600E+000,4.474900E-001
4,08/18/21,5.883900E-001,1.116100E-001,-4.782300E-002,-3.154000E-002,-3.850200E-002,1.797200E+000,1.785300E+000,-8.616300E-002,-1.268800E-001
4,08/19/21,5.502800E-001,9.287600E-002,-6.121300E-002,-9.266200E-002,-3.721700E-002,2.069100E+000,1.360700E+000,4.584000E-002,-1.135300E-001
4,08/20/21,-2.000000E-001,1.477400E+000,5.813700E-001,3.222300E+000,6.902400E-001,9.258000E-001,3.466200E+000,3.065000E+000,1.378300E+000
4,08/21/21,9.195200E-002,1.024700E-001,-1.684900E-001,4.307400E+000,1.450100E+000,4.335300E-001,8.016800E-001,-2.000000E-001,-2.000000E-001
4,08/22/21,3.747100E-001,6.929000E-001,-1.698300E-001,9.911900E-001,1.041100E-001,1.965900E+000,-1.371300E-001,2.452900E+000,9.334600E-001
4,08/23/21,2.766000E-001,1.016300E+000,8.669900E-001,1.373400E+000,4.748200E-001,1.615300E+000,4.669500E-001,2.373900E+000,8.390700E-001
4,08/24/21,1.206900E+000,1.049600E+000,-2.000000E-001,1.626600E+000,7.875100E-001,1.321600E+000,1.018900E+000,2.624600E+000,2.987200E-001
4,08/25/21,2.098700E+000,1.626100E+000,-1.898800E-001,1.956000E+000,8.070400E-001,5.277200E-001,-1.220800E-001,1.831200E+000,8.767500E-001
4,08/26/21,2.750700E+000,1.030900E+000,-9.136800E-002,3.949800E-001,8.336500E-001,8.814600E-001,1.985900E+000,7.198400E-001,-1.312000E-001
4,08/27/21,2.419900E+000,1.129200E+000,1.903900E+000,4.553300E-001,-2.000000E-001,6.603500E-001,-1.966500E-001,1.535300E+000,6.144900E-001
4,08/28/21,2.571100E+000,1.486600E+000,2.448800E+000,4.495100E-001,3.351400E-001,2.076900E-001,3.104400E-001,2.119600E+000,8.542900E-001
4,08/29/21,2.524300E+000,1.140700E+000,1.956100E+000,1.240400E-001,4.972300E-001,7.193900E-001,6.070600E-001,1.551800E+000,1.661900E-001
4,08/30/21,8.772500E-001,-2.105800E-003,5.137500E-002,-4.830800E-002,-6.617300E-003,-2.000000E-001,-1.019300E-002,-2.820800E-002,1.462000E-002
4,08/31/21,-1.319000E-001,1.583900E+000,1.737200E+000,3.480000E+000,4.716000E-001,4.092900E-001,9.772300E-001,3.807600E+000,1.583500E+000
4,09/01/21,-8.143400E-002,9.824000E-001,1.588900E+000,1.044500E+000,1.168500E+000,1.884600E+000,-1.995200E-001,1.192000E+000,5.004000E-001
4,09/02/21,-2.000000E-001,1.004800E+000,2.618200E+000,2.512600E+000,-2.742200E-002,1.518700E+000,5.031500E-001,2.840300E+000,9.116700E-001
4,09/03/21,9.326300E-001,1.182300E+000,2.016200E+000,3.694500E-001,4.739500E-001,6.340300E-001,8.628800E-001,1.623700E+000,3.079400E-001
4,09/04/21,7.885600E-001,7.292200E-004,5.016100E-002,-4.227600E-002,-5.643600E-003,-1.832600E-001,-9.134200E-003,-2.738800E-002,1.311100E-002
4,09/05/21,2.293400E+000,4.472200E-001,1.259600E+000,-1.721800E-001,3.536000E-001,1.055900E+000,2.032300E-001,5.650900E-001,-1.728500E-001
4,09/06/21,1.848000E+000,1.135800E+000,1.986100E+000,6.433000E-001,1.856800E-001,2.083500E-001,4.858300E-001,2.978800E+000,1.086100E+000
4,09/07/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
4,09/08/21,1.227200E+000,2.142000E+000,1.685400E+000,2.067600E+000,7.676100E-001,-2.000000E-001,4.350500E-001,2.306800E+000,2.077400E+000
4,09/09/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
4,09/10/21,1.253400E+000,1.536200E+000,1.744300E+000,1.110200E+000,1.754800E+000,-1.030600E-001,8.850200E-001,2.644900E+000,1.193400E+000
4,09/11/21,2.173200E+000,5.772600E-001,2.301700E+000,8.169100E-001,-1.360200E-001,5.906800E-001,4.587000E-001,1.433400E+000,-2.000000E-001
4,09/12/21,2.875300E+000,3.470200E-001,1.138700E+000,-1.479300E-001,-1.018300E-001,7.956700E-001,-3.564800E-003,3.716300E-001,-1.148100E-001
4,09/13/21,2.289900E+000,6.325300E-001,1.672500E+000,3.104600E-002,-1.414900E-001,5.577200E-001,3.244100E+000,7.893600E-001,1.948500E-001
4,09/14/21,1.430000E+000,3.604300E-001,1.145000E+000,8.258800E-001,-9.663700E-002,6.355800E-001,7.822400E+000,1.733500E+000,5.199900E-001
4,09/15/21,8.190900E-001,1.110900E+000,1.699000E+000,1.915800E+000,-1.801200E-001,1.869600E-001,5.112800E+000,1.911200E+000,1.002700E+000
4,09/16/21,4.806000E-001,1.230100E+000,1.946100E+000,2.174500E+000,-2.000000E-001,2.106600E-001,4.074800E+000,3.092600E+000,1.425100E+000
4,09/17/21,-2.080200E-002,9.744400E-001,1.037900E+000,2.835000E+000,-1.439200E-001,4.924600E-001,1.795100E+000,3.551900E+000,1.274100E+000
