
Factor Profiles (conc. of species) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
11,n-Butyl acetate,5.009300E-002,4.511000E-003,9.782000E-003,0.000000E+000,8.199400E-003,4.205100E-003,0.000000E+000,3.448500E-003,6.182600E-002,0.000000E+000
11,D5-Siloxane,3.017000E-003,9.369700E-003,1.973400E-003,0.000000E+000,9.995300E-003,3.315300E-003,1.449500E-003,1.047000E-002,2.944600E-002,4.552300E-002

Factor Profiles (% of species sum) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
11,Dichloromethane,6.594549E+000,7.192720E+000,7.787764E+000,1.994197E+001,6.203517E-001,4.969339E+000,5.483580E+000,3.004722E+000,3.748628E+001,6.918725E+000
11,Chloroform,3.517476E+000,4.042445E+000,6.656336E+000,1.646486E+001,6.182969E+000,2.373443E+000,4.943840E-001,3.017598E+000,4.968046E+001,7.570026E+000
11,Trichlorofluoromethane,5.292135E-001,4.538014E+000,1.435761E+001,2.640047E+001,0.000000E+000,4.153722E+000,1.469264E+001,0.000000E+000,3.532833E+001,0.000000E+000
11,Dichlorodifluoromethane,4.392036E+000,1.905546E+001,9.087226E+000,4.139164E+001,9.016588E-001,4.679247E+000,7.268309E+000,2.271439E+000,0.000000E+000,1.095299E+001
11,Carbon Tetrachloride,5.155296E+000,3.441890E+000,5.173415E+000,3.446730E+001,1.682702E+000,3.784350E+000,1.196577E+001,2.716859E+000,2.925018E+001,2.362228E+000
11,1_1_2-Trichlorotrifluoroethane,0.000000E+000,3.454410E+000,1.371011E+001,3.259761E+001,2.496345E+000,4.097352E+000,1.184737E+001,9.527880E-001,2.789938E+001,2.944637E+000
11,1_2-Dichloro-1_1_2_2-tetrafluoroethane,1.652936E+000,1.837488E+001,1.421418E+001,3.809668E+001,0.000000E+000,4.504044E+000,1.093785E+001,2.950059E-001,9.042705E+000,2.881709E+000
11,Tetrachloroethene,1.941604E+001,1.095842E+000,8.164892E+000,3.414002E+000,3.003621E+000,2.465435E+000,2.892797E+000,7.698662E+000,3.680119E+001,1.504752E+001
11,1_2-Dichlorobenzene,0.000000E+000,2.099272E+000,6.937350E+001,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,2.852723E+001,0.000000E+000,0.000000E+000
11,1_4-Dichlorobenzene,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,3.982127E-001,1.593602E+000,4.576420E+000,8.873852E+001,4.693252E+000,0.000000E+000
11,PCBTF,3.172227E+001,3.406346E+000,1.153318E+000,0.000000E+000,5.563361E-001,6.241207E+000,4.070264E+000,5.824322E+000,3.834201E+001,8.683925E+000
11,N-Butane,1.510470E-001,3.584972E+001,1.776611E+001,3.435870E+000,3.073006E+000,0.000000E+000,6.362427E-001,7.537152E+000,1.383975E+001,1.771110E+001
11,Isobutane,0.000000E+000,4.174227E+001,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,2.198188E+000,2.627138E+001,2.978816E+001
11,N-Pentane,1.535580E+000,6.979839E+001,3.806256E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,6.342551E-001,2.422552E+001,0.000000E+000
11,Isopentane,5.011610E+000,1.157909E+001,3.919111E+000,0.000000E+000,2.914346E+000,2.295690E+000,5.822585E+000,7.023083E+000,4.920545E+001,1.222904E+001
11,2-Methyl pentane,2.396964E+000,5.605302E+000,0.000000E+000,2.901858E+000,7.565555E-001,2.019427E+000,4.881130E+000,6.296515E-001,6.111769E+001,1.969143E+001
