**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 2

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00807,  0.00598,  0.00664,  0.00748,  0.00954,  0.00987,  0.00785,  0.00132,  0.16819,  0.16362
Chloroform,  0.00050,  0.00041,  0.00050,  0.00073,  0.00162,  0.00187,  0.00100,  0.00056,  0.55778,  1.12523
Trichlorofluoromethane,  0.01710,  0.00799,  0.01066,  0.01472,  0.01808,  0.01987,  0.01463,  0.00381,  0.26045,  0.22281
Dichlorodifluoromethane,  0.02409,  0.00000,  0.00000,  0.00000,  0.01222,  0.02409,  0.00622,  0.00887,  1.42721,  0.36829
Carbon Tetrachloride,  0.00089,  0.00003,  0.00029,  0.00087,  0.00136,  0.00352,  0.00102,  0.00087,  0.85086,  0.97378
1_1_2-Trichlorotrifluoroethane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00100,  0.00009,  0.00025,  2.70371,  0.00000
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00218,  0.00103,  0.00139,  0.00153,  0.00165,  0.00218,  0.00157,  0.00028,  0.17983,  0.12989
Tetrachloroethene,  0.00000,  0.00000,  0.00000,  0.00006,  0.00035,  0.00040,  0.00014,  0.00016,  1.15293,  0.00000
1_2-Dichlorobenzene,  0.00028,  0.00000,  0.00000,  0.00010,  0.00070,  0.00124,  0.00034,  0.00041,  1.22933,  1.45213
1_4-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00020,  0.00025,  0.00025,  0.00014,  0.00012,  0.85426,  0.00000
PCBTF,  0.00087,  0.00028,  0.00098,  0.00125,  0.00135,  0.00183,  0.00115,  0.00035,  0.30534,  0.40403
N-Butane,  0.12669,  0.09475,  0.11117,  0.12658,  0.15246,  0.15834,  0.12747,  0.02246,  0.17622,  0.17730
Isobutane,  0.02359,  0.00000,  0.00645,  0.02356,  0.03266,  0.06246,  0.02160,  0.01650,  0.76395,  0.69939
N-Pentane,  0.07281,  0.05713,  0.06314,  0.06751,  0.07023,  0.07338,  0.06704,  0.00449,  0.06698,  0.06167
Isopentane,  0.05168,  0.02874,  0.04469,  0.06203,  0.07781,  0.08605,  0.05998,  0.01881,  0.31359,  0.36393
2-Methyl pentane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.01032,  0.00127,  0.00315,  2.48499,  0.00000
Butene,  0.05321,  0.03787,  0.04729,  0.05327,  0.06130,  0.06431,  0.05265,  0.00860,  0.16337,  0.16166
Propylene,  0.12340,  0.08140,  0.09437,  0.11864,  0.12199,  0.14308,  0.11055,  0.01630,  0.14744,  0.13209
