
Factor Profiles (conc. of species) from Base Run #7 (Convergent Run)

		Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8	Factor 9
7	m_p-Tolualdehyde	1.764000E-005	5.590000E-004	1.407700E-006	2.656400E-004	1.361800E-004	3.460300E-005	0.000000E+000	2.783500E-005	3.708900E-004
7	Phenylacetaldehyde	6.990000E-003	0.000000E+000	0.000000E+000	6.931500E-004	1.215300E-002	4.871200E-002	6.347100E-002	0.000000E+000	2.879000E-002
7	Cyclohexanone	0.000000E+000	8.548000E-004	2.176100E-004	2.424500E-004	1.543600E-004	0.000000E+000	2.920500E-004	9.218500E-005	2.575200E-004
7	Methyl acetate	1.367800E-002	1.933100E-002	1.030700E-002	2.976100E-002	3.070000E-003	1.324500E-001	5.445000E-003	6.108500E-003	0.000000E+000
7	n-Butyl acetate	2.015000E-002	4.645600E-002	4.434100E-003	0.000000E+000	2.704000E-003	6.017500E-002	0.000000E+000	6.824400E-003	0.000000E+000
7	D5-Siloxane	1.589700E-002	2.485400E-003	1.062700E-002	4.225600E-002	1.319400E-002	2.456600E-002	0.000000E+000	3.326800E-003	1.481400E-003
7	O3_form	7.576400E-001	1.033600E+001	2.191000E+000	7.790400E+000	3.040400E+000	7.949800E+000	4.511000E+000	9.677000E-002	1.384600E+001
7	NOx	9.069000E-001	4.907800E+000	4.316200E-001	4.286900E-001	1.429400E+000	0.000000E+000	3.044700E-001	5.056500E-001	2.773100E+000

Factor Profiles (% of species sum) from Base Run #7 (Convergent Run)

		Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8	Factor 9
7	Dichloromethane	8.443628E+000	5.251804E+000	6.490625E-001	9.452576E+000	2.992836E+000	4.387838E+001	2.080863E+001	4.324229E+000	4.198851E+000
7	Chloroform	5.697104E+000	3.062218E+000	6.056819E+000	1.111447E+001	3.135320E+000	5.076585E+001	1.757389E+001	2.594317E+000	0.000000E+000
7	Trichlorofluoromethane	1.803810E+000	1.643671E+000	1.402267E+000	2.541070E+000	1.405833E+000	4.670958E+001	3.063570E+001	2.077814E+000	1.178025E+001
7	Dichlorodifluoromethane	7.381586E+000	5.207042E+000	0.000000E+000	1.523794E+001	2.751560E+000	1.669723E+001	4.291510E+001	2.057676E+000	7.751869E+000
7	Carbon Tetrachloride	0.000000E+000	3.792717E+000	2.136724E+000	7.436567E+000	0.000000E+000	4.174389E+001	3.345422E+001	1.328859E+000	1.010702E+001
7	1_1_2-Trichlorotrifluoroethane	0.000000E+000	0.000000E+000	3.311224E+000	7.626592E+000	1.580632E+000	4.032679E+001	3.572936E+001	1.602109E+000	9.823295E+000
7	1_2-Dichloro-1_1_2_2-tetrafluoroethane	9.154730E+000	0.000000E+000	0.000000E+000	8.052528E+000	1.806738E+000	2.792444E+001	4.288724E+001	2.045290E+000	8.129037E+000
7	Tetrachloroethene	8.592020E+000	1.889952E+001	1.506035E+000	1.200694E+001	9.954186E+000	3.749052E+001	4.441726E+000	2.891314E+000	4.217749E+000
7	1_2-Dichlorobenzene	2.437669E+000	0.000000E+000	1.558311E+000	0.000000E+000	8.433897E+001	1.048839E+001	1.098804E+000	0.000000E+000	7.786013E-002
7	1_4-Dichlorobenzene	2.308606E+000	0.000000E+000	0.000000E+000	6.677294E-001	8.787080E+001	6.483322E+000	0.000000E+000	1.030144E+000	1.639405E+000
7	PCBTF	9.284696E+000	2.629926E+001	2.117913E+000	6.116597E+000	6.057602E+000	4.185914E+001	0.000000E+000	7.442971E+000	8.218132E-001
7	N-Butane	4.527303E+001	3.043638E+000	9.785520E-001	1.303984E+001	1.379091E+001	1.067625E+001	1.025416E+001	2.692818E-001	2.674341E+000
7	Isobutane	4.295076E+001	0.000000E+000	0.000000E+000	3.109294E+001	5.004909E+000	1.910298E+001	0.000000E+000	1.253534E+000	5.948835E-001
7	N-Pentane	7.475079E+001	1.556431E+000	0.000000E+000	0.000000E+000	1.278566E+000	1.660779E+001	5.097869E+000	7.085483E-001	0.000000E+000
7	Isopentane	1.985457E+001	5.019253E+000	5.216702E+000	1.436350E+001	7.659957E+000	4.101158E+001	6.441940E-001	2.064381E+000	4.165864E+000
7	2-Methyl pentane	9.703036E+000	2.839273E+000	3.403915E+000	1.999633E+001	1.052825E+000	5.594268E+001	6.360664E-001	2.539627E+000	3.886247E+000
7	Butene	3.216418E+001	3.210485E+000	6.118299E+000	1.329942E+001	1.002938E+001	2.093663E+001	9.437013E+000	8.470136E-002	4.719897E+000
7	Propylene	3.225318E+001	1.181104E+001	0.000000E+000	1.050300E+001	2.347249E+001	0.000000E+000	2.196029E+001	0.000000E+000	0.000000E+000
7	cis-2-Pentene	2.529313E+001	0.000000E+000	4.442196E+000	5.164827E+000	0.000000E+000	4.373483E+001	1.186389E+001	0.000000E+000	9.501134E+000
7	Isoprene	7.099020E+000	7.057049E+000	6.104538E+000	0.000000E+000	2.221045E+000	1.343155E+001	1.813613E+000	9.450421E-001	6.132814E+001
7	alpha-Pinene	7.045723E+000	1.175276E+001	4.923045E+000	1.231655E+000	3.025804E+000	9.217305E+000	8.738811E+000	3.533382E-001	5.371156E+001
7	MVK	8.411371E+000	4.760480E+000	9.102120E+000	1.403408E+000	2.162265E+000	1.460766E+001	0.000000E+000	3.275387E-001	5.922516E+001
