**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 5

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00608,  0.00428,  0.00517,  0.00527,  0.00577,  0.00610,  0.00538,  0.00044,  0.08136,  0.07209
Chloroform,  0.00063,  0.00038,  0.00050,  0.00060,  0.00063,  0.00066,  0.00056,  0.00008,  0.13885,  0.12488
Trichlorofluoromethane,  0.00942,  0.00330,  0.00577,  0.00771,  0.00999,  0.01006,  0.00769,  0.00229,  0.29777,  0.24300
Dichlorodifluoromethane,  0.01155,  0.00459,  0.01011,  0.01154,  0.01408,  0.01454,  0.01142,  0.00262,  0.22902,  0.22650
Carbon Tetrachloride,  0.00175,  0.00000,  0.00078,  0.00129,  0.00185,  0.00188,  0.00127,  0.00060,  0.47204,  0.34362
1_1_2-Trichlorotrifluoroethane,  0.00288,  0.00117,  0.00199,  0.00275,  0.00318,  0.00325,  0.00257,  0.00064,  0.24719,  0.22060
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00052,  0.00010,  0.00044,  0.00052,  0.00054,  0.00054,  0.00046,  0.00013,  0.27194,  0.24086
Tetrachloroethene,  0.00012,  0.00004,  0.00006,  0.00010,  0.00012,  0.00015,  0.00009,  0.00003,  0.36732,  0.28185
1_2-Dichlorobenzene,  0.00009,  0.00000,  0.00000,  0.00001,  0.00007,  0.00010,  0.00004,  0.00004,  1.07688,  0.47234
1_4-Dichlorobenzene,  0.00021,  0.00000,  0.00002,  0.00004,  0.00018,  0.00022,  0.00010,  0.00009,  0.90247,  0.43098
PCBTF,  0.00075,  0.00045,  0.00046,  0.00055,  0.00075,  0.00079,  0.00060,  0.00014,  0.23428,  0.18755
N-Butane,  0.00032,  0.00000,  0.00008,  0.00363,  0.00578,  0.00780,  0.00313,  0.00300,  0.95795,  9.32911
Isobutane,  0.00000,  0.00000,  0.00000,  0.00471,  0.01003,  0.01042,  0.00469,  0.00468,  0.99762,  0.00000
N-Pentane,  0.00079,  0.00000,  0.00000,  0.00064,  0.00077,  0.00095,  0.00047,  0.00037,  0.78336,  0.46056
Isopentane,  0.00931,  0.00428,  0.00905,  0.00920,  0.01003,  0.01290,  0.00933,  0.00209,  0.22414,  0.22468
2-Methyl pentane,  0.01249,  0.00914,  0.00929,  0.01129,  0.01248,  0.01687,  0.01165,  0.00249,  0.21405,  0.19973
Butene,  0.00084,  0.00006,  0.00027,  0.00104,  0.00260,  0.00289,  0.00133,  0.00104,  0.78346,  1.24070
Propylene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00242,  0.00037,  0.00079,  2.15526,  0.00000
cis-2-Pentene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Isoprene,  0.04097,  0.00271,  0.02860,  0.03622,  0.04193,  0.04793,  0.03220,  0.01459,  0.45307,  0.35610
alpha-Pinene,  0.00717,  0.00066,  0.00475,  0.00632,  0.00762,  0.00840,  0.00571,  0.00255,  0.44559,  0.35499
MVK,  0.01793,  0.00000,  0.01335,  0.01648,  0.01941,  0.02159,  0.01430,  0.00724,  0.50672,  0.40404
Benzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Toluene,  0.00901,  0.00135,  0.00152,  0.00379,  0.00887,  0.00926,  0.00441,  0.00326,  0.73813,  0.36167
Ethylbenzene,  0.00154,  0.00028,  0.00032,  0.00068,  0.00150,  0.00158,  0.00079,  0.00052,  0.66060,  0.33996
Propylbenzene,  0.00036,  0.00008,  0.00010,  0.00014,  0.00036,  0.00041,  0.00020,  0.00013,  0.62128,  0.34606
m_p-Xylene,  0.00150,  0.00000,  0.00000,  0.00000,  0.00095,  0.00156,  0.00040,  0.00064,  1.60848,  0.42464
o-Xylene,  0.00146,  0.00018,  0.00020,  0.00040,  0.00132,  0.00151,  0.00062,  0.00054,  0.86322,  0.36897
p-Isopropyl Toluene,  0.00091,  0.00004,  0.00055,  0.00060,  0.00094,  0.00100,  0.00066,  0.00026,  0.40279,  0.29037
Naphthalene,  0.00114,  0.00046,  0.00070,  0.00079,  0.00101,  0.00117,  0.00082,  0.00023,  0.27657,  0.19880
Methanol, 72.60400, 72.10400, 72.52475, 72.70600, 73.00100, 74.88500, 72.84665,  0.61620,  0.00846,  0.00849
Ethanol,  0.04396,  0.00000,  0.00491,  0.01575,  0.04851,  0.04928,  0.02528,  0.02110,  0.83468,  0.48002
Phenol,  0.01265,  0.00000,  0.00178,  0.01161,  0.01227,  0.01490,  0.00869,  0.00543,  0.62425,  0.42905
Methyl acetate,  0.00514,  0.00364,  0.00393,  0.00477,  0.00559,  0.00627,  0.00476,  0.00091,  0.19071,  0.17674
n-Butyl acetate,  0.00415,  0.00000,  0.00000,  0.00206,  0.00407,  0.00429,  0.00194,  0.00192,  0.98720,  0.46273
D5-Siloxane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00164,  0.00031,  0.00064,  2.05431,  0.00000

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.02562,  0.02553,  0.02561,  0.02740,  0.02903,  0.03299,  0.02803,  0.00278,  0.09924,  0.10858
Chloroform,  0.00401,  0.00401,  0.00410,  0.00424,  0.00482,  0.00550,  0.00453,  0.00056,  0.12326,  0.13921
Trichlorofluoromethane,  0.07184,  0.07099,  0.07133,  0.07795,  0.08192,  0.09795,  0.07956,  0.00985,  0.12382,  0.13713
Dichlorodifluoromethane,  0.17955,  0.17843,  0.17889,  0.18411,  0.18920,  0.20336,  0.18602,  0.00826,  0.04440,  0.04600
Carbon Tetrachloride,  0.02289,  0.02276,  0.02283,  0.02493,  0.02816,  0.03064,  0.02572,  0.00308,  0.11970,  0.13452
1_1_2-Trichlorotrifluoroethane,  0.02717,  0.02695,  0.02713,  0.02908,  0.02977,  0.03590,  0.02961,  0.00320,  0.10816,  0.11789
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00690,  0.00681,  0.00685,  0.00733,  0.00773,  0.00867,  0.00744,  0.00066,  0.08833,  0.09522
Tetrachloroethene,  0.00020,  0.00000,  0.00011,  0.00020,  0.00020,  0.00021,  0.00016,  0.00007,  0.41408,  0.32596
1_2-Dichlorobenzene,  0.00027,  0.00000,  0.00006,  0.00027,  0.00028,  0.00030,  0.00021,  0.00012,  0.59483,  0.46168
1_4-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00021,  0.00004,  0.00008,  2.06554,  0.00000
PCBTF,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00015,  0.00001,  0.00003,  4.47214,  0.00000
N-Butane,  0.03267,  0.00781,  0.03147,  0.03268,  0.03313,  0.04012,  0.02879,  0.00989,  0.34343,  0.30257
Isobutane,  0.01164,  0.00000,  0.00000,  0.00101,  0.01142,  0.01164,  0.00524,  0.00575,  1.09803,  0.49422
N-Pentane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00156,  0.00697,  0.00116,  0.00232,  1.99454,  0.00000
Isopentane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00103,  0.00010,  0.00029,  2.83312,  0.00000
2-Methyl pentane,  0.00964,  0.00000,  0.00869,  0.00962,  0.00971,  0.01114,  0.00850,  0.00276,  0.32417,  0.28583
Butene,  0.01624,  0.01018,  0.01581,  0.01594,  0.01811,  0.02458,  0.01594,  0.00338,  0.21224,  0.20831
Propylene,  0.05008,  0.03460,  0.04408,  0.05041,  0.05610,  0.06320,  0.04949,  0.00750,  0.15161,  0.14983
cis-2-Pentene,  0.00116,  0.00109,  0.00112,  0.00127,  0.00142,  0.00162,  0.00128,  0.00016,  0.12841,  0.14184
Isoprene,  0.04740,  0.01549,  0.01674,  0.02093,  0.04576,  0.06051,  0.03025,  0.01586,  0.52441,  0.33463
alpha-Pinene,  0.01613,  0.00940,  0.01129,  0.01175,  0.01597,  0.01830,  0.01307,  0.00302,  0.23076,  0.18703
MVK,  0.01682,  0.00000,  0.00001,  0.00445,  0.01472,  0.02094,  0.00763,  0.00760,  0.99581,  0.45175
Benzene,  0.03115,  0.02846,  0.03176,  0.03471,  0.04283,  0.04720,  0.03708,  0.00629,  0.16950,  0.20179
Toluene,  0.00738,  0.00294,  0.00463,  0.00677,  0.00712,  0.01044,  0.00605,  0.00190,  0.31322,  0.25692
Ethylbenzene,  0.00129,  0.00036,  0.00078,  0.00119,  0.00125,  0.00177,  0.00101,  0.00038,  0.37849,  0.29651
Propylbenzene,  0.00015,  0.00000,  0.00003,  0.00010,  0.00015,  0.00029,  0.00009,  0.00007,  0.82277,  0.48683
m_p-Xylene,  0.00203,  0.00054,  0.00073,  0.00190,  0.00212,  0.00436,  0.00172,  0.00096,  0.55856,  0.47473
o-Xylene,  0.00097,  0.00000,  0.00044,  0.00084,  0.00097,  0.00223,  0.00073,  0.00052,  0.70838,  0.53101
p-Isopropyl Toluene,  0.00036,  0.00000,  0.00000,  0.00010,  0.00037,  0.00106,  0.00024,  0.00032,  1.34493,  0.89200
Naphthalene,  0.00072,  0.00017,  0.00051,  0.00059,  0.00081,  0.00087,  0.00060,  0.00023,  0.38575,  0.32011
Methanol,  3.87890,  2.52190,  3.74063,  3.89840,  4.40203,  4.91710,  3.91792,  0.66278,  0.16917,  0.17087
Ethanol,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.36879,  0.06226,  0.13366,  2.14684,  0.00000
