**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 4

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00958,  0.00750,  0.00973,  0.02005,  0.03084,  0.03736,  0.02019,  0.01073,  0.53153,  1.12030
Chloroform,  0.00058,  0.00000,  0.00062,  0.00288,  0.00542,  0.00653,  0.00290,  0.00240,  0.82610,  4.13117
Trichlorofluoromethane,  0.04709,  0.02910,  0.04772,  0.06943,  0.09892,  0.12780,  0.07229,  0.03130,  0.43301,  0.66473
Dichlorodifluoromethane,  0.04761,  0.03344,  0.04804,  0.09147,  0.14079,  0.20847,  0.09519,  0.05579,  0.58612,  1.17190
Carbon Tetrachloride,  0.01117,  0.00645,  0.01128,  0.01941,  0.02877,  0.03542,  0.01967,  0.00976,  0.49646,  0.87416
1_1_2-Trichlorotrifluoroethane,  0.01330,  0.00747,  0.01343,  0.02132,  0.03107,  0.04107,  0.02233,  0.01097,  0.49111,  0.82472
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00262,  0.00183,  0.00264,  0.00447,  0.00639,  0.00871,  0.00460,  0.00234,  0.50941,  0.89407
Tetrachloroethene,  0.00020,  0.00018,  0.00020,  0.00036,  0.00048,  0.00090,  0.00036,  0.00018,  0.49100,  0.89767
1_2-Dichlorobenzene,  0.00008,  0.00000,  0.00000,  0.00003,  0.00008,  0.00031,  0.00007,  0.00010,  1.48245,  1.24139
1_4-Dichlorobenzene,  0.00019,  0.00000,  0.00016,  0.00018,  0.00026,  0.00068,  0.00022,  0.00015,  0.67646,  0.77645
PCBTF,  0.00024,  0.00000,  0.00024,  0.00025,  0.00043,  0.00153,  0.00036,  0.00032,  0.90117,  1.30984
N-Butane,  0.00605,  0.00525,  0.00670,  0.01418,  0.02158,  0.05197,  0.01695,  0.01229,  0.72526,  2.03094
Isobutane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.01511,  0.00198,  0.00472,  2.38476,34794957822949400.00000
N-Pentane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00123,  0.00017,  0.00042,  2.44541,6437114110780340.00000
Isopentane,  0.02014,  0.00000,  0.01731,  0.02174,  0.03889,  0.06265,  0.02657,  0.01435,  0.54009,  0.71264
2-Methyl pentane,  0.01187,  0.00458,  0.01297,  0.02331,  0.02978,  0.08595,  0.02600,  0.01884,  0.72455,  1.58757
Butene,  0.00973,  0.00910,  0.00971,  0.01755,  0.02294,  0.02621,  0.01687,  0.00663,  0.39302,  0.68148
Propylene,  0.00000,  0.00000,  0.00000,  0.00000,  0.01571,  0.06823,  0.00837,  0.01730,  2.06692,17179296703635.70000
cis-2-Pentene,  0.00112,  0.00091,  0.00113,  0.00124,  0.00210,  0.00275,  0.00156,  0.00059,  0.37732,  0.52549
Isoprene,  0.37200,  0.09038,  0.26257,  0.31283,  0.37039,  0.37834,  0.30819,  0.07153,  0.23208,  0.19228
alpha-Pinene,  0.06690,  0.02830,  0.05375,  0.05809,  0.06659,  0.06786,  0.05831,  0.00943,  0.16172,  0.14094
MVK,  0.17181,  0.03431,  0.11794,  0.14087,  0.17152,  0.17601,  0.13868,  0.03676,  0.26505,  0.21394
Benzene,  0.00553,  0.00375,  0.00596,  0.03228,  0.05615,  0.08386,  0.03109,  0.02527,  0.81297,  4.57318
Toluene,  0.02091,  0.01527,  0.02082,  0.02158,  0.02325,  0.04606,  0.02346,  0.00686,  0.29250,  0.32807
Ethylbenzene,  0.00351,  0.00252,  0.00308,  0.00350,  0.00371,  0.00654,  0.00379,  0.00116,  0.30540,  0.32981
Propylbenzene,  0.00102,  0.00064,  0.00085,  0.00101,  0.00117,  0.00177,  0.00107,  0.00029,  0.27440,  0.28720
m_p-Xylene,  0.00610,  0.00115,  0.00383,  0.00532,  0.00620,  0.00960,  0.00541,  0.00225,  0.41644,  0.36985
o-Xylene,  0.00403,  0.00166,  0.00285,  0.00375,  0.00416,  0.00650,  0.00389,  0.00135,  0.34840,  0.33634
p-Isopropyl Toluene,  0.00462,  0.00083,  0.00449,  0.00473,  0.00530,  0.00710,  0.00481,  0.00128,  0.26572,  0.27656
Naphthalene,  0.00361,  0.00122,  0.00311,  0.00357,  0.00389,  0.00564,  0.00362,  0.00108,  0.29895,  0.29921
Methanol,  0.97862,  0.20225,  1.11367,  2.30355,  3.19775,  5.15530,  2.28504,  1.32396,  0.57941,  1.35289
Ethanol,  0.19675,  0.00000,  0.00000,  0.01986,  0.16687,  0.19694,  0.07320,  0.08405,  1.14821,  0.42718
Phenol,  0.13912,  0.11586,  0.13715,  0.14440,  0.16321,  0.19895,  0.14898,  0.02291,  0.15376,  0.16466
Methyl acetate,  0.00000,  0.00000,  0.00000,  0.00905,  0.01945,  0.05224,  0.01109,  0.01336,  1.20409,6783917715108060.00000
n-Butyl acetate,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.01148,  0.00093,  0.00272,  2.92556,8576580339855470.00000
D5-Siloxane,  0.00195,  0.00000,  0.00024,  0.00192,  0.00607,  0.02257,  0.00526,  0.00781,  1.48301,  4.00996

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00849,  0.00245,  0.00538,  0.00654,  0.00853,  0.01556,  0.00736,  0.00313,  0.42456,  0.36829
Chloroform,  0.00169,  0.00098,  0.00120,  0.00148,  0.00169,  0.00276,  0.00153,  0.00044,  0.28852,  0.26057
Trichlorofluoromethane,  0.01539,  0.00000,  0.00599,  0.01431,  0.01534,  0.03816,  0.01396,  0.00982,  0.70361,  0.63832
Dichlorodifluoromethane,  0.03755,  0.00381,  0.01757,  0.03750,  0.03934,  0.10041,  0.03537,  0.02253,  0.63705,  0.60010
Carbon Tetrachloride,  0.00379,  0.00000,  0.00290,  0.00361,  0.00386,  0.01081,  0.00372,  0.00247,  0.66374,  0.65103
1_1_2-Trichlorotrifluoroethane,  0.00580,  0.00000,  0.00378,  0.00543,  0.00581,  0.01487,  0.00551,  0.00354,  0.64236,  0.60986
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00134,  0.00005,  0.00058,  0.00134,  0.00140,  0.00426,  0.00132,  0.00107,  0.80763,  0.79574
Tetrachloroethene,  0.00070,  0.00038,  0.00047,  0.00057,  0.00069,  0.00070,  0.00057,  0.00011,  0.19524,  0.16134
1_2-Dichlorobenzene,  0.00511,  0.00204,  0.00462,  0.00507,  0.00516,  0.00518,  0.00466,  0.00095,  0.20454,  0.18645
