
Factor Profiles (conc. of species) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
11,Carbon Tetrachloride,5.460609E+000,3.052737E+001,2.906675E+001,2.507744E+000,2.697638E+000,2.384985E+001,5.730956E+000,1.590869E-001
11,1_1_2-Trichlorotrifluoroethane,9.983255E-001,3.035225E+001,3.110443E+001,2.980058E+000,3.178064E+000,2.366487E+001,7.721998E+000,0.000000E+000
11,1_2-Dichloro-1_1_2_2-tetrafluoroethane,4.743605E+000,1.602628E+001,3.855365E+001,2.922303E-001,3.357405E+000,2.005738E+001,8.095333E+000,8.874117E+000
11,Tetrachloroethene,2.234910E+001,4.193875E+001,5.922476E+000,1.100677E+000,2.705805E+000,7.988558E+000,1.134355E+001,6.651083E+000
11,1_2-Dichlorobenzene,0.000000E+000,5.657342E+000,3.336984E+000,2.245476E+000,1.785769E-001,2.468109E+000,8.495164E+001,1.161875E+000
11,1_4-Dichlorobenzene,3.076438E+000,0.000000E+000,2.418614E+000,0.000000E+000,1.164898E+000,3.873599E+000,8.789599E+001,1.570463E+000
11,PCBTF,2.652888E+001,4.854188E+001,7.644657E-001,2.003517E+000,5.258188E+000,3.319438E+000,7.040554E+000,6.543079E+000
11,N-Butane,3.866438E+000,2.043444E+001,1.382899E+001,1.543985E+000,1.470004E+000,3.726151E+000,1.415356E+001,4.097643E+001
11,Isobutane,1.172728E+000,3.330682E+001,8.850236E-001,0.000000E+000,3.759726E+000,8.878816E+000,4.621713E-001,5.153472E+001
11,N-Pentane,0.000000E+000,1.903592E+001,5.386037E+000,3.755545E+000,0.000000E+000,0.000000E+000,1.768115E+000,7.005438E+001
11,Isopentane,7.536654E+000,4.476481E+001,0.000000E+000,3.012823E+000,2.952383E+000,1.396533E+001,7.024722E+000,2.074328E+001
11,2-Methyl pentane,4.079848E+000,6.433253E+001,0.000000E+000,0.000000E+000,3.908778E+000,1.668529E+001,1.582608E+000,9.410945E+000
11,Butene,8.150519E+000,2.490179E+001,1.156960E+001,6.691814E+000,1.128721E+000,8.466573E+000,1.126663E+001,2.782435E+001
11,Propylene,1.594970E+001,0.000000E+000,2.329308E+001,0.000000E+000,0.000000E+000,0.000000E+000,2.371010E+001,3.704712E+001
11,cis-2-Pentene,0.000000E+000,4.340047E+001,1.132228E+001,3.007624E+000,0.000000E+000,2.021828E+001,0.000000E+000,2.205135E+001
11,Isoprene,8.477326E+000,0.000000E+000,9.599586E+000,1.430278E+001,7.436953E+000,5.475262E+001,2.748103E+000,2.682631E+000
11,alpha-Pinene,1.217702E+001,0.000000E+000,1.660935E+001,1.212008E+001,6.386186E+000,4.437327E+001,5.033624E+000,3.300471E+000
11,MVK,7.395340E+000,0.000000E+000,7.389446E+000,1.791487E+001,6.546218E+000,5.429510E+001,2.051135E+000,4.407891E+000
11,Benzene,6.142076E+000,6.284046E+001,7.808728E+000,0.000000E+000,0.000000E+000,1.559201E+001,3.907744E+000,3.708987E+000
11,Toluene,2.518087E+001,4.564149E+001,3.665344E+000,1.909046E+000,2.388023E+000,6.219073E+000,8.555418E+000,6.440725E+000
11,Ethylbenzene,2.914164E+001,4.184074E+001,3.593279E+000,1.063934E+000,2.890587E+000,5.990860E+000,8.234607E+000,7.244343E+000
11,Propylbenzene,2.584000E+001,4.153281E+001,2.960665E+000,0.000000E+000,3.114338E+000,9.014194E+000,9.587996E+000,7.949997E+000
11,m_p-Xylene,3.645893E+001,2.195955E+001,5.841354E+000,4.876599E-001,2.744697E+000,2.940487E+000,1.836566E+001,1.120165E+001
11,o-Xylene,3.603284E+001,3.434118E+001,4.053905E+000,4.496130E-001,3.072488E+000,4.915058E+000,1.062977E+001,6.505137E+000
11,p-Isopropyl Toluene,4.537186E+000,3.465700E+001,2.157952E+000,1.379429E+001,4.614031E+000,3.280617E+001,2.626795E+000,4.806578E+000
11,Naphthalene,4.423292E+001,2.360205E+001,2.587360E+000,3.305417E+000,6.979393E+000,1.929286E+001,0.000000E+000,0.000000E+000
11,Methanol,1.848092E+000,6.239052E-001,4.422616E+000,3.971047E+000,8.583954E+001,1.973180E+000,1.081487E+000,2.401362E-001
11,Ethanol,1.456069E+000,1.908626E+000,4.143023E+000,8.705434E+001,9.165071E-002,3.393732E+000,1.693290E+000,2.592691E-001
11,Phenol,4.655884E+000,1.724235E+001,2.166115E+001,5.494730E+000,3.027417E+000,3.812378E+001,9.794686E+000,0.000000E+000
11,Methyl acetate,1.047583E+001,6.353945E+001,1.536334E+000,3.061516E+000,2.446249E+000,1.117437E+001,2.439948E+000,5.326308E+000
11,n-Butyl acetate,2.394512E+001,5.548494E+001,1.678671E+000,5.098144E+000,1.792370E+000,0.000000E+000,5.172947E+000,6.827801E+000
11,D5-Siloxane,4.544900E+001,1.169198E+001,0.000000E+000,2.480449E+000,3.872713E+000,1.161088E+001,1.106709E+001,1.382789E+001

Factor Profiles (% of factor total) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
11,Dichloromethane,4.599473E-001,2.332449E+000,5.022171E-001,5.592625E-003,7.568765E-003,6.365311E-001,6.074725E-001,7.326894E-001
11,Chloroform,5.521249E-002,5.849549E-001,7.638054E-002,1.266205E-002,9.355199E-004,1.209269E-001,1.124885E-001,1.485259E-001
11,Trichlorofluoromethane,0.000000E+000,4.185540E+000,1.405034E+000,4.307802E-002,1.102496E-002,2.150671E+000,1.111639E+000,6.543862E-001
11,Dichlorodifluoromethane,2.514369E+000,1.669664E+000,3.669621E+000,0.000000E+000,2.086071E-002,2.145939E+000,2.355049E+000,2.975310E+000
11,Carbon Tetrachloride,1.763243E-001,1.020183E+000,4.472570E-001,2.143822E-002,2.669424E-003,5.852995E-001,2.850399E-001,1.099350E-002
11,1_1_2-Trichlorotrifluoroethane,3.590626E-002,1.129812E+000,5.331014E-001,2.837638E-002,3.502863E-003,6.468795E-001,4.277944E-001,0.000000E+000
11,1_2-Dichloro-1_1_2_2-tetrafluoroethane,3.593000E-002,1.256316E-001,1.391566E-001,5.860143E-004,7.793185E-004,1.154634E-001,9.444758E-002,1.438482E-001
11,Tetrachloroethene,5.709814E-002,1.108906E-001,7.210326E-003,7.444856E-004,2.118464E-004,1.551142E-002,4.463942E-002,3.636512E-002
11,1_2-Dichlorobenzene,0.000000E+000,1.561935E-002,4.242059E-003,1.585899E-003,1.459892E-005,5.004014E-003,3.490697E-001,6.633198E-003
11,1_4-Dichlorobenzene,7.871822E-003,0.000000E+000,2.949058E-003,0.000000E+000,9.134348E-005,7.532914E-003,3.464205E-001,8.599740E-003
11,PCBTF,1.535576E-001,2.907947E-001,2.108629E-003,3.070293E-003,9.327197E-004,1.460287E-002,6.277211E-002,8.105229E-002
11,N-Butane,7.085759E-001,3.875749E+000,1.207690E+000,7.491222E-002,8.255750E-003,5.189878E-001,3.995291E+000,1.607089E+001
11,Isobutane,1.213000E-001,3.565448E+000,4.362224E-002,0.000000E+000,1.191742E-002,6.979749E-001,7.363324E-002,1.140759E+001
11,N-Pentane,0.000000E+000,7.399199E-001,9.639452E-002,3.734227E-002,0.000000E+000,0.000000E+000,1.022849E-001,5.630660E+000
11,Isopentane,1.211969E+000,7.450190E+000,0.000000E+000,1.282688E-001,1.454951E-002,1.706811E+000,1.740002E+000,7.138732E+000
11,2-Methyl pentane,6.152786E-001,1.004098E+001,0.000000E+000,0.000000E+000,1.806473E-002,1.912419E+000,3.676281E-001,3.037328E+000
11,Butene,7.808220E-001,2.468965E+000,5.281710E-001,1.697247E-001,3.313720E-003,6.164469E-001,1.662526E+000,5.704564E+000
11,Propylene,2.888231E+000,0.000000E+000,2.010000E+000,0.000000E+000,0.000000E+000,0.000000E+000,6.613331E+000,1.435702E+001
11,cis-2-Pentene,0.000000E+000,1.882248E-001,2.260937E-002,3.336744E-003,0.000000E+000,6.439179E-002,0.000000E+000,1.977565E-001
11,Isoprene,2.012409E+000,0.000000E+000,1.085924E+000,8.989015E-001,5.410222E-002,9.878333E+000,1.004842E+000,1.362853E+000
11,alpha-Pinene,6.321196E-001,0.000000E+000,4.108661E-001,1.665704E-001,1.015927E-002,1.750656E+000,4.024819E-001,3.666610E-001
11,MVK,8.429903E-001,0.000000E+000,4.013894E-001,5.406453E-001,2.286744E-002,4.703773E+000,3.601357E-001,1.075291E+000
11,Benzene,6.917797E-001,7.325031E+000,4.191047E-001,0.000000E+000,0.000000E+000,1.334676E+000,6.779322E-001,8.940022E-001
11,Toluene,3.699241E+000,6.939356E+000,2.565939E-001,7.424935E-002,1.075085E-002,6.943666E-001,1.935934E+000,2.024917E+000
11,Ethylbenzene,6.753866E-001,1.003588E+000,3.968433E-002,6.528109E-003,2.052991E-003,1.055234E-001,2.939603E-001,3.593090E-001
11,Propylbenzene,1.347369E-001,2.241315E-001,7.356530E-003,0.000000E+000,4.976482E-004,3.572254E-002,7.700686E-002,8.871390E-002
11,m_p-Xylene,9.891846E-001,6.166154E-001,7.552252E-002,3.502876E-003,2.282077E-003,6.063368E-002,7.675160E-001,6.504082E-001
11,o-Xylene,7.689527E-001,7.584620E-001,4.122534E-002,2.540237E-003,2.009342E-003,7.971701E-002,3.494078E-001,2.970901E-001
11,p-Isopropyl Toluene,3.974744E-002,3.142180E-001,9.008531E-003,3.199309E-002,1.238699E-003,2.184235E-001,3.544509E-002,9.011337E-002
11,Naphthalene,3.752093E-001,2.072026E-001,1.045862E-002,7.423156E-003,1.814297E-003,1.243787E-001,0.000000E+000,0.000000E+000
11,Methanol,7.007825E+001,2.448476E+001,7.991505E+001,3.986567E+001,9.974925E+001,5.686535E+001,6.316674E+001,1.948713E+001
11,Ethanol,3.629503E+000,4.923837E+000,4.921215E+000,5.745001E+001,7.001060E-003,6.429307E+000,6.501360E+000,1.383078E+000
11,Phenol,7.159663E-001,2.744128E+000,1.587309E+000,2.237026E-001,1.426676E-002,4.455615E+000,2.320002E+000,0.000000E+000
11,Methyl acetate,1.035094E+000,6.497592E+000,7.233804E-002,8.008708E-002,7.407211E-003,8.391426E-001,3.713467E-001,1.126285E+000
11,n-Butyl acetate,1.472467E+000,3.531191E+000,4.919080E-002,8.299942E-002,3.377683E-003,0.000000E+000,4.899753E-001,8.985457E-001
11,D5-Siloxane,2.384568E+000,6.348793E-001,0.000000E+000,3.445483E-002,6.226779E-003,4.629905E-001,8.943889E-001,1.552644E+000
