
Residuals from Base Run #6 (Convergent Run)

Base_Run,Date_Time,1-Butene + Isobutylene,2-Methyl pentane,Acetaldehyde,Benzene,Benzene_ 1_2-dichloro-,Benzene_ 1_4-dichloro,Benzene_ propyl-,Carbon Tetrachloride,Chloroform,Cyclohexanone,Decamethylcyclopentasiloxane,Dichlorodifluoromethane,Dichloromethane,Ethane_ 1_1_2-trichloro-1_2_2-trifluoro-,Ethane_ 1_2-dichloro-1_1_2_2-tetrafluoro-,Ethanol,Ethylbenzene,Formaldehyde,Hexaldehyde,Isobutane,Isopentane,Isoprene,Isovaleraldehyde,MVK,Methanol,Methyl acetate,N-Butane,Naphthalene,Parachlorobenzotrifluoride,Pentane,Phenol,Phenylacetaldehyde,Propylene,Tetrachloroethene,Toluene,Trichlorofluoromethane,a-Pinene,cis-2-Pentene,m_p-Tolualdehyde,m_p-Xylene,n-Butyl acetate,o-Xylene,p-Cymene,p-Isopropyl Toluene
6,07/20/21,2.388000E-002,1.332000E-001,6.052000E-002,4.310000E-001,3.279000E-004,-1.488000E-004,1.138000E-003,1.028000E-002,-1.387000E-003,-1.022000E-003,2.980000E-003,-4.689000E-002,2.563000E-002,-6.330000E-003,5.472000E-003,3.475000E-001,3.177000E-003,5.238000E-001,4.939000E-002,5.202000E-002,-9.578000E-002,1.564000E-002,1.093000E-002,1.457000E-002,1.126000E+001,-7.592000E-002,-4.852000E-002,-2.556000E-003,-1.310000E-003,1.192000E-002,5.021000E-002,4.463000E-002,-1.358000E-001,-2.038000E-004,6.138000E-003,-4.493000E-002,1.939000E-003,1.122000E-003,-3.833000E-005,-1.959000E-007,1.060000E-001,2.733000E-003,-2.063000E-003,-4.752000E-003
6,07/21/21,2.132000E-002,3.156000E-002,2.258000E-001,-1.022000E-001,-1.247000E-004,7.218000E-005,4.969000E-005,-1.000000E-002,-2.060000E-003,-5.463000E-004,-7.990000E-003,6.962000E-002,3.579000E-002,2.616000E-003,1.727000E-003,9.289000E-001,1.627000E-003,-2.919000E-001,-3.061000E-002,5.888000E-004,-5.451000E-003,5.097000E-002,-1.297000E-002,2.278000E-002,-3.768000E+000,-3.785000E-002,8.695000E-002,-1.750000E-004,9.125000E-004,-1.257000E-002,9.031000E-003,7.976000E-002,5.492000E-002,-3.695000E-004,-2.075000E-002,-4.869000E-003,9.369000E-003,-2.885000E-003,-6.286000E-005,8.323000E-003,8.366000E-003,4.728000E-003,-5.613000E-004,-2.450000E-003
6,07/22/21,-4.925000E-002,2.984000E-001,-1.139000E-001,-1.127000E-001,-9.629000E-005,4.230000E-004,-1.752000E-003,-1.120000E-002,4.591000E-003,-1.987000E-004,4.096000E-003,6.510000E-002,1.095000E-002,6.467000E-004,-3.575000E-003,-2.982000E-001,-6.615000E-003,-5.854000E-002,-6.208000E-003,-5.414000E-002,1.954000E-001,1.081000E-001,7.931000E-003,3.639000E-002,-3.678000E+000,4.010000E-002,-3.919000E-002,2.819000E-003,9.699000E-003,8.356000E-002,-9.342000E-002,-3.945000E-002,-5.640000E-002,-9.520000E-005,-4.684000E-002,1.034000E-002,1.586000E-002,-2.979000E-003,-2.560000E-004,-1.435000E-002,1.967000E-001,-7.214000E-003,-8.733000E-004,-1.543000E-003
6,07/23/21,-6.074000E-002,1.754000E-002,5.163000E-001,-1.016000E-001,1.624000E-004,-4.809000E-005,-1.168000E-003,-1.293000E-002,7.582000E-003,1.477000E-003,5.701000E-004,5.457000E-002,-1.525000E-002,3.231000E-004,-3.034000E-003,-2.514000E-003,-3.415000E-003,1.219000E+000,1.508000E-002,1.243000E-001,2.951000E-003,-1.393000E-002,1.998000E-002,-4.267000E-003,1.019000E+000,9.121000E-002,-1.248000E-001,-8.154000E-003,3.584000E-003,1.387000E-002,4.140000E-002,3.531000E-002,1.869000E-002,-1.623000E-003,3.678000E-002,-4.655000E-002,4.504000E-003,-8.141000E-004,1.648000E-004,-1.016000E-002,1.681000E-001,-3.373000E-003,1.986000E-003,6.111000E-003
6,07/24/21,-2.770000E-002,4.389000E-002,3.138000E-001,-6.468000E-002,2.497000E-005,5.018000E-005,-6.612000E-004,6.918000E-004,6.220000E-003,1.989000E-003,5.150000E-003,9.926000E-002,-1.610000E-002,6.823000E-003,-3.063000E-003,-9.297000E-004,5.209000E-003,9.323000E-001,-1.570000E-002,-3.120000E-002,2.906000E-002,-1.234000E-002,1.052000E-002,-1.212000E-002,2.047000E-005,4.451000E-003,-1.836000E-002,-7.954000E-004,-3.185000E-003,2.139000E-002,-4.904000E-002,4.707000E-002,-4.888000E-002,-9.513000E-004,-1.358000E-002,3.808000E-004,7.909000E-003,-6.372000E-005,9.066000E-005,-1.783000E-003,3.337000E-002,1.108000E-003,3.446000E-004,1.392000E-003
6,07/25/21,1.482000E-002,-7.267000E-002,5.507000E-001,5.891000E-003,-6.273000E-005,3.075000E-005,-4.727000E-004,5.294000E-003,8.642000E-003,3.953000E-004,1.378000E-002,3.710000E-002,9.701000E-004,1.061000E-002,-1.452000E-003,1.361000E-001,5.555000E-003,2.053000E-001,-5.698000E-002,-3.720000E-003,7.116000E-003,4.964000E-002,-1.046000E-003,-1.311000E-003,2.822000E-001,-3.490000E-002,4.354000E-002,-2.909000E-003,-2.555000E-003,-4.408000E-003,6.181000E-002,4.893000E-002,-3.021000E-003,5.471000E-003,2.790000E-002,3.436000E-002,2.179000E-002,1.525000E-003,-7.032000E-004,-4.548000E-004,5.027000E-002,-1.363000E-004,-8.623000E-004,-5.288000E-003
6,07/26/21,-1.750000E-002,4.592000E-004,1.034000E+000,2.596000E-002,1.355000E-005,-1.409000E-004,3.985000E-003,9.779000E-002,4.271000E-004,1.552000E-003,3.976000E-002,1.593000E-002,-3.470000E-003,-6.700000E-003,-2.133000E-003,-2.660000E-001,3.827000E-003,2.840000E+000,4.133000E-002,-1.054000E-003,-4.509000E-002,-2.946000E-002,5.328000E-002,-1.618000E-002,2.448000E-004,-7.141000E-003,-2.270000E-002,1.396000E-003,-1.445000E-003,3.583000E-004,-8.404000E-002,-1.333000E-002,-6.339000E-002,-1.600000E-003,9.233000E-002,-2.117000E-002,1.471000E-002,5.998000E-005,6.579000E-004,-6.514000E-003,6.994000E-003,1.406000E-003,2.667000E-002,9.419000E-002
6,07/27/21,-6.028000E-002,3.307000E-002,7.178000E-001,-6.966000E-002,2.174000E-004,-1.261000E-004,7.835000E-004,4.663000E-003,8.676000E-003,2.743000E-003,-1.501000E-002,-8.200000E-003,8.406000E-004,-3.124000E-003,-2.605000E-003,-3.050000E-001,1.825000E-003,1.589000E+000,4.093000E-002,1.385000E-001,4.266000E-002,9.682000E-003,3.797000E-002,-7.031000E-003,3.175000E+000,4.212000E-002,-3.222000E-002,-6.644000E-003,-1.402000E-003,-7.290000E-003,-4.322000E-001,-2.316000E-002,1.092000E-001,1.023000E-003,2.071000E-002,-5.664000E-003,6.131000E-003,2.800000E-003,8.127000E-004,3.252000E-004,-3.023000E-002,-4.559000E-004,5.734000E-003,2.065000E-002
6,07/28/21,-3.667000E-002,1.257000E-001,-4.654000E-003,-7.170000E-002,5.656000E-005,2.223000E-005,1.045000E-003,2.775000E-003,2.167000E-003,2.079000E-003,-5.996000E-003,7.355000E-003,-1.401000E-002,2.872000E-003,4.609000E-004,-2.040000E-001,-3.005000E-003,1.000000E-001,7.068000E-002,8.065000E-003,6.389000E-002,8.032000E-003,2.252000E-002,8.297000E-003,1.731000E-003,-2.034000E-002,-1.955000E-002,-2.112000E-003,-2.007000E-003,1.816000E-003,-1.508000E-001,-1.765000E-001,-3.060000E-002,-2.594000E-003,9.298000E-003,3.620000E-002,-5.647000E-003,-8.352000E-004,8.621000E-004,-9.934000E-004,3.480000E-002,1.423000E-003,2.944000E-003,1.178000E-002
6,07/29/21,1.083000E-001,-1.755000E-002,-5.315000E-001,3.344000E-001,3.755000E-004,-2.460000E-004,1.411000E-003,4.369000E-003,-2.213000E-003,-9.695000E-005,-1.012000E-002,1.798000E-001,3.123000E-001,-1.903000E-002,1.121000E-002,-3.095000E-002,2.666000E-003,2.245000E-001,-2.347000E-002,4.674000E-002,-1.711000E-001,4.422000E-002,-1.781000E-002,3.455000E-002,-3.279000E-001,1.940000E-001,6.879000E-002,-5.626000E-004,6.374000E-003,-4.172000E-003,9.619000E-002,3.693000E-003,-5.479000E-002,3.071000E-004,3.745000E-004,-4.776000E-002,-1.151000E-002,-2.578000E-003,-2.476000E-004,-2.182000E-002,6.371000E-002,-3.975000E-003,-3.071000E-004,6.796000E-003
