**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 2

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.02419,  0.01769,  0.02057,  0.02412,  0.02751,  0.03548,  0.02409,  0.00450,  0.18686,  0.18603
Chloroform,  0.00373,  0.00256,  0.00308,  0.00372,  0.00420,  0.00999,  0.00391,  0.00154,  0.39459,  0.41279
Trichlorofluoromethane,  0.07048,  0.05090,  0.05564,  0.07003,  0.08122,  0.09278,  0.06989,  0.01408,  0.20141,  0.19971
Dichlorodifluoromethane,  0.17828,  0.07683,  0.14608,  0.17683,  0.17827,  0.18652,  0.16197,  0.02662,  0.16438,  0.14934
Carbon Tetrachloride,  0.02213,  0.01586,  0.01860,  0.02202,  0.02559,  0.02796,  0.02160,  0.00400,  0.18531,  0.18083
1_1_2-Trichlorotrifluoroethane,  0.02689,  0.01990,  0.02215,  0.02676,  0.02967,  0.03258,  0.02588,  0.00430,  0.16622,  0.15999
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00674,  0.00374,  0.00577,  0.00668,  0.00723,  0.00772,  0.00640,  0.00100,  0.15639,  0.14842
Tetrachloroethene,  0.00033,  0.00008,  0.00023,  0.00033,  0.00036,  0.00167,  0.00036,  0.00032,  0.88415,  0.95284
1_2-Dichlorobenzene,  0.00027,  0.00000,  0.00001,  0.00020,  0.00027,  0.00035,  0.00017,  0.00012,  0.71904,  0.45076
1_4-Dichlorobenzene,  0.00022,  0.00000,  0.00000,  0.00007,  0.00022,  0.00022,  0.00010,  0.00010,  1.05507,  0.47049
PCBTF,  0.00012,  0.00000,  0.00000,  0.00004,  0.00012,  0.00263,  0.00020,  0.00058,  2.95949,  4.90817
N-Butane,  0.05701,  0.01780,  0.03551,  0.05009,  0.05700,  0.14352,  0.05169,  0.02664,  0.51538,  0.46729
Isobutane,  0.00189,  0.00000,  0.00000,  0.00185,  0.00907,  0.15943,  0.01277,  0.03552,  2.78265, 18.77949
N-Pentane,  0.00489,  0.00038,  0.00367,  0.00490,  0.00678,  0.01282,  0.00513,  0.00281,  0.54773,  0.57454
Isopentane,  0.00000,  0.00000,  0.00000,  0.00004,  0.00445,  0.16586,  0.00992,  0.03678,  3.70772,  0.00000
2-Methyl pentane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00530,  0.18618,  0.01084,  0.04136,  3.81576,  0.00000
Butene,  0.02356,  0.00817,  0.01749,  0.02218,  0.02355,  0.07111,  0.02331,  0.01214,  0.52053,  0.51520
Propylene,  0.10706,  0.03595,  0.07078,  0.08937,  0.10686,  0.13938,  0.08760,  0.02465,  0.28140,  0.23025
cis-2-Pentene,  0.00091,  0.00052,  0.00091,  0.00098,  0.00141,  0.00323,  0.00118,  0.00055,  0.46991,  0.61118
Isoprene,  0.05837,  0.00000,  0.05641,  0.05890,  0.12245,  0.14720,  0.07756,  0.04241,  0.54682,  0.72661
alpha-Pinene,  0.02189,  0.00000,  0.01955,  0.02194,  0.03495,  0.04066,  0.02483,  0.01026,  0.41305,  0.46860
MVK,  0.02148,  0.00000,  0.02086,  0.02178,  0.04744,  0.05679,  0.02962,  0.01660,  0.56053,  0.77302
Benzene,  0.01091,  0.00000,  0.00412,  0.01082,  0.02188,  0.09399,  0.01518,  0.02028,  1.33595,  1.85910
Toluene,  0.01230,  0.00501,  0.00885,  0.01228,  0.01367,  0.05530,  0.01364,  0.01042,  0.76409,  0.84754
